Plot,meanAGB,Succession,VillDist,Prec,Elev
1,256.996,Secondaire,2.672220681,148.8,203
2,199.91,Primaire,20.61875778,158,377
3,277.6,Secondaire,4.674063231,166,133
4,254.27,Exploitee,23.20882695,151.6,256
5,216.099,Exploitee,20.08061576,152,187
6,277.673,Primaire,17.64155854,158.3,164
7,260.172,Secondaire,14.16080107,263.7,63
8,237.604,Secondaire,0.978604551,177.4,647
9,382.951,Exploitee,4.960511521,245.4,87
10,245.324,Secondaire,14.92023835,173.1,434
11,307.272,Primaire,4.072259868,163.4,499
12,267.763,Primaire,3.924377347,163.4,498
13,421.051,Secondaire,1.523558725,168.8,587
14,392.287,Secondaire,11.09071556,234.7,636
15,170.323,Secondaire,3.364637301,233.7,616
16,301.568,Secondaire,0.483186304,168.6,374
17,517.62,Secondaire,11.62427257,156.4,264
18,265.532,Secondaire,2.426526521,170.8,604
19,249.273,Secondaire,2.397170709,171.6,602
20,313.382,Secondaire,5.17451831,183,639
21,421.191,Exploitee,10.23577311,195.6,402
22,385.623,Secondaire,3.253929291,202,119
23,670.612,Primaire,18.81437328,164,518
24,348.743,Exploitee,4.095871019,225.6,639
25,218.641,Primaire,5.252571386,203.6,552
26,229.201,Secondaire,7.015818031,177.2,577
27,243.513,Secondaire,12.29699696,170.3,627
28,131.05,Secondaire,4.357954763,180,260
29,354.982,Secondaire,1.653626815,190.4,525
30,420.13,Secondaire,15.27785381,175.1,457
31,361.724,Exploitee,8.294971784,199.4,217
32,305.042,Primaire,5.108894354,195.8,519
33,358.498,Secondaire,21.70870319,198.7,158
34,314.559,Secondaire,1.670959439,184.7,473
35,199.685,Primaire,5.996614717,170.4,342
36,501.544,Secondaire,9.119180488,181.4,225
37,235.608,Exploitee,8.199947579,205.7,218
38,196.911,Secondaire,4.124894282,174.6,622
39,140.296,Secondaire,2.352297993,276.8,37
40,226.36,Secondaire,2.62715145,284.1,170
41,347.821,Secondaire,13.11968304,252.5,382
42,201.271,Secondaire,1.648556033,181.7,668
43,355.734,Primaire,0.8825477,201.7,108
44,297.467,Primaire,12.18924024,207.5,314
45,330.228,Secondaire,3.131263742,159.1,483
46,136.671,Secondaire,4.501104729,165.2,287
47,243.109,Exploitee,11.60965034,192.9,160
48,254.59,Exploitee,13.03402481,191.2,173
49,258.677,Secondaire,4.911436306,183.7,556
50,184.418,Secondaire,3.22178429,162.4,291
51,136.532,Secondaire,0.41991253,178,664
52,366.703,Secondaire,4.319903375,184,555
53,96.03,Secondaire,0.986233606,266.7,59
54,181.412,Secondaire,3.374189438,170.9,415
55,235.72,Exploitee,10.76374839,204.8,170
56,296.809,Secondaire,1.077958793,276.6,45
57,417.814,Primaire,18.41681671,163.2,537
58,165.518,Secondaire,0.540826945,165.1,237
59,224.799,Secondaire,1.703233936,165.1,239
60,322.102,Secondaire exploite,17.37751035,161.4,321
61,273.009,Secondaire,5.062856605,176.2,427
62,284.767,Primaire,9.498797393,209.1,700
63,256.6,Primaire,8.246209184,209.1,767
64,290.527,Primaire,8.786590703,209.6,757
65,302.012,Primaire,2.065183704,170.1,389
66,304.028,Primaire,12.98195823,195.4,792
67,297.668,Primaire,15.35111348,197,752
68,383.951,Primaire,22.61415923,193.5,780
69,214.593,Secondaire,4.565781874,198.1,39
70,270.769,Secondaire,1.093901895,199.3,47
71,254.447,Secondaire,21.51678811,164,326
72,107.66,Secondaire,2.439843588,197.6,43
73,265.213,Secondaire,14.92023835,173.1,434
74,135.845,Secondaire,1.680657495,238,28
75,266.273,Exploitee,5.019724312,162.4,526
76,211.037,Secondaire,2.574203408,159.7,497
