"","X","Plot_AGB","DispoCode"
"1","ACDG_P015",257641.593628486,"ACDG_P015"
"2","ACDG_P016",200243.500024977,"ACDG_P016"
"3","ACDG_P041",278206.726994402,"ACDG_P041"
"4","ACDG_P052",256283.737755096,"ACDG_P052"
"5","ACDG_P053",216686.71248672,"ACDG_P053"
"6","ACDG_P055",278289.517942365,"ACDG_P055"
"7","CAFI_P001",260933.482946081,"CAFI_P001"
"8","CAFI_P002",238363.495410373,"CAFI_P002"
"9","CAFI_P003",383387.373214236,"CAFI_P003"
"10","CAFI_P005",245573.75323049,"CAFI_P005"
"11","CAFI_P006",308377.079664572,"CAFI_P006"
"12","CAFI_P007",267965.703136669,"CAFI_P007"
"13","CAFI_P008",422659.383964917,"CAFI_P008"
"14","CAFI_P009",393582.785242938,"CAFI_P009"
"15","CAFI_P010",171053.521197056,"CAFI_P010"
"16","CAFI_P011",301620.688475104,"CAFI_P011"
"17","CAFI_P012",518291.750320543,"CAFI_P012"
"18","CAFI_P013",266042.719785497,"CAFI_P013"
"19","CAFI_P014",249534.795179889,"CAFI_P014"
"20","CAFI_P015",314239.53074314,"CAFI_P015"
"21","CAFI_P016",421441.203776438,"CAFI_P016"
"22","CAFI_P017",386734.777472592,"CAFI_P017"
"23","CAFI_P020",671884.19374497,"CAFI_P020"
"24","CAFI_P021",349616.786532374,"CAFI_P021"
"25","CAFI_P022",218991.158547536,"CAFI_P022"
"26","CAFI_P023",229722.03843751,"CAFI_P023"
"27","CAFI_P025",243969.27575856,"CAFI_P025"
"28","CAFI_P026",129252.155112799,"CAFI_P026"
"29","CAFI_P027",356568.515955057,"CAFI_P027"
"30","CAFI_P028",420875.707013619,"CAFI_P028"
"31","CAFI_P029",363095.199457322,"CAFI_P029"
"32","CAFI_P030",306214.956008354,"CAFI_P030"
"33","CAFI_P032",360026.873162777,"CAFI_P032"
"34","CAFI_P033",315337.258018166,"CAFI_P033"
"35","CAFI_P034",200578.158872324,"CAFI_P034"
"36","CAFI_P035",503442.477329743,"CAFI_P035"
"37","CAFI_P036",236604.707559082,"CAFI_P036"
"38","CAFI_P039",198222.321893481,"CAFI_P039"
"39","CAFI_P040",140444.483998837,"CAFI_P040"
"40","CAFI_P041",226160.644469495,"CAFI_P041"
"41","CAFI_P042",347436.601718104,"CAFI_P042"
"42","CAFI_P043",201721.042914603,"CAFI_P043"
"43","CAFI_P044",356273.601700953,"CAFI_P044"
"44","CAFI_P045",297754.34806385,"CAFI_P045"
"45","CAFI_P046",330395.493006989,"CAFI_P046"
"46","CAFI_P047",137044.605812472,"CAFI_P047"
"47","CAFI_P049",243509.028333214,"CAFI_P049"
"48","CAFI_P050",255206.170978823,"CAFI_P050"
"49","CAFI_P051",258510.821294699,"CAFI_P051"
"50","CAFI_P052",184794.103457879,"CAFI_P052"
"51","CAFI_P053",136766.149495242,"CAFI_P053"
"52","CAFI_P055",368198.009736108,"CAFI_P055"
"53","CAFI_P056",96048.3084629653,"CAFI_P056"
"54","CAFI_P057",181520.839724072,"CAFI_P057"
"55","CAFI_P058",236242.852640606,"CAFI_P058"
"56","CAFI_P060",297877.704858109,"CAFI_P060"
"57","CAFI_P061",418865.223595267,"CAFI_P061"
"58","CAFI_P062",165560.710781515,"CAFI_P062"
"59","CAFI_P063",225760.86497156,"CAFI_P063"
"60","CAFI_P064",323816.355661149,"CAFI_P064"
"61","CAFI_P067",273963.206092445,"CAFI_P067"
"62","CAFI_P069",285586.443055999,"CAFI_P069"
"63","CAFI_P070",257222.784558879,"CAFI_P070"
"64","CAFI_P071",291504.361478022,"CAFI_P071"
"65","CAFI_P072",302504.936041351,"CAFI_P072"
"66","CAFI_P073",304467.946763116,"CAFI_P073"
"67","CAFI_P074",298326.845634866,"CAFI_P074"
"68","CAFI_P075",384568.687199982,"CAFI_P075"
"69","CAFI_P077",214982.774595291,"CAFI_P077"
"70","CAFI_P078",270868.528807508,"CAFI_P078"
"71","CAFI_P079",254662.466606733,"CAFI_P079"
"72","CAFI_P080",107791.64734074,"CAFI_P080"
"73","CAFI_P081",265444.829159803,"CAFI_P081"
"74","CAFI_P082",135825.311774252,"CAFI_P082"
"75","NRI_P001",267413.39927075,"NRI_P001"
"76","NRI_P002",211492.785893262,"NRI_P002"
"77","NRI_P003",203310.278895099,"NRI_P003"
"78","NRI_P006",227577.834527892,"NRI_P006"
"79","NRI_P008",292537.116904055,"NRI_P008"
"80","NRI_P010",301904.258527433,"NRI_P010"
"81","NRI_P012",293622.31834237,"NRI_P012"
"82","NRI_P014",469203.074398103,"NRI_P014"
"83","NRI_P015",122578.253297995,"NRI_P015"
"84","NRI_P016",286642.839838208,"NRI_P016"
"85","NRI_P017",444352.819651364,"NRI_P017"
"86","NRI_P018",402810.808483721,"NRI_P018"
"87","NRI_P020",309418.368895993,"NRI_P020"
"88","NRI_P021",312601.814845781,"NRI_P021"
"89","NRI_P022",569947.532884299,"NRI_P022"
"90","NRI_P023",275678.29646058,"NRI_P023"
"91","NRI_P024",252444.180965512,"NRI_P024"
"92","NRI_P025",386911.765710319,"NRI_P025"
"93","NRI_P027",290785.192346425,"NRI_P027"
"94","NRI_P028",188171.621400321,"NRI_P028"
"95","NRI_P029",470358.673369027,"NRI_P029"
"96","NRI_P030",494074.438242728,"NRI_P030"
"97","NRI_P031",476336.006528552,"NRI_P031"
"98","NRI_P032",302105.89118109,"NRI_P032"
"99","NRI_P033",375269.343877345,"NRI_P033"
"100","NRI_P034",344474.024773223,"NRI_P034"
"101","NRI_P035",390320.733927406,"NRI_P035"
"102","NRI_P036",338512.847441397,"NRI_P036"
"103","NRI_P037",384723.140205447,"NRI_P037"
"104","NRI_P038",244350.459227102,"NRI_P038"
"105","NRI_P039",387005.506606197,"NRI_P039"
"106","NRI_P040",274218.487806152,"NRI_P040"
"107","NRI_P041",481974.20116946,"NRI_P041"
"108","NRI_P042",296658.902346621,"NRI_P042"
"109","NRI_P046",127269.395263389,"NRI_P046"
"110","NRI_P047",321799.752950594,"NRI_P047"
"111","NRI_P048",323258.125577443,"NRI_P048"
"112","NRI_P049",288696.376959313,"NRI_P049"
"113","NRI_P050",157896.316456697,"NRI_P050"
"114","NRI_P051",258589.000748941,"NRI_P051"
"115","NRI_P052",308832.190781234,"NRI_P052"
"116","NRI_P053",377691.482813518,"NRI_P053"
"117","NRI_P056",377548.972632784,"NRI_P056"
"118","NRI_P057",266297.963696793,"NRI_P057"
"119","NRI_P058",278056.302618237,"NRI_P058"
"120","NRI_P059",323929.786764901,"NRI_P059"
"121","NRI_P061",292170.171653858,"NRI_P061"
"122","NRI_P062",297727.462625342,"NRI_P062"
"123","NRI_P063",488932.675198883,"NRI_P063"
"124","NRI_P066",101022.234664146,"NRI_P066"
"125","NRI_P067",323605.209963829,"NRI_P067"
"126","NRI_P068",197311.334441606,"NRI_P068"
"127","NRI_P069",91003.7727340428,"NRI_P069"
"128","NRI_P070",217218.007311593,"NRI_P070"
"129","NRI_P071",334227.934107738,"NRI_P071"
"130","NRI_P072",30719.3281562553,"NRI_P072"
"131","NRI_P073",181549.642425031,"NRI_P073"
