"","Taxa","PercentFaunalDegradation","DietaryRedundancy","Mean","Lower","Upper","Model"
"1","Total","25","Yes",-2715.67583851835,-3116.09811917041,-2315.25355786629,"Observed"
"2","Total","50","Yes",-5354.12257831544,-6125.76699856441,-4582.47815806648,"Observed"
"3","Total","100","Yes",-10528.2904368567,-12021.4808860969,-9035.09998761655,"Observed"
"4","Elephant","25","Yes",-974.713102054898,-1116.00997634418,-833.416227765613,"Observed"
"5","Elephant","50","Yes",-1966.6692196215,-2249.98186810019,-1683.3565711428,"Observed"
"6","Elephant","100","Yes",-3923.48003797535,-4486.67371300521,-3360.28636294549,"Observed"
"7","Ape","25","Yes",-524.109990302334,-613.014869800799,-435.205110803869,"Observed"
"8","Ape","50","Yes",-949.711801101191,-1104.72904484895,-794.694557353431,"Observed"
"9","Ape","100","Yes",-2046.27426852552,-2354.13827118499,-1738.41026586606,"Observed"
"10","Monkey","25","Yes",193.425174512989,160.763980722199,226.086368303779,"Observed"
"11","Monkey","50","Yes",450.629395893862,386.157623675239,515.101168112484,"Observed"
"12","Monkey","100","Yes",831.151405756072,718.501470631029,943.801340881114,"Observed"
"13","Duiker","25","Yes",12.4999999999967,10.7526463358547,14.2473536641387,"Observed"
"14","Duiker","50","Yes",24.9999999999967,21.5052926717131,28.4947073282803,"Observed"
"15","Duiker","100","Yes",48.8008224503105,41.4356671467552,56.1659777538659,"Observed"
"16","Rodent","25","Yes",12.4999999999967,10.7526463358547,14.2473536641387,"Observed"
"17","Rodent","50","Yes",24.9999999999967,21.5052926717131,28.4947073282803,"Observed"
"18","Rodent","100","Yes",49.9999999999967,43.01058534343,56.9894146565635,"Observed"
"19","Total","25","No",-2724.33568615137,-3122.46303317125,-2326.2083391315,"Observed"
"20","Total","50","No",-5407.01644568181,-6186.21086447087,-4627.82202689276,"Observed"
"21","Total","100","No",-10646.6638815837,-12157.8830782075,-9135.44468495997,"Observed"
"22","Elephant","25","No",-2035.82008860785,-2328.04373300228,-1743.59644421341,"Observed"
"23","Elephant","50","No",-4107.07715724867,-4692.12187462234,-3522.032439875,"Observed"
"24","Elephant","100","No",-8311.0132436985,-9488.33085145315,-7133.69563594386,"Observed"
"25","Ape","25","No",-513.703293426054,-631.981074717381,-395.425512134728,"Observed"
