"","AGB_Change","Plot","PercentRemoved"
"1",-1908.22134003355,"ACDG_P015",25
"2",-7242.39885240578,"ACDG_P015",50
"3",-30186.2169508882,"ACDG_P015",100
"4",-9589.77387317931,"ACDG_P015",25
"5",-18984.44492098,"ACDG_P015",50
"6",-26934.5140731919,"ACDG_P015",100
"7",-7715.68684360731,"ACDG_P015",25
"8",-20122.2736312179,"ACDG_P015",50
"9",-30729.3831238178,"ACDG_P015",100
"10",-6278.30063132133,"ACDG_P015",25
"11",-7943.72404760536,"ACDG_P015",50
"12",-29401.4170678506,"ACDG_P015",100
"13",-4867.21185190522,"ACDG_P015",25
"14",-12082.8911711705,"ACDG_P015",50
"15",-18690.1712593763,"ACDG_P015",100
"16",-7593.932182271,"ACDG_P015",25
"17",-9935.56204198656,"ACDG_P015",50
"18",-32808.0630590652,"ACDG_P015",100
"19",-7495.87582623749,"ACDG_P015",25
"20",-14278.6475693976,"ACDG_P015",50
"21",-19771.1082892437,"ACDG_P015",100
"22",-10203.3517010978,"ACDG_P015",25
"23",-15884.612411256,"ACDG_P015",50
"24",-30625.5722416793,"ACDG_P015",100
"25",-12432.707224487,"ACDG_P015",25
"26",-17332.8917270589,"ACDG_P015",50
"27",-30579.2667008117,"ACDG_P015",100
"28",-4004.02113138814,"ACDG_P015",25
"29",-7765.96067748245,"ACDG_P015",50
"30",-36469.2235632606,"ACDG_P015",100
"31",-5993.3011622779,"ACDG_P015",25
"32",-12608.6374411033,"ACDG_P015",50
"33",-35223.7397870511,"ACDG_P015",100
"34",-8105.0406744302,"ACDG_P015",25
"35",-4774.85402053472,"ACDG_P015",50
"36",-29316.2069024756,"ACDG_P015",100
"37",2588.22120249929,"ACDG_P015",25
"38",-13839.612564907,"ACDG_P015",50
"39",-29351.1439147138,"ACDG_P015",100
"40",1917.84974444858,"ACDG_P015",25
"41",-9880.7205269727,"ACDG_P015",50
"42",-31857.1995513405,"ACDG_P015",100
"43",-7042.05419799912,"ACDG_P015",25
"44",-2152.87103234991,"ACDG_P015",50
"45",-30617.981250285,"ACDG_P015",100
"46",-1338.7977336919,"ACDG_P015",25
"47",-15171.5323668362,"ACDG_P015",50
"48",-31594.4464045959,"ACDG_P015",100
"49",-10384.1000448433,"ACDG_P015",25
"50",-1127.69570328624,"ACDG_P015",50
"51",-33377.9017680625,"ACDG_P015",100
"52",-2217.78899147038,"ACDG_P015",25
"53",-8843.33780698662,"ACDG_P015",50
"54",-31854.6069243408,"ACDG_P015",100
"55",-8775.90593904353,"ACDG_P015",25
"56",-17753.2982401503,"ACDG_P015",50
"57",-33878.5107731414,"ACDG_P015",100
"58",4597.89681963026,"ACDG_P015",25
"59",-10743.0166787987,"ACDG_P015",50
"60",-23307.9825101942,"ACDG_P015",100
"61",-3140.45513797883,"ACDG_P015",25
"62",-13671.1338982502,"ACDG_P015",50
"63",-27440.6550570749,"ACDG_P015",100
"64",-5374.67813117988,"ACDG_P015",25
"65",-19232.0742511776,"ACDG_P015",50
"66",-34861.3195597025,"ACDG_P015",100
"67",-11190.6445508674,"ACDG_P015",25
"68",-26119.4713457335,"ACDG_P015",50
"69",-31789.522558468,"ACDG_P015",100
"70",-2096.23700225088,"ACDG_P015",25
"71",30.3215833342692,"ACDG_P015",50
"72",-31404.783895395,"ACDG_P015",100
"73",-5752.43283840883,"ACDG_P015",25
"74",-9759.16717630142,"ACDG_P015",50
"75",-21524.091647934,"ACDG_P015",100
"76",2881.77638030669,"ACDG_P015",25
"77",-13113.6299601582,"ACDG_P015",50
"78",-38362.4154719126,"ACDG_P015",100
"79",-542.349661173532,"ACDG_P015",25
"80",-7600.14267343184,"ACDG_P015",50
"81",-32871.2892828867,"ACDG_P015",100
"82",-6650.82926706196,"ACDG_P015",25
"83",-17832.7996523721,"ACDG_P015",50
"84",-27198.3469616357,"ACDG_P015",100
"85",-5741.61576657611,"ACDG_P015",25
"86",-19642.1339251193,"ACDG_P015",50
"87",-34314.7262562308,"ACDG_P015",100
"88",-9221.90390431712,"ACDG_P015",25
"89",-9944.7765842287,"ACDG_P015",50
"90",-35103.9813232164,"ACDG_P015",100
"91",-8610.41595514995,"ACDG_P015",25
"92",-10124.7731242489,"ACDG_P015",50
"93",-20230.8394538738,"ACDG_P015",100
"94",-10206.6928414161,"ACDG_P015",25
"95",-12003.3382105061,"ACDG_P015",50
"96",-18180.0959672883,"ACDG_P015",100
"97",-2189.44742177389,"ACDG_P015",25
"98",-15827.7766631152,"ACDG_P015",50
"99",-28904.5120414816,"ACDG_P015",100
"100",-2093.24464100189,"ACDG_P015",25
"101",-7328.32245567796,"ACDG_P015",50
"102",-21860.6509704748,"ACDG_P015",100
"103",-1521.54572830172,"ACDG_P015",25
"104",-16748.2766596841,"ACDG_P015",50
"105",-20983.9542609557,"ACDG_P015",100
"106",-4899.7676876004,"ACDG_P015",25
"107",-14598.8297010073,"ACDG_P015",50
"108",-28160.5744463652,"ACDG_P015",100
"109",-6514.99273527658,"ACDG_P015",25
"110",-9955.44658936036,"ACDG_P015",50
"111",-27725.6238105168,"ACDG_P015",100
"112",-3966.0372930906,"ACDG_P015",25
"113",-12648.3749529767,"ACDG_P015",50
"114",-33519.5762420137,"ACDG_P015",100
"115",-11992.4072506706,"ACDG_P015",25
"116",-8537.00129079842,"ACDG_P015",50
"117",-30890.0938525796,"ACDG_P015",100
"118",-5316.49125424487,"ACDG_P015",25
"119",-22306.1702418165,"ACDG_P015",50
"120",-36329.9043100113,"ACDG_P015",100
"121",3315.27174670287,"ACDG_P015",25
"122",-5488.71395343009,"ACDG_P015",50
"123",-34271.0959228206,"ACDG_P015",100
"124",-7227.35794121565,"ACDG_P015",25
"125",-5434.03526685026,"ACDG_P015",50
"126",-4243.7267728638,"ACDG_P015",100
"127",-5737.62195701915,"ACDG_P015",25
"128",-13611.8416046648,"ACDG_P015",50
"129",-29882.461042372,"ACDG_P015",100
"130",-5222.77254391191,"ACDG_P015",25
"131",-2919.56573424643,"ACDG_P015",50
"132",-29396.1763750503,"ACDG_P015",100
"133",-4107.99283684787,"ACDG_P015",25
"134",-17553.1245377362,"ACDG_P015",50
"135",-23925.8101213794,"ACDG_P015",100
"136",-2285.92258508783,"ACDG_P015",25
"137",-6898.12602264836,"ACDG_P015",50
"138",-31977.348097201,"ACDG_P015",100
"139",-16298.3169325221,"ACDG_P015",25
"140",-18875.1939402153,"ACDG_P015",50
"141",-28167.6857620566,"ACDG_P015",100
"142",5973.01652569548,"ACDG_P015",25
"143",4419.78394615286,"ACDG_P015",50
"144",-25992.2627844089,"ACDG_P015",100
"145",-3893.61107605201,"ACDG_P015",25
"146",-19904.7881988949,"ACDG_P015",50
"147",-22126.8260224294,"ACDG_P015",100
"148",-3499.47791584861,"ACDG_P015",25
"149",-9291.74995503444,"ACDG_P015",50
"150",-25890.5252727516,"ACDG_P015",100
"151",-7304.33211432531,"ACDG_P015",25
"152",-19043.7156125748,"ACDG_P015",50
"153",-25315.1612591534,"ACDG_P015",100
"154",-9036.6599866304,"ACDG_P015",25
"155",-19272.4481470105,"ACDG_P015",50
"156",-14428.9693248901,"ACDG_P015",100
"157",10019.0318368919,"ACDG_P015",25
"158",-6045.51383523337,"ACDG_P015",50
"159",-19170.3346047077,"ACDG_P015",100
"160",-6182.05166874165,"ACDG_P015",25
"161",-9071.66418912949,"ACDG_P015",50
"162",-18960.6699140168,"ACDG_P015",100
"163",-5723.32659933236,"ACDG_P015",25
"164",-17955.3052756342,"ACDG_P015",50
"165",-30173.7547552043,"ACDG_P015",100
"166",-11688.43597423,"ACDG_P015",25
"167",-13894.6008611356,"ACDG_P015",50
"168",-28172.3611541164,"ACDG_P015",100
"169",-4769.12009862461,"ACDG_P015",25
"170",-4711.25033168338,"ACDG_P015",50
