"","AGB_Change","Plot","PercentRemoved"
"1",-8407.03483644401,"ACDG_P015",25
"2",-4900.60266311473,"ACDG_P015",50
"3",-18089.8415861944,"ACDG_P015",100
"4",1349.41712329225,"ACDG_P015",25
"5",-3558.187793922,"ACDG_P015",50
"6",-16647.7087484144,"ACDG_P015",100
"7",-7630.21441236191,"ACDG_P015",25
"8",-7716.5192152237,"ACDG_P015",50
"9",-19728.6884515752,"ACDG_P015",100
"10",-3677.52578168627,"ACDG_P015",25
"11",-10717.5982672907,"ACDG_P015",50
"12",-5543.07618192668,"ACDG_P015",100
"13",-10011.0267777196,"ACDG_P015",25
"14",-4989.59555155615,"ACDG_P015",50
"15",-6374.29922988263,"ACDG_P015",100
"16",-7808.81564029001,"ACDG_P015",25
"17",-2464.43222046769,"ACDG_P015",50
"18",-18244.733352861,"ACDG_P015",100
"19",-4205.43573158464,"ACDG_P015",25
"20",-8859.19262881891,"ACDG_P015",50
"21",-8708.96453527815,"ACDG_P015",100
"22",-7826.40986346925,"ACDG_P015",25
"23",-593.241131780203,"ACDG_P015",50
"24",-17114.005905746,"ACDG_P015",100
"25",-6197.50688148514,"ACDG_P015",25
"26",-6888.85859572707,"ACDG_P015",50
"27",-19230.7435123386,"ACDG_P015",100
"28",-828.719997849665,"ACDG_P015",25
"29",-9008.21785083882,"ACDG_P015",50
"30",-16762.0206825692,"ACDG_P015",100
"31",345.64902709084,"ACDG_P015",25
"32",-707.853110485739,"ACDG_P015",50
"33",-17202.7876526518,"ACDG_P015",100
"34",-4361.89684396627,"ACDG_P015",25
"35",-12305.8403263045,"ACDG_P015",50
"36",-9771.26017448923,"ACDG_P015",100
"37",-7107.83347140485,"ACDG_P015",25
"38",-12729.7958229068,"ACDG_P015",50
"39",2377.68027087671,"ACDG_P015",100
"40",-1067.66446673777,"ACDG_P015",25
"41",-8006.7085124086,"ACDG_P015",50
"42",-17378.611404977,"ACDG_P015",100
"43",-7184.68689765088,"ACDG_P015",25
"44",-8784.00603768381,"ACDG_P015",50
"45",-16192.2579078831,"ACDG_P015",100
"46",5831.07438834725,"ACDG_P015",25
"47",-6400.36963411295,"ACDG_P015",50
"48",-14112.260812996,"ACDG_P015",100
"49",-7552.27627198971,"ACDG_P015",25
"50",-3819.02954413436,"ACDG_P015",50
"51",-9946.58063576437,"ACDG_P015",100
"52",-3790.75371572041,"ACDG_P015",25
"53",-3025.90524145734,"ACDG_P015",50
"54",-11746.2437432759,"ACDG_P015",100
"55",-4056.22801561523,"ACDG_P015",25
"56",-5139.2753982936,"ACDG_P015",50
"57",-12408.0707373859,"ACDG_P015",100
"58",-6574.08160991399,"ACDG_P015",25
"59",-11313.7092998444,"ACDG_P015",50
"60",-11652.3218567916,"ACDG_P015",100
"61",-5784.24731804524,"ACDG_P015",25
"62",-14988.2165004165,"ACDG_P015",50
"63",-8608.41492215119,"ACDG_P015",100
"64",-4156.76480016351,"ACDG_P015",25
"65",-7270.6435733941,"ACDG_P015",50
"66",-21474.4265279674,"ACDG_P015",100
"67",3690.40243219491,"ACDG_P015",25
"68",-12473.0974585318,"ACDG_P015",50
"69",-20771.173809088,"ACDG_P015",100
"70",-2779.61996890517,"ACDG_P015",25
"71",-3583.5703977322,"ACDG_P015",50
"72",-22856.02300476,"ACDG_P015",100
"73",-2279.65550492774,"ACDG_P015",25
"74",-7974.77970286107,"ACDG_P015",50
"75",-20368.6212450092,"ACDG_P015",100
"76",743.334964788548,"ACDG_P015",25
"77",-12600.4818035007,"ACDG_P015",50
"78",-3309.31943739884,"ACDG_P015",100
"79",-1032.03191076603,"ACDG_P015",25
"80",-10630.0071762874,"ACDG_P015",50
"81",-1589.58009217586,"ACDG_P015",100
