"","AGB_Change","Plot","PercentRemoved"
"1",-5733.17618118855,"ACDG_P015",25
"2",-12540.0308333322,"ACDG_P015",50
"3",-23189.8968858681,"ACDG_P015",100
"4",-10572.9545688753,"ACDG_P015",25
"5",-12325.3003907303,"ACDG_P015",50
"6",-28490.9847262076,"ACDG_P015",100
"7",-7249.29693743889,"ACDG_P015",25
"8",-20553.3477578273,"ACDG_P015",50
"9",-22714.8405379841,"ACDG_P015",100
"10",-6568.63183723154,"ACDG_P015",25
"11",-13883.5955410513,"ACDG_P015",50
"12",-26217.1610692639,"ACDG_P015",100
"13",-6098.16257332766,"ACDG_P015",25
"14",-962.160922460578,"ACDG_P015",50
"15",-12177.0513423386,"ACDG_P015",100
"16",-5404.67196459006,"ACDG_P015",25
"17",-23513.4892403974,"ACDG_P015",50
"18",-26531.5043583032,"ACDG_P015",100
"19",-1724.95699705512,"ACDG_P015",25
"20",-22358.8162254035,"ACDG_P015",50
"21",-39900.3487773873,"ACDG_P015",100
"22",-8659.36514255713,"ACDG_P015",25
"23",-18750.9900042081,"ACDG_P015",50
"24",-31676.0978378671,"ACDG_P015",100
"25",-5043.26705973467,"ACDG_P015",25
"26",-13530.9750893989,"ACDG_P015",50
"27",-40503.4301309469,"ACDG_P015",100
"28",-9760.19632700051,"ACDG_P015",25
"29",-21619.4745171364,"ACDG_P015",50
"30",-34544.3848395621,"ACDG_P015",100
"31",-10678.21165102,"ACDG_P015",25
"32",-7032.44300408906,"ACDG_P015",50
"33",-35980.2890382544,"ACDG_P015",100
"34",-763.917182748963,"ACDG_P015",25
"35",-3748.83657122473,"ACDG_P015",50
"36",-43839.6573463289,"ACDG_P015",100
"37",239.680572803481,"ACDG_P015",25
"38",-7123.4571651927,"ACDG_P015",50
"39",-27349.9563212513,"ACDG_P015",100
"40",5922.55122569916,"ACDG_P015",25
"41",-12218.1669471504,"ACDG_P015",50
"42",-40679.5610054963,"ACDG_P015",100
"43",-11085.277778807,"ACDG_P015",25
"44",-21585.3952714763,"ACDG_P015",50
"45",-40130.5163429117,"ACDG_P015",100
"46",3660.41889772384,"ACDG_P015",25
"47",-4771.70800079737,"ACDG_P015",50
"48",-36239.350287602,"ACDG_P015",100
"49",-5804.56281774762,"ACDG_P015",25
"50",-6743.36540649502,"ACDG_P015",50
