"","AGB_Change","Plot","PercentRemoved"
"1",-7234.20461572823,"ACDG_P015",25
"2",-28287.8181683864,"ACDG_P015",50
"3",-24557.4702706187,"ACDG_P015",100
"4",8751.59112830469,"ACDG_P015",25
"5",-23157.4946025268,"ACDG_P015",50
"6",-40473.5407360904,"ACDG_P015",100
"7",-13384.2389501463,"ACDG_P015",25
"8",-13763.3770717797,"ACDG_P015",50
"9",-41064.1368110245,"ACDG_P015",100
"10",539.265556355298,"ACDG_P015",25
"11",-1540.62761351868,"ACDG_P015",50
"12",-29080.8420598351,"ACDG_P015",100
"13",-12728.7095818545,"ACDG_P015",25
"14",-26670.7414504237,"ACDG_P015",50
"15",-34032.9279137275,"ACDG_P015",100
"16",-2581.27896721495,"ACDG_P015",25
"17",-27302.0805619248,"ACDG_P015",50
"18",-15993.5231071645,"ACDG_P015",100
"19",-387.215584572725,"ACDG_P015",25
"20",-16794.7363719225,"ACDG_P015",50
"21",-40835.530189845,"ACDG_P015",100
"22",6118.46904883356,"ACDG_P015",25
"23",-6250.43749711933,"ACDG_P015",50
"24",-33013.5189332833,"ACDG_P015",100
"25",-7215.23004213916,"ACDG_P015",25
"26",-26545.991290914,"ACDG_P015",50
"27",-29716.1624468679,"ACDG_P015",100
"28",-13121.8581173902,"ACDG_P015",25
"29",-23624.0120799893,"ACDG_P015",50
"30",-24551.8021196118,"ACDG_P015",100
"31",-7862.12251510503,"ACDG_P015",25
"32",-7337.0541193216,"ACDG_P015",50
"33",-29793.9176755532,"ACDG_P015",100
"34",-10787.4430502381,"ACDG_P015",25
"35",-15860.9706355155,"ACDG_P015",50
"36",-34779.2520480537,"ACDG_P015",100
"37",-10436.668512083,"ACDG_P015",25
"38",-21023.2566508265,"ACDG_P015",50
"39",-32865.1538291367,"ACDG_P015",100
"40",-10532.6173739375,"ACDG_P015",25
"41",-15525.0529043963,"ACDG_P015",50
"42",-43122.8855239956,"ACDG_P015",100
"43",-16748.9047292795,"ACDG_P015",25
"44",-28287.157042636,"ACDG_P015",50
"45",-20902.5082552804,"ACDG_P015",100
"46",-20514.8909492696,"ACDG_P015",25
"47",-24058.7510174013,"ACDG_P015",50
"48",-40276.1327907265,"ACDG_P015",100
"49",-13164.5954540675,"ACDG_P015",25
"50",-23339.2946193236,"ACDG_P015",50
"51",-37864.9812795686,"ACDG_P015",100
"52",-11542.5208163598,"ACDG_P015",25
"53",-20429.0427629356,"ACDG_P015",50
"54",-34936.675436011,"ACDG_P015",100
"55",-8649.70076569935,"ACDG_P015",25
"56",-24871.6038165142,"ACDG_P015",50
"57",-29056.5165271326,"ACDG_P015",100
"58",-9940.95629824995,"ACDG_P015",25
"59",-4189.0655748288,"ACDG_P015",50
"60",-31608.6634991713,"ACDG_P015",100
"61",-440.775480344892,"ACDG_P015",25
"62",-30546.4788570947,"ACDG_P015",50
"63",-13641.2714442135,"ACDG_P015",100
"64",-17783.2637555403,"ACDG_P015",25
"65",-16449.7367875666,"ACDG_P015",50
"66",-16564.7255930826,"ACDG_P015",100
"67",2103.27653828036,"ACDG_P015",25
"68",-20486.0403472582,"ACDG_P015",50
"69",-28982.5894026276,"ACDG_P015",100
"70",-12395.8113274532,"ACDG_P015",25
"71",-8125.12827278409,"ACDG_P015",50
"72",-40609.3650880029,"ACDG_P015",100
"73",-4.3228968163603,"ACDG_P015",25
"74",-23930.6962775978,"ACDG_P015",50
"75",-38361.2334486551,"ACDG_P015",100
"76",-16340.2286105088,"ACDG_P015",25
"77",-19292.1832961592,"ACDG_P015",50
"78",-37523.7247649854,"ACDG_P015",100
"79",3118.63771105502,"ACDG_P015",25
"80",-1862.30993493836,"ACDG_P015",50
"81",-19300.0648282711,"ACDG_P015",100
"82",-11761.3731029504,"ACDG_P015",25
"83",-15851.7866012318,"ACDG_P015",50
"84",-29392.7913805581,"ACDG_P015",100
"85",-5213.63386934728,"ACDG_P015",25
"86",-17071.2602407884,"ACDG_P015",50
"87",-42548.1812027814,"ACDG_P015",100
"88",-1701.42444800003,"ACDG_P015",25
"89",-27854.5217878784,"ACDG_P015",50
"90",-45192.81875827,"ACDG_P015",100
"91",-6960.56658103294,"ACDG_P015",25
"92",-21825.8706688128,"ACDG_P015",50
"93",-34206.6748194428,"ACDG_P015",100
"94",-2631.17256577764,"ACDG_P015",25
"95",-17480.4629960372,"ACDG_P015",50
"96",-39516.5790135418,"ACDG_P015",100
"97",-17361.1280027486,"ACDG_P015",25
"98",-11155.785194826,"ACDG_P015",50
"99",-30784.4372849382,"ACDG_P015",100
"100",-9970.29704562892,"ACDG_P015",25
"101",-27486.0300614695,"ACDG_P015",50
"102",-26764.0696309998,"ACDG_P015",100
"103",5729.58925372487,"ACDG_P015",25
"104",-17883.2819241057,"ACDG_P015",50
"105",-10911.348605357,"ACDG_P015",100
"106",-10212.9985024749,"ACDG_P015",25
"107",-30880.1569675341,"ACDG_P015",50
"108",-47063.836683364,"ACDG_P015",100
"109",-14185.4214644579,"ACDG_P015",25
"110",-20869.4682051624,"ACDG_P015",50
"111",-43191.1688318753,"ACDG_P015",100
"112",-12622.0718255557,"ACDG_P015",25
"113",-11078.7100217217,"ACDG_P015",50
"114",-21594.3557507114,"ACDG_P015",100
"115",-8826.90648804136,"ACDG_P015",25
"116",-12237.4951552246,"ACDG_P015",50
"117",-24816.2421794061,"ACDG_P015",100
"118",-18174.6109540003,"ACDG_P015",25
"119",-7677.57461586632,"ACDG_P015",50
"120",-37609.766226504,"ACDG_P015",100
"121",-8091.90926495678,"ACDG_P015",25
"122",-4421.83561708816,"ACDG_P015",50
"123",-46780.5396168061,"ACDG_P015",100
"124",5484.93779540443,"ACDG_P015",25
"125",-14830.7103513734,"ACDG_P015",50
"126",-38395.5481732679,"ACDG_P015",100
"127",-12484.7767129487,"ACDG_P015",25
"128",-29844.4694352369,"ACDG_P015",50
"129",-21310.1459077824,"ACDG_P015",100
"130",-13487.1779089116,"ACDG_P015",25
"131",-11983.1400343979,"ACDG_P015",50
"132",-29096.7090149214,"ACDG_P015",100
"133",-2846.48395213261,"ACDG_P015",25
"134",-30106.0097669473,"ACDG_P015",50
"135",-24710.6060552257,"ACDG_P015",100
"136",5203.61700174169,"ACDG_P015",25
"137",-4772.01917357434,"ACDG_P015",50
"138",-32754.5526528479,"ACDG_P015",100
"139",-6523.99824501548,"ACDG_P015",25
"140",-17068.3987759874,"ACDG_P015",50
"141",-32622.3961996952,"ACDG_P015",100
"142",-8448.75957504555,"ACDG_P015",25
"143",1548.96973736488,"ACDG_P015",50
"144",-2265.784302919,"ACDG_P015",100
"145",-8589.08675422351,"ACDG_P015",25
"146",-469.675479159021,"ACDG_P015",50
"147",-26736.1524947433,"ACDG_P015",100
"148",-6413.77889436929,"ACDG_P015",25
"149",-11866.9987342277,"ACDG_P015",50
"150",-30188.893773708,"ACDG_P015",100
