"","AGB_Change","Plot","PercentRemoved"
"1",-9058.88886233134,"ACDG_P015",25
"2",-8518.4382733219,"ACDG_P015",50
"3",-23417.9294415629,"ACDG_P015",100
"4",-604.196221684309,"ACDG_P015",25
"5",-14584.8845221132,"ACDG_P015",50
"6",-16092.1128730999,"ACDG_P015",100
"7",-1236.09549547563,"ACDG_P015",25
"8",-8723.60228492925,"ACDG_P015",50
"9",-16447.0298792449,"ACDG_P015",100
"10",-2442.76619430308,"ACDG_P015",25
"11",-9595.8505508478,"ACDG_P015",50
"12",-14335.616232123,"ACDG_P015",100
"13",-7609.01012163062,"ACDG_P015",25
"14",-11835.8133681179,"ACDG_P015",50
"15",-20559.9011403359,"ACDG_P015",100
"16",-7466.18650601007,"ACDG_P015",25
"17",2925.81784549542,"ACDG_P015",50
"18",-24141.5170619446,"ACDG_P015",100
"19",-9194.86386134409,"ACDG_P015",25
"20",3764.50762739018,"ACDG_P015",50
"21",-22466.528903282,"ACDG_P015",100
"22",-1346.9901762559,"ACDG_P015",25
"23",-11419.7092453874,"ACDG_P015",50
"24",-25285.9231456085,"ACDG_P015",100
"25",-5759.5394885171,"ACDG_P015",25
"26",-13202.9953626795,"ACDG_P015",50
"27",-17062.2315334934,"ACDG_P015",100
"28",-9662.09671475578,"ACDG_P015",25
"29",-5198.90253379199,"ACDG_P015",50
"30",-8675.07866823862,"ACDG_P015",100
"31",-9220.31101718839,"ACDG_P015",25
"32",-10157.7192525269,"ACDG_P015",50
"33",-24096.1840643116,"ACDG_P015",100
"34",-2474.33358116078,"ACDG_P015",25
"35",-9696.87100408794,"ACDG_P015",50
"36",-12120.8558957102,"ACDG_P015",100
"37",-3973.75508135869,"ACDG_P015",25
"38",-13785.3410064753,"ACDG_P015",50
"39",-22227.409044616,"ACDG_P015",100
"40",-2592.34793400849,"ACDG_P015",25
"41",-11576.120601194,"ACDG_P015",50
"42",-12840.1426755771,"ACDG_P015",100
"43",-9947.33933421216,"ACDG_P015",25
"44",-15401.5770980552,"ACDG_P015",50
"45",-16370.6748702823,"ACDG_P015",100
"46",-4839.77661514955,"ACDG_P015",25
"47",-1185.80235477132,"ACDG_P015",50
"48",-14357.6155136731,"ACDG_P015",100
"49",2780.78107075486,"ACDG_P015",25
"50",-14698.8189420649,"ACDG_P015",50
"51",-23631.0226463791,"ACDG_P015",100
"52",2806.80467131073,"ACDG_P015",25
"53",-4125.60736141203,"ACDG_P015",50
"54",-22754.3976374145,"ACDG_P015",100
"55",-11198.8211030575,"ACDG_P015",25
"56",-4853.430894897,"ACDG_P015",50
"57",-16074.5792475679,"ACDG_P015",100
"58",-3441.7248439508,"ACDG_P015",25
"59",4329.40372040332,"ACDG_P015",50
"60",-15550.256518464,"ACDG_P015",100
"61",-4809.56303298872,"ACDG_P015",25
"62",-16984.9285229306,"ACDG_P015",50
"63",-25759.8174971247,"ACDG_P015",100
"64",-4562.29933129271,"ACDG_P015",25
"65",-7905.86685875838,"ACDG_P015",50
"66",-22680.6706126208,"ACDG_P015",100
"67",-367.924805465736,"ACDG_P015",25
"68",-5932.956833818,"ACDG_P015",50
"69",-19295.2845590926,"ACDG_P015",100
"70",949.6189311895,"ACDG_P015",25
"71",1381.2008735174,"ACDG_P015",50
"72",-20824.1497392443,"ACDG_P015",100
"73",2985.49118173428,"ACDG_P015",25
"74",-10417.6928040394,"ACDG_P015",50
"75",-26020.9302909287,"ACDG_P015",100
"76",-2663.88333001119,"ACDG_P015",25
"77",-6678.42559258541,"ACDG_P015",50
"78",-21.2808010950976,"ACDG_P015",100
"79",-10868.8487660975,"ACDG_P015",25
"80",-4425.34038999694,"ACDG_P015",50
"81",-13878.035010969,"ACDG_P015",100
"82",-5977.2029456493,"ACDG_P015",25
"83",-5659.68973118858,"ACDG_P015",50
"84",-19067.1055755833,"ACDG_P015",100
"85",-9289.69335890561,"ACDG_P015",25
"86",-7403.02962534054,"ACDG_P015",50
"87",-22305.5277267112,"ACDG_P015",100
"88",-8395.0331519274,"ACDG_P015",25
"89",-9378.56238560812,"ACDG_P015",50
"90",-24938.1699573975,"ACDG_P015",100
"91",-6176.53315658774,"ACDG_P015",25
"92",-13336.3353178094,"ACDG_P015",50
"93",-12395.6712213646,"ACDG_P015",100
"94",2700.80107098035,"ACDG_P015",25
