"","AGB_Change","Plot","PercentRemoved"
"1",-22812.1125799616,"ACDG_P015",25
"2",-52350.5720653892,"ACDG_P015",50
"3",-109517.896865025,"ACDG_P015",100
"4",-14506.5213497968,"ACDG_P015",25
"5",-50255.5432012682,"ACDG_P015",50
"6",-103606.501250196,"ACDG_P015",100
"7",-51077.2449573632,"ACDG_P015",25
"8",-65376.5116272258,"ACDG_P015",50
"9",-100562.311892273,"ACDG_P015",100
"10",-30800.8084325948,"ACDG_P015",25
"11",-65679.5602820695,"ACDG_P015",50
"12",-96338.6424577681,"ACDG_P015",100
"13",-52417.3650097293,"ACDG_P015",25
"14",-52229.7690441282,"ACDG_P015",50
"15",-108650.755125109,"ACDG_P015",100
"16",-29930.7807162623,"ACDG_P015",25
"17",-70177.7158138951,"ACDG_P015",50
"18",-106581.216269766,"ACDG_P015",100
"19",-24591.9319244902,"ACDG_P015",25
"20",-44569.6703189775,"ACDG_P015",50
"21",-117045.791277594,"ACDG_P015",100
"22",-53269.3323605757,"ACDG_P015",25
"23",-59496.5160021945,"ACDG_P015",50
"24",-107503.978043479,"ACDG_P015",100
"25",-45167.0440090784,"ACDG_P015",25
"26",-58139.1493388571,"ACDG_P015",50
"27",-106977.21367774,"ACDG_P015",100
"28",-20696.5559741739,"ACDG_P015",25
"29",-64048.9610619966,"ACDG_P015",50
"30",-108316.024089855,"ACDG_P015",100
"31",-18427.2504201868,"ACDG_P015",25
"32",-42255.2444946856,"ACDG_P015",50
"33",-98505.331994327,"ACDG_P015",100
"34",-16202.8717647277,"ACDG_P015",25
"35",-44794.3326537018,"ACDG_P015",50
"36",-93913.5688968592,"ACDG_P015",100
"37",-44658.1177964675,"ACDG_P015",25
"38",-28173.7631785812,"ACDG_P015",50
"39",-111339.782130143,"ACDG_P015",100
"40",-16182.0853012523,"ACDG_P015",25
"41",-69612.8561628296,"ACDG_P015",50
"42",-112200.835510471,"ACDG_P015",100
"43",-47504.2617770705,"ACDG_P015",25
"44",-56453.4383741582,"ACDG_P015",50
"45",-111248.936226934,"ACDG_P015",100
"46",-11832.5597674704,"ACDG_P015",25
"47",-64031.1877225947,"ACDG_P015",50
"48",-102933.010863871,"ACDG_P015",100
"49",-51786.5118749938,"ACDG_P015",25
"50",-62691.2558585092,"ACDG_P015",50
"51",-102828.160148538,"ACDG_P015",100
"52",-24436.4812101745,"ACDG_P015",25
"53",-59817.9822517395,"ACDG_P015",50
"54",-99706.9814327691,"ACDG_P015",100
"55",-39439.7243504297,"ACDG_P015",25
"56",-57510.9040900929,"ACDG_P015",50
"57",-112898.528817438,"ACDG_P015",100
"58",-12662.5128885079,"ACDG_P015",25
"59",-64400.7730847474,"ACDG_P015",50
"60",-115460.546729118,"ACDG_P015",100
"61",-42779.7636685279,"ACDG_P015",25
"62",-67885.9483551555,"ACDG_P015",50
"63",-103531.132353249,"ACDG_P015",100
"64",-30517.5240475335,"ACDG_P015",25
"65",-60286.7610456432,"ACDG_P015",50
"66",-109699.016828185,"ACDG_P015",100
"67",-39417.3893215197,"ACDG_P015",25
"68",-53548.2982625383,"ACDG_P015",50
"69",-111851.367035971,"ACDG_P015",100
"70",-41951.9981615606,"ACDG_P015",25
"71",-66626.2340958651,"ACDG_P015",50
"72",-117074.445945109,"ACDG_P015",100
"73",-41936.3679951521,"ACDG_P015",25
"74",-36338.2509450051,"ACDG_P015",50
"75",-93284.3366922854,"ACDG_P015",100
"76",-28196.2095344972,"ACDG_P015",25
"77",-75977.9918462553,"ACDG_P015",50
"78",-110647.621272446,"ACDG_P015",100
"79",-46350.8775058195,"ACDG_P015",25
"80",-59604.8900264264,"ACDG_P015",50
"81",-95722.8234332584,"ACDG_P015",100
"82",-19594.3174216514,"ACDG_P015",25
"83",-33359.7831636248,"ACDG_P015",50
"84",-88990.1649557611,"ACDG_P015",100
"85",-37619.6173822915,"ACDG_P015",25
"86",-32151.0588921273,"ACDG_P015",50
"87",-110407.899975218,"ACDG_P015",100
"88",-43374.6526449467,"ACDG_P015",25
"89",-68067.4449822862,"ACDG_P015",50
