"","AGB_Change","Plot","PercentRemoved"
"1",-5478.33352695365,"ACDG_P015",25
"2",-15369.3649190684,"ACDG_P015",50
"3",-4571.37968185599,"ACDG_P015",100
"4",-9182.24775527586,"ACDG_P015",25
"5",-11231.2105081361,"ACDG_P015",50
"6",-16343.6384888741,"ACDG_P015",100
"7",565.868578832335,"ACDG_P015",25
"8",-2684.2078857733,"ACDG_P015",50
"9",-2795.23564023344,"ACDG_P015",100
"10",-8015.68012461983,"ACDG_P015",25
"11",-3325.96327201265,"ACDG_P015",50
"12",-14453.1470763174,"ACDG_P015",100
"13",-2497.68900699311,"ACDG_P015",25
"14",-15617.5877771512,"ACDG_P015",50
"15",-5829.00977123264,"ACDG_P015",100
"16",-8069.08914625703,"ACDG_P015",25
"17",-15272.6511921288,"ACDG_P015",50
"18",-11372.899352146,"ACDG_P015",100
"19",-1771.33255056824,"ACDG_P015",25
"20",-6770.74832452188,"ACDG_P015",50
"21",-15839.6633228707,"ACDG_P015",100
"22",4223.53005116427,"ACDG_P015",25
"23",-8720.80296436368,"ACDG_P015",50
"24",-13679.8059932093,"ACDG_P015",100
"25",3899.00544072181,"ACDG_P015",25
"26",-5720.2831421328,"ACDG_P015",50
"27",-18539.2670947915,"ACDG_P015",100
"28",-8055.53186144069,"ACDG_P015",25
"29",-9400.87530546731,"ACDG_P015",50
"30",-17991.8068556392,"ACDG_P015",100
"31",-4981.41967010414,"ACDG_P015",25
"32",-13106.2249752033,"ACDG_P015",50
"33",-17770.2691676503,"ACDG_P015",100
"34",-1111.27382379651,"ACDG_P015",25
"35",-12773.9655722204,"ACDG_P015",50
"36",-10894.7217924538,"ACDG_P015",100
"37",-2801.3031090078,"ACDG_P015",25
"38",965.085366871906,"ACDG_P015",50
"39",-18717.9923736297,"ACDG_P015",100
"40",-8792.34695220296,"ACDG_P015",25
"41",-4311.46066307725,"ACDG_P015",50
"42",-12970.6028693364,"ACDG_P015",100
"43",-1415.17642972199,"ACDG_P015",25
"44",-9175.74150550296,"ACDG_P015",50
"45",-18299.5927256754,"ACDG_P015",100
"46",-9063.63149866817,"ACDG_P015",25
"47",6267.69292893293,"ACDG_P015",50
"48",-13307.0396038092,"ACDG_P015",100
"49",-8836.74963299584,"ACDG_P015",25
"50",-14222.6407839243,"ACDG_P015",50
"51",-16878.127479876,"ACDG_P015",100
"52",-790.187923714053,"ACDG_P015",25
"53",-9848.64022510929,"ACDG_P015",50
"54",-14716.2914680316,"ACDG_P015",100
"55",-6870.48868101483,"ACDG_P015",25
"56",688.510433957068,"ACDG_P015",50
"57",-17683.1642064112,"ACDG_P015",100
"58",276.46538692445,"ACDG_P015",25
"59",-2753.01983105301,"ACDG_P015",50
"60",-14148.5082907038,"ACDG_P015",100
"61",-1001.79072357781,"ACDG_P015",25
"62",-6262.7597017404,"ACDG_P015",50
"63",-14548.9097329327,"ACDG_P015",100
"64",-1314.44149274338,"ACDG_P015",25
"65",-6326.14134545898,"ACDG_P015",50
"66",-17054.3007244529,"ACDG_P015",100
"67",3573.33466155795,"ACDG_P015",25
"68",-397.590770537034,"ACDG_P015",50
"69",-8342.06396546817,"ACDG_P015",100
"70",-1810.12656676344,"ACDG_P015",25
"71",-16342.0003341357,"ACDG_P015",50
"72",-12294.78927625,"ACDG_P015",100
"73",3577.12149351364,"ACDG_P015",25
"74",-12544.2255842612,"ACDG_P015",50
"75",-10326.4939852359,"ACDG_P015",100
"76",-7944.02520394389,"ACDG_P015",25
"77",-14990.7566538327,"ACDG_P015",50
"78",-7408.52413342643,"ACDG_P015",100
"79",-990.207281082403,"ACDG_P015",25
"80",-1795.99155715073,"ACDG_P015",50
"81",-13650.5153300999,"ACDG_P015",100
"82",-693.470246697398,"ACDG_P015",25
"83",7211.09817048008,"ACDG_P015",50
"84",-10806.370462715,"ACDG_P015",100
"85",-14454.7716562397,"ACDG_P015",25
"86",-461.03044115848,"ACDG_P015",50
"87",-12736.1309476751,"ACDG_P015",100
"88",-7187.66503020463,"ACDG_P015",25
"89",-6584.32754739048,"ACDG_P015",50
"90",-15567.4291426159,"ACDG_P015",100
"91",-2783.18933837124,"ACDG_P015",25
"92",-8100.66821940889,"ACDG_P015",50
"93",-14185.7549820392,"ACDG_P015",100
"94",-2613.24403482504,"ACDG_P015",25
"95",-12915.471313723,"ACDG_P015",50
"96",-11912.9021185239,"ACDG_P015",100
"97",-2657.37293261473,"ACDG_P015",25
"98",-9422.43775762786,"ACDG_P015",50
"99",-15292.8974522587,"ACDG_P015",100
"100",-624.313241786411,"ACDG_P015",25
"101",111.198410584737,"ACDG_P015",50
"102",-15715.0686701864,"ACDG_P015",100
"103",25.9302083838556,"ACDG_P015",25
"104",-15746.5412456028,"ACDG_P015",50
"105",-17989.7181495711,"ACDG_P015",100
"106",-1892.61940470245,"ACDG_P015",25
"107",-5493.84029925286,"ACDG_P015",50
"108",-18965.928518147,"ACDG_P015",100
"109",-84.9595298514178,"ACDG_P015",25
"110",-12160.9574170223,"ACDG_P015",50
"111",-14743.4572808859,"ACDG_P015",100
"112",-8835.35859290804,"ACDG_P015",25
"113",-5444.89319834652,"ACDG_P015",50
"114",-16774.8685264043,"ACDG_P015",100
"115",-2590.05654445369,"ACDG_P015",25
"116",-14030.3422062852,"ACDG_P015",50
"117",-16220.7632942046,"ACDG_P015",100
"118",1463.49076720362,"ACDG_P015",25
"119",-11377.5490564495,"ACDG_P015",50
"120",-14812.5015647919,"ACDG_P015",100
"121",-4122.24671096989,"ACDG_P015",25
"122",-15558.4167506528,"ACDG_P015",50
"123",-12959.6291952856,"ACDG_P015",100
"124",3037.27611563381,"ACDG_P015",25
"125",4943.89854894878,"ACDG_P015",50
"126",-17069.2447659617,"ACDG_P015",100
"127",-2193.30135135015,"ACDG_P015",25
"128",-10890.2869626036,"ACDG_P015",50
"129",-11381.4193334433,"ACDG_P015",100
"130",-5873.56354230625,"ACDG_P015",25
"131",-9945.76505614625,"ACDG_P015",50
"132",-2565.68607383082,"ACDG_P015",100
"133",-14224.9527635078,"ACDG_P015",25
"134",-10463.9839723917,"ACDG_P015",50
"135",-10198.2763984118,"ACDG_P015",100
"136",-1137.60419506815,"ACDG_P015",25
"137",-4690.50228669599,"ACDG_P015",50
"138",-17094.6973266338,"ACDG_P015",100
"139",-6569.42944646571,"ACDG_P015",25
"140",-15612.3743270335,"ACDG_P015",50
"141",-15171.667240271,"ACDG_P015",100
"142",-5345.73820911441,"ACDG_P015",25
"143",-10738.6346826048,"ACDG_P015",50
"144",-3446.7279070442,"ACDG_P015",100
"145",-10226.1942954892,"ACDG_P015",25
"146",-3009.57989942061,"ACDG_P015",50
"147",-10073.302571131,"ACDG_P015",100
"148",3877.77273308704,"ACDG_P015",25
"149",-9421.81333338152,"ACDG_P015",50
"150",-8631.52615759906,"ACDG_P015",100
"151",-9867.51474865974,"ACDG_P015",25
"152",-5928.91700624366,"ACDG_P015",50
"153",-11949.4557106051,"ACDG_P015",100
"154",-780.640637138713,"ACDG_P015",25
"155",-5943.17723132955,"ACDG_P015",50
"156",-15869.4629499601,"ACDG_P015",100
"157",-1849.995359352,"ACDG_P015",25
"158",-9591.41970847076,"ACDG_P015",50
"159",-11005.5840017414,"ACDG_P015",100
"160",-2297.38347290782,"ACDG_P015",25
"161",-2628.49401602024,"ACDG_P015",50
"162",-18275.3294469608,"ACDG_P015",100
"163",-672.201750376291,"ACDG_P015",25
"164",2230.51769615294,"ACDG_P015",50
"165",-14056.2773936366,"ACDG_P015",100
"166",-9370.3298813109,"ACDG_P015",25
"167",-3298.34633827567,"ACDG_P015",50
"168",-17826.9276594701,"ACDG_P015",100
"169",-8163.07933346726,"ACDG_P015",25
"170",-5355.48668558392,"ACDG_P015",50
"171",-11465.3672126652,"ACDG_P015",100
"172",-5545.48546214812,"ACDG_P015",25
"173",-6323.78260403039,"ACDG_P015",50
"174",-13758.4163364256,"ACDG_P015",100
"175",-13786.0700771671,"ACDG_P015",25
"176",-14809.1348844396,"ACDG_P015",50
"177",-16890.3256807138,"ACDG_P015",100
"178",2123.06059841107,"ACDG_P015",25
"179",-3611.7365940084,"ACDG_P015",50
"180",-16230.0836355468,"ACDG_P015",100
"181",-8602.11280674953,"ACDG_P015",25
"182",-7244.31603581522,"ACDG_P015",50
"183",-13219.5185067228,"ACDG_P015",100
"184",3535.46887973906,"ACDG_P015",25
"185",-1553.14193037985,"ACDG_P015",50
"186",-14419.8867636115,"ACDG_P015",100
"187",-5625.00433266422,"ACDG_P015",25
"188",-2694.55663035245,"ACDG_P015",50
"189",-4462.4877628251,"ACDG_P015",100
"190",-7834.76196978943,"ACDG_P015",25
"191",-7033.03049949647,"ACDG_P015",50
"192",-16942.0400575933,"ACDG_P015",100
"193",475.517563669593,"ACDG_P015",25
"194",-15821.4985534259,"ACDG_P015",50
"195",-13395.6954237243,"ACDG_P015",100
"196",-8618.57185342078,"ACDG_P015",25
"197",-3391.97268411153,"ACDG_P015",50
"198",-17011.1438239046,"ACDG_P015",100
"199",-183.027929931355,"ACDG_P015",25
"200",-2925.1843133455,"ACDG_P015",50
"201",-11690.5117144334,"ACDG_P015",100
"202",-9651.94183309548,"ACDG_P015",25
"203",-7882.80461726541,"ACDG_P015",50
"204",-16930.7269806788,"ACDG_P015",100
"205",3954.14253159906,"ACDG_P015",25
"206",-9972.81878803621,"ACDG_P015",50
"207",-13220.3148391657,"ACDG_P015",100
"208",-104.899222729029,"ACDG_P015",25
"209",-4694.0635031923,"ACDG_P015",50
"210",681.42129336379,"ACDG_P015",100
"211",8189.44492342291,"ACDG_P015",25
"212",-13228.2763155425,"ACDG_P015",50
"213",-16818.0452022562,"ACDG_P015",100
"214",-4471.80973478788,"ACDG_P015",25
"215",-1770.3126010712,"ACDG_P015",50
"216",-12848.0364125122,"ACDG_P015",100
"217",-1049.82343264864,"ACDG_P015",25
"218",-11259.8413780822,"ACDG_P015",50
"219",-14955.2200977536,"ACDG_P015",100
"220",-1045.15827868305,"ACDG_P015",25
"221",-2996.2925991595,"ACDG_P015",50
"222",-12166.0649906366,"ACDG_P015",100
"223",-9290.86781834971,"ACDG_P015",25
"224",-9903.1839051618,"ACDG_P015",50
"225",-17514.7675821463,"ACDG_P015",100
"226",-3373.91365125016,"ACDG_P015",25
"227",-11663.1749556319,"ACDG_P015",50
"228",-17588.8018827033,"ACDG_P015",100
"229",-12021.9271960349,"ACDG_P015",25
"230",-14426.9034705932,"ACDG_P015",50
"231",-11757.058000378,"ACDG_P015",100
"232",-7826.40478370339,"ACDG_P015",25
"233",-4802.19116181578,"ACDG_P015",50
"234",-6792.68506725258,"ACDG_P015",100
"235",-129.372799438774,"ACDG_P015",25
"236",-7773.30034062229,"ACDG_P015",50
"237",-12210.2296124802,"ACDG_P015",100
"238",3706.16400230661,"ACDG_P015",25
"239",-8022.33577535459,"ACDG_P015",50
"240",-15329.7401602291,"ACDG_P015",100
"241",828.73549120457,"ACDG_P015",25
"242",-14722.9867622632,"ACDG_P015",50
"243",-6766.22782373798,"ACDG_P015",100
"244",-1817.2518892771,"ACDG_P015",25
"245",-5671.10783945236,"ACDG_P015",50
"246",-17530.2973343381,"ACDG_P015",100
"247",-2200.9825553025,"ACDG_P015",25
"248",16.2578115065116,"ACDG_P015",50
"249",-2555.81287221666,"ACDG_P015",100
"250",-654.077933180961,"ACDG_P015",25
"251",2440.96800988141,"ACDG_P015",50
"252",-15284.7599280547,"ACDG_P015",100
"253",-8672.08907589276,"ACDG_P015",25
"254",-5733.86922702324,"ACDG_P015",50
"255",-19376.6039865658,"ACDG_P015",100
