"","Lower","Upper","Taxa","Network","Variable","Estimate","Model","Variable Type"
"Latitude",775,1631,"Total","Imputed, Compensation","Latitude",1203,"Imputed","Natural"
"VillDist",2933,3801,"Total","Imputed, Compensation","Village Dist.",3367,"Imputed","Anthropogenic"
"Elev",-9619,-8647,"Total","Imputed, Compensation","Elevation",-9133,"Imputed","Natural"
"Prec",-3653,-2760,"Total","Imputed, Compensation","Precipitation",-3206,"Imputed","Natural"
"SuccessionExploitee",2074,4183,"Total","Imputed, Compensation","Logged Forest",3128,"Imputed","Anthropogenic"
"SuccessionSecondaire",-7350,-5478,"Total","Imputed, Compensation","Secondary Forest",-6414,"Imputed","Anthropogenic"
"Latitude1",190,265,"Elephant","Imputed, Compensation","Latitude",227,"Imputed","Natural"
"VillDist1",-216,-134,"Elephant","Imputed, Compensation","Village Dist.",-175,"Imputed","Anthropogenic"
"Prec1",-269,-195,"Elephant","Imputed, Compensation","Precipitation",-232,"Imputed","Natural"
"SuccessionExploitee1",37,228,"Elephant","Imputed, Compensation","Logged Forest",132,"Imputed","Anthropogenic"
"SuccessionSecondaire1",-464,-293,"Elephant","Imputed, Compensation","Secondary Forest",-378,"Imputed","Anthropogenic"
"Latitude2",227,361,"Ape","Imputed, Compensation","Latitude",294,"Imputed","Natural"
"VillDist2",66,211,"Ape","Imputed, Compensation","Village Dist.",139,"Imputed","Anthropogenic"
"Prec2",-815,-684,"Ape","Imputed, Compensation","Precipitation",-750,"Imputed","Natural"
"SuccessionExploitee2",-731,-391,"Ape","Imputed, Compensation","Logged Forest",-561,"Imputed","Anthropogenic"
"SuccessionSecondaire2",-627,-323,"Ape","Imputed, Compensation","Secondary Forest",-475,"Imputed","Anthropogenic"
"Latitude3",116,198,"Monkey","Imputed, Compensation","Latitude",157,"Imputed","Natural"
"VillDist3",-151,-68,"Monkey","Imputed, Compensation","Village Dist.",-109,"Imputed","Anthropogenic"
"Elev1",-239,-145,"Monkey","Imputed, Compensation","Elevation",-192,"Imputed","Natural"
"Prec3",-275,-189,"Monkey","Imputed, Compensation","Precipitation",-232,"Imputed","Natural"
"SuccessionExploitee3",-95,108,"Monkey","Imputed, Compensation","Logged Forest",7,"Imputed","Anthropogenic"
"SuccessionSecondaire3",-315,-135,"Monkey","Imputed, Compensation","Secondary Forest",-225,"Imputed","Anthropogenic"
"Latitude4",6,39,"Rodent","Imputed, Compensation","Latitude",23,"Imputed","Natural"
"VillDist4",-41,-8,"Rodent","Imputed, Compensation","Village Dist.",-25,"Imputed","Anthropogenic"
"Elev2",9,42,"Rodent","Imputed, Compensation","Elevation",25,"Imputed","Natural"
"SuccessionExploitee4",-119,-36,"Rodent","Imputed, Compensation","Logged Forest",-77,"Imputed","Anthropogenic"
"SuccessionSecondaire4",-154,-81,"Rodent","Imputed, Compensation","Secondary Forest",-118,"Imputed","Anthropogenic"
"VillDist5",-2,25,"Duiker","Imputed, Compensation","Village Dist.",12,"Imputed","Anthropogenic"
"Elev3",-50,-20,"Duiker","Imputed, Compensation","Elevation",-35,"Imputed","Natural"
"Prec4",-4,26,"Duiker","Imputed, Compensation","Precipitation",11,"Imputed","Natural"
"SuccessionExploitee5",58,128,"Duiker","Imputed, Compensation","Logged Forest",93,"Imputed","Anthropogenic"
"SuccessionSecondaire5",-39,23,"Duiker","Imputed, Compensation","Secondary Forest",-8,"Imputed","Anthropogenic"
"Latitude5",775,1631,"Total","Imputed, No Compensation","Latitude",1203,"Imputed","Natural"
"VillDist6",2933,3801,"Total","Imputed, No Compensation","Village Dist.",3367,"Imputed","Anthropogenic"
"Elev6",-9619,-8647,"Total","Imputed, No Compensation","Elevation",-9133,"Imputed","Natural"
"Prec5",-3653,-2760,"Total","Imputed, No Compensation","Precipitation",-3206,"Imputed","Natural"
"SuccessionExploitee6",2074,4183,"Total","Imputed, No Compensation","Logged Forest",3128,"Imputed","Anthropogenic"
"SuccessionSecondaire6",-7350,-5478,"Total","Imputed, No Compensation","Secondary Forest",-6414,"Imputed","Anthropogenic"
"Latitude11",508,1072,"Elephant","Imputed, No Compensation","Latitude",790,"Imputed","Natural"
"VillDist11",367,939,"Elephant","Imputed, No Compensation","Village Dist.",653,"Imputed","Anthropogenic"
"Elev11",-4979,-4339,"Elephant","Imputed, No Compensation","Elevation",-4659,"Imputed","Natural"
"Prec11",-587,1,"Elephant","Imputed, No Compensation","Precipitation",-293,"Imputed","Natural"
"SuccessionExploitee11",420,1810,"Elephant","Imputed, No Compensation","Logged Forest",1115,"Imputed","Anthropogenic"
"SuccessionSecondaire11",-5159,-3926,"Elephant","Imputed, No Compensation","Secondary Forest",-4542,"Imputed","Anthropogenic"
"VillDist21",4488,5194,"Ape","Imputed, No Compensation","Village Dist.",4841,"Imputed","Anthropogenic"
"Elev21",-7271,-6554,"Ape","Imputed, No Compensation","Elevation",-6913,"Imputed","Natural"
"SuccessionExploitee21",-542,1326,"Ape","Imputed, No Compensation","Logged Forest",392,"Imputed","Anthropogenic"
"SuccessionSecondaire21",-4824,-3198,"Ape","Imputed, No Compensation","Secondary Forest",-4011,"Imputed","Anthropogenic"
"Latitude21",-685,-83,"Monkey","Imputed, No Compensation","Latitude",-384,"Imputed","Natural"
"VillDist31",2071,2674,"Monkey","Imputed, No Compensation","Village Dist.",2372,"Imputed","Anthropogenic"
"Elev31",-6602,-5993,"Monkey","Imputed, No Compensation","Elevation",-6297,"Imputed","Natural"
"SuccessionExploitee31",-583,923,"Monkey","Imputed, No Compensation","Logged Forest",170,"Imputed","Anthropogenic"
"SuccessionSecondaire31",-3734,-2397,"Monkey","Imputed, No Compensation","Secondary Forest",-3065,"Imputed","Anthropogenic"
"Latitude31",286,519,"Rodent","Imputed, No Compensation","Latitude",402,"Imputed","Natural"
"Elev4",-605,-320,"Rodent","Imputed, No Compensation","Elevation",-463,"Imputed","Natural"
"Prec21",-1397,-1143,"Rodent","Imputed, No Compensation","Precipitation",-1270,"Imputed","Natural"
"SuccessionExploitee41",128,732,"Rodent","Imputed, No Compensation","Logged Forest",430,"Imputed","Anthropogenic"
"SuccessionSecondaire41",-1999,-1474,"Rodent","Imputed, No Compensation","Secondary Forest",-1737,"Imputed","Anthropogenic"
"Latitude41",147,458,"Duiker","Imputed, No Compensation","Latitude",302,"Imputed","Natural"
"VillDist41",477,789,"Duiker","Imputed, No Compensation","Village Dist.",633,"Imputed","Anthropogenic"
"Elev5",-3567,-3252,"Duiker","Imputed, No Compensation","Elevation",-3409,"Imputed","Natural"
"SuccessionExploitee51",-1082,-303,"Duiker","Imputed, No Compensation","Logged Forest",-692,"Imputed","Anthropogenic"
"SuccessionSecondaire51",-1638,-947,"Duiker","Imputed, No Compensation","Secondary Forest",-1293,"Imputed","Anthropogenic"
"VillDist7",3117,4120,"Total","Observed, Compensation","Village Dist.",3619,"Observed","Anthropogenic"
"Elev7",-6643,-5303,"Total","Observed, Compensation","Elevation",-5973,"Observed","Natural"
"Prec7",-3530,-2208,"Total","Observed, Compensation","Precipitation",-2869,"Observed","Natural"
"SuccessionExploitee7",1084,3737,"Total","Observed, Compensation","Logged Forest",2411,"Observed","Anthropogenic"
"SuccessionSecondaire7",-5369,-2852,"Total","Observed, Compensation","Secondary Forest",-4111,"Observed","Anthropogenic"
"VillDist12",-1682,-1445,"Elephant","Observed, Compensation","Village Dist.",-1563,"Observed","Anthropogenic"
"Elev12",1337,1602,"Elephant","Observed, Compensation","Elevation",1470,"Observed","Natural"
"Prec12",-1701,-1443,"Elephant","Observed, Compensation","Precipitation",-1572,"Observed","Natural"
"SuccessionExploitee12",1739,2355,"Elephant","Observed, Compensation","Logged Forest",2047,"Observed","Anthropogenic"
"SuccessionSecondaire12",-353,184,"Elephant","Observed, Compensation","Secondary Forest",-85,"Observed","Anthropogenic"
"Latitude6",547,994,"Ape","Observed, Compensation","Latitude",771,"Observed","Natural"
"VillDist22",613,1066,"Ape","Observed, Compensation","Village Dist.",839,"Observed","Anthropogenic"
"Elev22",17,523,"Ape","Observed, Compensation","Elevation",270,"Observed","Natural"
"Prec22",-3281,-2816,"Ape","Observed, Compensation","Precipitation",-3048,"Observed","Natural"
"SuccessionExploitee22",-1864,-765,"Ape","Observed, Compensation","Logged Forest",-1314,"Observed","Anthropogenic"
"SuccessionSecondaire22",-674,302,"Ape","Observed, Compensation","Secondary Forest",-186,"Observed","Anthropogenic"
"Latitude12",494,716,"Monkey","Observed, Compensation","Latitude",605,"Observed","Natural"
"VillDist32",419,644,"Monkey","Observed, Compensation","Village Dist.",532,"Observed","Anthropogenic"
"Elev32",-1383,-1131,"Monkey","Observed, Compensation","Elevation",-1257,"Observed","Natural"
"Prec31",-1012,-780,"Monkey","Observed, Compensation","Precipitation",-896,"Observed","Natural"
"SuccessionExploitee32",-1577,-1030,"Monkey","Observed, Compensation","Logged Forest",-1304,"Observed","Anthropogenic"
"SuccessionSecondaire32",-643,-158,"Monkey","Observed, Compensation","Secondary Forest",-400,"Observed","Anthropogenic"
"Latitude22",0,0,"Rodent","Observed, Compensation","Latitude",0,"Observed","Natural"
"VillDist42",0,0,"Rodent","Observed, Compensation","Village Dist.",0,"Observed","Anthropogenic"
"Elev42",0,0,"Rodent","Observed, Compensation","Elevation",0,"Observed","Natural"
"Prec41",0,0,"Rodent","Observed, Compensation","Precipitation",0,"Observed","Natural"
"SuccessionExploitee42",0,0,"Rodent","Observed, Compensation","Logged Forest",0,"Observed","Anthropogenic"
"SuccessionSecondaire42",0,0,"Rodent","Observed, Compensation","Secondary Forest",0,"Observed","Anthropogenic"
"Latitude32",0,0,"Duiker","Observed, Compensation","Latitude",0,"Observed","Natural"
"VillDist51",0,0,"Duiker","Observed, Compensation","Village Dist.",0,"Observed","Anthropogenic"
"Elev52",0,0,"Duiker","Observed, Compensation","Elevation",0,"Observed","Natural"
"Prec51",0,0,"Duiker","Observed, Compensation","Precipitation",0,"Observed","Natural"
"SuccessionExploitee52",0,0,"Duiker","Observed, Compensation","Logged Forest",0,"Observed","Anthropogenic"
"SuccessionSecondaire52",0,0,"Duiker","Observed, Compensation","Secondary Forest",0,"Observed","Anthropogenic"
"VillDist61",3117,4120,"Total","Observed, No Compensation","Village Dist.",3619,"Observed","Anthropogenic"
"Elev61",-6643,-5303,"Total","Observed, No Compensation","Elevation",-5973,"Observed","Natural"
"Prec6",-3530,-2208,"Total","Observed, No Compensation","Precipitation",-2869,"Observed","Natural"
"SuccessionExploitee61",1084,3737,"Total","Observed, No Compensation","Logged Forest",2411,"Observed","Anthropogenic"
"SuccessionSecondaire61",-5369,-2852,"Total","Observed, No Compensation","Secondary Forest",-4111,"Observed","Anthropogenic"
"Latitude51",342,891,"Elephant","Observed, No Compensation","Latitude",616,"Observed","Natural"
"Elev111",-2652,-2065,"Elephant","Observed, No Compensation","Elevation",-2359,"Observed","Natural"
"SuccessionExploitee111",-489,935,"Elephant","Observed, No Compensation","Logged Forest",223,"Observed","Anthropogenic"
"SuccessionSecondaire111",-3209,-1973,"Elephant","Observed, No Compensation","Secondary Forest",-2591,"Observed","Anthropogenic"
"Latitude111",-1045,-117,"Ape","Observed, No Compensation","Latitude",-581,"Observed","Natural"
"VillDist111",5033,5974,"Ape","Observed, No Compensation","Village Dist.",5504,"Observed","Anthropogenic"
"Elev211",-6455,-5402,"Ape","Observed, No Compensation","Elevation",-5928,"Observed","Natural"
"Prec111",826,1794,"Ape","Observed, No Compensation","Precipitation",1310,"Observed","Natural"
"SuccessionExploitee211",-948,1337,"Ape","Observed, No Compensation","Logged Forest",195,"Observed","Anthropogenic"
"SuccessionSecondaire211",-3763,-1735,"Ape","Observed, No Compensation","Secondary Forest",-2749,"Observed","Anthropogenic"
"Latitude211",-1578,-967,"Monkey","Observed, No Compensation","Latitude",-1273,"Observed","Natural"
"VillDist211",2745,3366,"Monkey","Observed, No Compensation","Village Dist.",3055,"Observed","Anthropogenic"
"Elev311",-3841,-3147,"Monkey","Observed, No Compensation","Elevation",-3494,"Observed","Natural"
"Prec211",1144,1782,"Monkey","Observed, No Compensation","Precipitation",1463,"Observed","Natural"
"SuccessionExploitee311",-3852,-2346,"Monkey","Observed, No Compensation","Logged Forest",-3099,"Observed","Anthropogenic"
"SuccessionSecondaire311",-1212,125,"Monkey","Observed, No Compensation","Secondary Forest",-543,"Observed","Anthropogenic"
"Latitude311",218,353,"Rodent","Observed, No Compensation","Latitude",286,"Observed","Natural"
"Elev41",106,250,"Rodent","Observed, No Compensation","Elevation",178,"Observed","Natural"
"SuccessionExploitee411",1059,1408,"Rodent","Observed, No Compensation","Logged Forest",1233,"Observed","Anthropogenic"
"SuccessionSecondaire411",-255,48,"Rodent","Observed, No Compensation","Secondary Forest",-104,"Observed","Anthropogenic"
"Latitude42",383,625,"Duiker","Observed, No Compensation","Latitude",504,"Observed","Natural"
"VillDist311",-265,-23,"Duiker","Observed, No Compensation","Village Dist.",-144,"Observed","Anthropogenic"
"Elev51",-1449,-1204,"Duiker","Observed, No Compensation","Elevation",-1327,"Observed","Natural"
"SuccessionExploitee511",-2920,-2313,"Duiker","Observed, No Compensation","Logged Forest",-2617,"Observed","Anthropogenic"
"SuccessionSecondaire511",-724,-185,"Duiker","Observed, No Compensation","Secondary Forest",-455,"Observed","Anthropogenic"
