"","AGB_Change","Plot","PercentRemoved"
"1",-4431.49031935612,"ACDG_P015",25
"2",-1522.46258737191,"ACDG_P015",50
"3",-14021.3452073583,"ACDG_P015",100
"4",-10010.9277646195,"ACDG_P015",25
"5",-17921.7725229097,"ACDG_P015",50
"6",-18896.2953930896,"ACDG_P015",100
"7",-3362.56775868303,"ACDG_P015",25
"8",-3306.5430382505,"ACDG_P015",50
"9",-365.273295529332,"ACDG_P015",100
"10",-6320.96156867413,"ACDG_P015",25
"11",-3189.98104315522,"ACDG_P015",50
"12",-14065.241786517,"ACDG_P015",100
"13",4112.63732615029,"ACDG_P015",25
"14",-3753.16748829786,"ACDG_P015",50
"15",-24160.2425804708,"ACDG_P015",100
"16",589.832996261801,"ACDG_P015",25
"17",-8778.78538960105,"ACDG_P015",50
"18",-21826.7470663036,"ACDG_P015",100
"19",-916.120620352653,"ACDG_P015",25
"20",-16362.0933398389,"ACDG_P015",50
"21",-21219.0214570021,"ACDG_P015",100
"22",-8748.60832517673,"ACDG_P015",25
"23",-9033.52097355071,"ACDG_P015",50
"24",-23074.6410780591,"ACDG_P015",100
"25",9509.75226896312,"ACDG_P015",25
"26",-6371.43571633138,"ACDG_P015",50
"27",-23361.204833576,"ACDG_P015",100
"28",-6852.24456306986,"ACDG_P015",25
"29",-10521.8557511534,"ACDG_P015",50
"30",-11025.1883786256,"ACDG_P015",100
"31",-9323.40305131359,"ACDG_P015",25
"32",-10321.8485320254,"ACDG_P015",50
"33",-11673.1039260421,"ACDG_P015",100
"34",-7390.11128530392,"ACDG_P015",25
"35",-571.472790207219,"ACDG_P015",50
"36",-19244.2416921136,"ACDG_P015",100
"37",-6772.18533868191,"ACDG_P015",25
"38",-13793.2263163997,"ACDG_P015",50
"39",-22854.3808708441,"ACDG_P015",100
"40",-4680.36790165925,"ACDG_P015",25
"41",-3150.3436952614,"ACDG_P015",50
"42",-11900.5218297504,"ACDG_P015",100
"43",-3595.47854413677,"ACDG_P015",25
"44",-11972.5691692752,"ACDG_P015",50
"45",-24126.196525907,"ACDG_P015",100
"46",-3805.21189078712,"ACDG_P015",25
"47",-15339.5738686965,"ACDG_P015",50
"48",-12322.1850832555,"ACDG_P015",100
"49",-6917.73331939339,"ACDG_P015",25
"50",-9721.85187027216,"ACDG_P015",50
"51",-15016.6187777459,"ACDG_P015",100
"52",7935.02111068516,"ACDG_P015",25
"53",-16492.653884038,"ACDG_P015",50
"54",-22152.1926926071,"ACDG_P015",100
"55",-7922.19046508294,"ACDG_P015",25
"56",-17567.5825175873,"ACDG_P015",50
