"","AGB_Change","Plot","PercentRemoved"
"1",-5079.57296889511,"ACDG_P015",25
"2",-1746.10195585521,"ACDG_P015",50
"3",-5271.35434229847,"ACDG_P015",100
"4",4461.10208670839,"ACDG_P015",25
"5",-6924.94334829037,"ACDG_P015",50
"6",-8037.86645716761,"ACDG_P015",100
"7",-1250.65743119834,"ACDG_P015",25
"8",-1536.84130749767,"ACDG_P015",50
"9",8816.0056938747,"ACDG_P015",100
"10",-1756.79167742716,"ACDG_P015",25
"11",-582.081017538585,"ACDG_P015",50
"12",-7606.18372224219,"ACDG_P015",100
"13",-3387.69163373343,"ACDG_P015",25
"14",-2974.99057112631,"ACDG_P015",50
"15",1935.53022516621,"ACDG_P015",100
"16",2711.98480124352,"ACDG_P015",25
"17",-6575.21166530269,"ACDG_P015",50
"18",-139.044720820268,"ACDG_P015",100
"19",-628.859196365229,"ACDG_P015",25
"20",-3763.9775817495,"ACDG_P015",50
"21",-4048.92081857813,"ACDG_P015",100
"22",-2324.95527579673,"ACDG_P015",25
"23",-3502.23921217921,"ACDG_P015",50
"24",-8018.38026089262,"ACDG_P015",100
"25",-3173.79902829381,"ACDG_P015",25
"26",-1255.07471621039,"ACDG_P015",50
"27",-5812.58114219553,"ACDG_P015",100
"28",-1936.58582097327,"ACDG_P015",25
"29",-1997.83983721459,"ACDG_P015",50
"30",879.139851554442,"ACDG_P015",100
"31",-6922.84082574141,"ACDG_P015",25
"32",-1178.15554954347,"ACDG_P015",50
"33",-7878.73930789373,"ACDG_P015",100
"34",1856.86392091188,"ACDG_P015",25
"35",-364.958652681205,"ACDG_P015",50
"36",-7556.56617418316,"ACDG_P015",100
"37",-1765.06041879809,"ACDG_P015",25
"38",-4092.17752197108,"ACDG_P015",50
"39",-3676.06666953425,"ACDG_P015",100
"40",-5702.97977436674,"ACDG_P015",25
"41",7220.70188786884,"ACDG_P015",50
"42",-6071.77780106093,"ACDG_P015",100
"43",-2531.70911922908,"ACDG_P015",25
"44",-1676.5004948737,"ACDG_P015",50
"45",-4331.32961028389,"ACDG_P015",100
"46",1130.50184377067,"ACDG_P015",25
"47",-3320.09085732509,"ACDG_P015",50
"48",-8945.18017784265,"ACDG_P015",100
"49",-4632.3074987994,"ACDG_P015",25
"50",-2708.0935449563,"ACDG_P015",50
"51",-8752.97413400598,"ACDG_P015",100
"52",-1003.50700436684,"ACDG_P015",25
"53",-6460.0966903459,"ACDG_P015",50
"54",-9603.9781650049,"ACDG_P015",100
"55",-5234.81191014432,"ACDG_P015",25
"56",-2703.55210289406,"ACDG_P015",50
"57",-2762.11285239513,"ACDG_P015",100
"58",5281.82005673516,"ACDG_P015",25
"59",-2848.5031194569,"ACDG_P015",50
"60",-4399.74419344126,"ACDG_P015",100
"61",-1645.19786741989,"ACDG_P015",25
"62",-3726.69901215637,"ACDG_P015",50
"63",-8397.99955615593,"ACDG_P015",100
"64",-1843.95768465893,"ACDG_P015",25
"65",-6209.40057567958,"ACDG_P015",50
"66",-10091.7194469339,"ACDG_P015",100
"67",-1179.67314253206,"ACDG_P015",25
"68",-4748.74496509787,"ACDG_P015",50
"69",-8456.46694179575,"ACDG_P015",100
"70",-6289.97197251569,"ACDG_P015",25
"71",-6506.57729322612,"ACDG_P015",50
"72",-4286.79908213226,"ACDG_P015",100
"73",-678.27122740788,"ACDG_P015",25
"74",-6447.72122266638,"ACDG_P015",50
"75",-5313.70361830795,"ACDG_P015",100
"76",-1378.2515375925,"ACDG_P015",25
"77",-3120.40137659907,"ACDG_P015",50
"78",938.36635623101,"ACDG_P015",100
"79",-2856.64514066599,"ACDG_P015",25
