"","AGB_Change","Plot","PercentRemoved"
"1",-4510.28983277801,"ACDG_P015",25
"2",-5495.09201815247,"ACDG_P015",50
"3",-28216.4783708129,"ACDG_P015",100
"4",-2148.53795486473,"ACDG_P015",25
"5",-7818.40266541587,"ACDG_P015",50
"6",-19184.5464034326,"ACDG_P015",100
"7",-9009.02830120325,"ACDG_P015",25
"8",-14019.8699293668,"ACDG_P015",50
"9",-20493.2766354166,"ACDG_P015",100
"10",-8564.78513010149,"ACDG_P015",25
"11",-10327.3543053649,"ACDG_P015",50
"12",-12460.7132642619,"ACDG_P015",100
"13",-6758.8820420964,"ACDG_P015",25
"14",-9092.22779179239,"ACDG_P015",50
"15",7114.92103062946,"ACDG_P015",100
"16",-6935.39504507731,"ACDG_P015",25
"17",-13937.7399914667,"ACDG_P015",50
"18",-12982.3980956621,"ACDG_P015",100
"19",-6769.13894346036,"ACDG_P015",25
"20",-7626.33134523378,"ACDG_P015",50
"21",-22965.8043489644,"ACDG_P015",100
"22",-2281.05033034214,"ACDG_P015",25
"23",-12074.9142004342,"ACDG_P015",50
"24",-6370.16901022953,"ACDG_P015",100
"25",-10086.6312459284,"ACDG_P015",25
"26",-8446.50402308782,"ACDG_P015",50
"27",-22377.9957835685,"ACDG_P015",100
"28",-7220.68567974123,"ACDG_P015",25
"29",-5928.31148503374,"ACDG_P015",50
"30",-7225.43889563606,"ACDG_P015",100
"31",-9087.35719851972,"ACDG_P015",25
"32",-9776.60333610256,"ACDG_P015",50
"33",-15093.9683335538,"ACDG_P015",100
"34",-5030.03335934167,"ACDG_P015",25
"35",-8261.82349028331,"ACDG_P015",50
"36",-23652.5761081025,"ACDG_P015",100
"37",-12253.4269352291,"ACDG_P015",25
"38",-11043.7168029356,"ACDG_P015",50
"39",-27447.3434358204,"ACDG_P015",100
"40",5484.860130357,"ACDG_P015",25
"41",-8427.84063594809,"ACDG_P015",50
"42",-22930.653378642,"ACDG_P015",100
"43",-1848.24186983978,"ACDG_P015",25
"44",-12660.2080996964,"ACDG_P015",50
"45",-14094.3632436391,"ACDG_P015",100
"46",-8893.89165358405,"ACDG_P015",25
"47",-9226.9599818174,"ACDG_P015",50
"48",-16691.8666670367,"ACDG_P015",100
"49",-12694.981307182,"ACDG_P015",25
"50",-4013.17881642035,"ACDG_P015",50
"51",-27529.6309208808,"ACDG_P015",100
"52",-9969.62640620326,"ACDG_P015",25
"53",-7676.71627559653,"ACDG_P015",50
"54",-8079.17680661858,"ACDG_P015",100
"55",6588.8886772508,"ACDG_P015",25
"56",-13561.198613732,"ACDG_P015",50
"57",-19828.7868574455,"ACDG_P015",100
"58",5063.98949229156,"ACDG_P015",25
"59",-12310.0239651221,"ACDG_P015",50
"60",1009.32975711787,"ACDG_P015",100
"61",-2029.51686953672,"ACDG_P015",25
"62",-11309.5016138857,"ACDG_P015",50
"63",-11224.3300752268,"ACDG_P015",100
"64",-13059.1955205583,"ACDG_P015",25
"65",-12370.6915332717,"ACDG_P015",50
"66",-25622.5795212912,"ACDG_P015",100
"67",-5233.91329265462,"ACDG_P015",25
"68",-3569.66330118669,"ACDG_P015",50
"69",-12611.0599245287,"ACDG_P015",100
"70",-2451.88897773781,"ACDG_P015",25
"71",-1832.90058392382,"ACDG_P015",50
"72",-15377.301936716,"ACDG_P015",100
"73",-6593.53803271323,"ACDG_P015",25
"74",-8918.9199955503,"ACDG_P015",50
"75",-4253.8877016037,"ACDG_P015",100
"76",-9165.61340802067,"ACDG_P015",25
"77",-6194.96583011793,"ACDG_P015",50
"78",-19998.6679376102,"ACDG_P015",100
"79",994.938154810487,"ACDG_P015",25
"80",-1582.63079789991,"ACDG_P015",50
"81",-21700.2375839283,"ACDG_P015",100
"82",-6329.73505076239,"ACDG_P015",25
"83",-13980.3672227959,"ACDG_P015",50
"84",-24228.3370149148,"ACDG_P015",100
"85",-7225.83910571388,"ACDG_P015",25
"86",-11249.4937767081,"ACDG_P015",50
"87",-17852.3949546868,"ACDG_P015",100
"88",427.095097325568,"ACDG_P015",25
"89",9271.30946830395,"ACDG_P015",50
"90",-13248.4729517918,"ACDG_P015",100
"91",-3201.72415036053,"ACDG_P015",25
"92",-13042.5830690003,"ACDG_P015",50
"93",-23554.1999931876,"ACDG_P015",100
"94",-9924.57760343148,"ACDG_P015",25
"95",-10794.7971052108,"ACDG_P015",50
