"","AGB_Change","Plot","PercentRemoved"
"1",-8305.59237090105,"ACDG_P015",25
"2",-24192.9463180338,"ACDG_P015",50
"3",-49469.6270598001,"ACDG_P015",100
"4",-11890.5318195754,"ACDG_P015",25
"5",-9639.78292092637,"ACDG_P015",50
"6",-48549.3172861045,"ACDG_P015",100
"7",-3419.69192461789,"ACDG_P015",25
"8",-18695.7778569715,"ACDG_P015",50
"9",-45469.7501525454,"ACDG_P015",100
"10",-10024.0093411555,"ACDG_P015",25
"11",-14155.9709895605,"ACDG_P015",50
"12",-50822.9472861665,"ACDG_P015",100
"13",-12027.8436866156,"ACDG_P015",25
"14",-16127.9131543641,"ACDG_P015",50
"15",-43266.741321564,"ACDG_P015",100
"16",-8748.36725647975,"ACDG_P015",25
"17",-33293.0955672433,"ACDG_P015",50
"18",-51443.8527931146,"ACDG_P015",100
"19",-14458.8417188409,"ACDG_P015",25
"20",-19836.6570331037,"ACDG_P015",50
"21",-45437.1871488497,"ACDG_P015",100
"22",-12316.0692323004,"ACDG_P015",25
"23",-21799.3226749664,"ACDG_P015",50
"24",-38314.2030183613,"ACDG_P015",100
"25",-5666.43284834421,"ACDG_P015",25
"26",-26091.4032896979,"ACDG_P015",50
"27",-49256.0432135804,"ACDG_P015",100
"28",-8906.50350343526,"ACDG_P015",25
"29",-25897.9412358829,"ACDG_P015",50
"30",-50469.6779396073,"ACDG_P015",100
"31",-17809.8621897214,"ACDG_P015",25
"32",-12979.1808437781,"ACDG_P015",50
"33",-45502.9093511357,"ACDG_P015",100
"34",-14802.4065030732,"ACDG_P015",25
"35",-17207.2951937842,"ACDG_P015",50
"36",-41041.9485635465,"ACDG_P015",100
"37",-13697.8080459029,"ACDG_P015",25
"38",-21815.5227309514,"ACDG_P015",50
"39",-50206.8438233026,"ACDG_P015",100
"40",-11180.9106088708,"ACDG_P015",25
"41",-18961.639257641,"ACDG_P015",50
"42",-43890.6125849569,"ACDG_P015",100
"43",-13644.6230493004,"ACDG_P015",25
"44",-12946.1026789928,"ACDG_P015",50
"45",-52285.0156079223,"ACDG_P015",100
"46",-15473.479342916,"ACDG_P015",25
"47",-14172.7280260947,"ACDG_P015",50
"48",-40048.7149981029,"ACDG_P015",100
"49",-23969.0967006909,"ACDG_P015",25
"50",-16225.864595704,"ACDG_P015",50
"51",-23672.5093157362,"ACDG_P015",100
"52",-3387.86211849027,"ACDG_P015",25
"53",-21679.6742407001,"ACDG_P015",50
"54",-52209.726264253,"ACDG_P015",100
"55",-15069.9087070822,"ACDG_P015",25
"56",-26792.400939959,"ACDG_P015",50
"57",-51660.0755171154,"ACDG_P015",100
"58",-13363.2983063276,"ACDG_P015",25
"59",-18071.107921859,"ACDG_P015",50
"60",-52958.1796491111,"ACDG_P015",100
"61",-15122.6851929655,"ACDG_P015",25
