"","AGB_Change","Plot","PercentRemoved"
"1",-19970.8236552372,"ACDG_P015",25
"2",-27437.6372439092,"ACDG_P015",50
"3",-94419.5993010276,"ACDG_P015",100
"4",-23634.6233128708,"ACDG_P015",25
"5",-40670.794136366,"ACDG_P015",50
"6",-71556.3327982932,"ACDG_P015",100
"7",-38079.1672165782,"ACDG_P015",25
"8",-51762.0693916042,"ACDG_P015",50
"9",-82988.8015681276,"ACDG_P015",100
"10",-23520.5941613761,"ACDG_P015",25
"11",-13149.7099805837,"ACDG_P015",50
"12",-90379.0564564133,"ACDG_P015",100
"13",-16931.3313117246,"ACDG_P015",25
"14",-9627.49621727908,"ACDG_P015",50
"15",-83657.6011366913,"ACDG_P015",100
"16",-1686.18585189449,"ACDG_P015",25
"17",-45613.3896697419,"ACDG_P015",50
"18",-89736.6762105332,"ACDG_P015",100
"19",-15826.3495113931,"ACDG_P015",25
"20",-58856.5425017262,"ACDG_P015",50
"21",-88971.8097679389,"ACDG_P015",100
"22",-22869.8414509429,"ACDG_P015",25
"23",-39332.9049710606,"ACDG_P015",50
"24",-85274.2110216731,"ACDG_P015",100
"25",-11112.4567316459,"ACDG_P015",25
"26",-21795.1837069603,"ACDG_P015",50
"27",-88479.4985270611,"ACDG_P015",100
"28",-23032.4754209254,"ACDG_P015",25
"29",-30281.5265655566,"ACDG_P015",50
"30",-92212.2054339954,"ACDG_P015",100
"31",-9588.977618962,"ACDG_P015",25
"32",-42846.5023143135,"ACDG_P015",50
"33",-85447.9367485023,"ACDG_P015",100
"34",-8995.46212799157,"ACDG_P015",25
"35",-39457.3463106054,"ACDG_P015",50
"36",-72994.5053785687,"ACDG_P015",100
"37",-26056.8557344078,"ACDG_P015",25
"38",-59310.7876789903,"ACDG_P015",50
"39",-89200.3104963418,"ACDG_P015",100
"40",-7578.97064037566,"ACDG_P015",25
"41",-29499.5896644727,"ACDG_P015",50
"42",-89243.8298908737,"ACDG_P015",100
"43",-21728.0455374195,"ACDG_P015",25
"44",-63022.5837820166,"ACDG_P015",50
"45",-101183.607492476,"ACDG_P015",100
"46",-19478.9161299534,"ACDG_P015",25
"47",-54352.4810780972,"ACDG_P015",50
"48",-91331.6151018122,"ACDG_P015",100
"49",-24584.9796172202,"ACDG_P015",25
"50",-50925.7246008496,"ACDG_P015",50
"51",-87284.2471133824,"ACDG_P015",100
"52",-24980.5132581363,"ACDG_P015",25
"53",-38390.5997311083,"ACDG_P015",50
"54",-77986.1988318729,"ACDG_P015",100
"55",-37902.6220743901,"ACDG_P015",25
"56",-37961.0773537031,"ACDG_P015",50
"57",-76347.9874757111,"ACDG_P015",100
"58",-40818.5085304829,"ACDG_P015",25
"59",-51540.5674969108,"ACDG_P015",50
"60",-91173.5810109429,"ACDG_P015",100
"61",-9891.88515566199,"ACDG_P015",25
"62",-42729.5217916766,"ACDG_P015",50
"63",-65862.84970268,"ACDG_P015",100
"64",-7401.1921026287,"ACDG_P015",25
"65",-50169.6706452029,"ACDG_P015",50
"66",-88867.2972736181,"ACDG_P015",100
"67",-22937.3485332549,"ACDG_P015",25
"68",-48043.4999147005,"ACDG_P015",50
"69",-84130.5158003757,"ACDG_P015",100
"70",-30023.391332743,"ACDG_P015",25
"71",-35665.785289462,"ACDG_P015",50
"72",-101582.465838731,"ACDG_P015",100
"73",-20959.5980248125,"ACDG_P015",25
"74",-33360.8296435142,"ACDG_P015",50
"75",-92890.9484321307,"ACDG_P015",100
"76",-32278.8647977026,"ACDG_P015",25
"77",-39106.3610862383,"ACDG_P015",50
"78",-79109.927990001,"ACDG_P015",100
"79",-35491.3042040712,"ACDG_P015",25
"80",-30175.5392641955,"ACDG_P015",50
"81",-85155.1741247931,"ACDG_P015",100
"82",-21066.6432495797,"ACDG_P015",25
"83",-34006.8761008196,"ACDG_P015",50
"84",-93443.4119444584,"ACDG_P015",100
"85",-25324.5565453029,"ACDG_P015",25
"86",-55594.3004578505,"ACDG_P015",50
"87",-85174.4593534756,"ACDG_P015",100
"88",-10113.7241407167,"ACDG_P015",25
"89",-30898.728131194,"ACDG_P015",50
"90",-90970.5391159253,"ACDG_P015",100
"91",-15456.5615011963,"ACDG_P015",25
"92",-28713.5760703913,"ACDG_P015",50
"93",-81551.7644972451,"ACDG_P015",100
"94",-25793.6230096138,"ACDG_P015",25
"95",-49258.6823775708,"ACDG_P015",50
"96",-88654.3633515986,"ACDG_P015",100
"97",-13937.9212309582,"ACDG_P015",25
"98",-39180.8826667245,"ACDG_P015",50
"99",-82968.5076057705,"ACDG_P015",100
"100",-24007.847532841,"ACDG_P015",25
"101",-51376.3531421885,"ACDG_P015",50
"102",-80804.584781512,"ACDG_P015",100
"103",-20566.7959722339,"ACDG_P015",25
"104",-49388.9853426499,"ACDG_P015",50
"105",-81584.4761307858,"ACDG_P015",100
"106",-7096.00791453477,"ACDG_P015",25
"107",-39509.2012092039,"ACDG_P015",50
"108",-83123.406345394,"ACDG_P015",100
"109",-33293.6257924341,"ACDG_P015",25
"110",-42099.6070795823,"ACDG_P015",50
"111",-65097.1509567369,"ACDG_P015",100
"112",-14853.8681710443,"ACDG_P015",25
"113",-26694.5869668986,"ACDG_P015",50
"114",-83616.6016488039,"ACDG_P015",100
"115",-20171.3594304789,"ACDG_P015",25
"116",-49748.2490456591,"ACDG_P015",50
"117",-87546.7663301468,"ACDG_P015",100
"118",-20046.3788862759,"ACDG_P015",25
"119",-53208.7961851467,"ACDG_P015",50
"120",-89436.8188368762,"ACDG_P015",100
"121",-37060.2662086241,"ACDG_P015",25
"122",-26749.6115003927,"ACDG_P015",50
"123",-92867.1929886336,"ACDG_P015",100
"124",-12453.9102842963,"ACDG_P015",25
"125",-46416.7495900744,"ACDG_P015",50
"126",-80263.0891013209,"ACDG_P015",100
"127",-24384.978568807,"ACDG_P015",25
"128",-30743.7174660005,"ACDG_P015",50
"129",-90127.3360437326,"ACDG_P015",100
"130",-23413.9677870512,"ACDG_P015",25
"131",-47872.9368542335,"ACDG_P015",50
"132",-79824.1238161587,"ACDG_P015",100
"133",-13680.7842396861,"ACDG_P015",25
"134",-44242.545562069,"ACDG_P015",50
"135",-93756.7980217849,"ACDG_P015",100
"136",-21355.3754538663,"ACDG_P015",25
"137",-44315.3167381258,"ACDG_P015",50
"138",-86952.2922405981,"ACDG_P015",100
"139",-35665.7902973827,"ACDG_P015",25
"140",-47338.1530372897,"ACDG_P015",50
"141",-85946.3782035778,"ACDG_P015",100
"142",-15362.6819941742,"ACDG_P015",25
"143",-38136.3234891082,"ACDG_P015",50
"144",-98813.0596888514,"ACDG_P015",100
"145",-19904.0849183675,"ACDG_P015",25
"146",-8605.85494375887,"ACDG_P015",50
"147",-80169.6107791346,"ACDG_P015",100
"148",-17066.0915983968,"ACDG_P015",25
"149",-44152.4938603576,"ACDG_P015",50
"150",-71458.4127959916,"ACDG_P015",100
"151",-8664.74631667082,"ACDG_P015",25
"152",-49722.0618979112,"ACDG_P015",50
"153",-79551.617566688,"ACDG_P015",100
"154",-21544.6857910344,"ACDG_P015",25
"155",-54167.6824958774,"ACDG_P015",50
"156",-98716.4605466163,"ACDG_P015",100
"157",-27839.7116395433,"ACDG_P015",25
"158",-46107.422513073,"ACDG_P015",50
"159",-82024.2775772422,"ACDG_P015",100
"160",-12409.8333547252,"ACDG_P015",25
"161",-41342.2142526385,"ACDG_P015",50
"162",-85683.3441969848,"ACDG_P015",100
"163",-13789.2453249125,"ACDG_P015",25
"164",-58734.951025422,"ACDG_P015",50
"165",-85091.9405232916,"ACDG_P015",100
"166",-34548.4771208017,"ACDG_P015",25
"167",-32230.3874318248,"ACDG_P015",50
"168",-83852.8784856844,"ACDG_P015",100
"169",-38023.8523936059,"ACDG_P015",25
"170",-30312.7182468901,"ACDG_P015",50
"171",-80601.0829214224,"ACDG_P015",100
"172",-12849.6663549411,"ACDG_P015",25
"173",-37037.8575317767,"ACDG_P015",50
"174",-80809.1301410534,"ACDG_P015",100
"175",-21177.8621064727,"ACDG_P015",25
"176",-42112.0394306596,"ACDG_P015",50
"177",-88512.1493434037,"ACDG_P015",100
"178",-14398.1773499798,"ACDG_P015",25
"179",-43628.0459325752,"ACDG_P015",50
"180",-94962.3233930494,"ACDG_P015",100
"181",-12883.2413021563,"ACDG_P015",25
"182",-54880.0759849816,"ACDG_P015",50
"183",-102119.376128809,"ACDG_P015",100
"184",-19219.6422246112,"ACDG_P015",25
"185",-52498.1149524353,"ACDG_P015",50
"186",-71228.6278373482,"ACDG_P015",100
"187",-21336.7314655597,"ACDG_P015",25
"188",-37314.7101294156,"ACDG_P015",50
"189",-79439.656004023,"ACDG_P015",100
"190",-35438.6703512641,"ACDG_P015",25
"191",-35280.8269056355,"ACDG_P015",50
"192",-73104.2069493345,"ACDG_P015",100
"193",-35243.3061589435,"ACDG_P015",25
"194",-44742.5926664483,"ACDG_P015",50
"195",-83600.4139056531,"ACDG_P015",100
"196",-5462.34346550249,"ACDG_P015",25
"197",-45816.7440803371,"ACDG_P015",50
"198",-92914.9812094316,"ACDG_P015",100
"199",-23098.45485955,"ACDG_P015",25
"200",-43859.0152607901,"ACDG_P015",50
"201",-83966.8001738994,"ACDG_P015",100
"202",-25384.2530506681,"ACDG_P015",25
"203",-52825.4122868622,"ACDG_P015",50
"204",-88887.6436187597,"ACDG_P015",100
"205",-39667.2728649256,"ACDG_P015",25
"206",-38073.6091097727,"ACDG_P015",50
"207",-80099.5288428187,"ACDG_P015",100
"208",-26773.2105840648,"ACDG_P015",25
"209",-39115.7256865545,"ACDG_P015",50
"210",-84326.3267492024,"ACDG_P015",100
"211",-25516.3199254759,"ACDG_P015",25
"212",-42303.9714965371,"ACDG_P015",50
"213",-99325.8505927712,"ACDG_P015",100
"214",-27358.0715531374,"ACDG_P015",25
"215",-35392.7402393607,"ACDG_P015",50
"216",-83345.3115263202,"ACDG_P015",100
"217",-5567.03442742562,"ACDG_P015",25
"218",-45084.5125980956,"ACDG_P015",50
"219",-96447.8414441284,"ACDG_P015",100
"220",-36341.6322109965,"ACDG_P015",25
"221",-50012.7616502937,"ACDG_P015",50
"222",-94343.1979788754,"ACDG_P015",100
"223",-28151.2977122464,"ACDG_P015",25
"224",-54814.5349872272,"ACDG_P015",50
"225",-78609.814544634,"ACDG_P015",100
"226",-9712.70745409888,"ACDG_P015",25
"227",-55581.1366464839,"ACDG_P015",50
"228",-93285.1409778728,"ACDG_P015",100
"229",-25547.002532137,"ACDG_P015",25
"230",-44863.264139549,"ACDG_P015",50
"231",-85684.6432745131,"ACDG_P015",100
"232",-18687.0965043263,"ACDG_P015",25
"233",-61937.4238064114,"ACDG_P015",50
"234",-100547.884504533,"ACDG_P015",100
"235",-12164.3258998625,"ACDG_P015",25
"236",-46918.3272291529,"ACDG_P015",50
"237",-96482.2506401784,"ACDG_P015",100
"238",-31608.880581918,"ACDG_P015",25
"239",-59942.6029112276,"ACDG_P015",50
"240",-80160.0399108608,"ACDG_P015",100
"241",-18962.1255610638,"ACDG_P015",25
"242",-59568.7440941237,"ACDG_P015",50
"243",-81541.4600325477,"ACDG_P015",100
"244",-19385.3309650922,"ACDG_P015",25
"245",-37813.5272480189,"ACDG_P015",50
"246",-83015.6496106695,"ACDG_P015",100
"247",-15664.7754831269,"ACDG_P015",25
"248",-35162.939463208,"ACDG_P015",50
"249",-74226.6907055277,"ACDG_P015",100
"250",-19771.2116824079,"ACDG_P015",25
"251",-23597.8467039668,"ACDG_P015",50
"252",-94198.9854607171,"ACDG_P015",100
"253",-27840.1565717142,"ACDG_P015",25
"254",-44078.7881246401,"ACDG_P015",50
"255",-84105.8647424978,"ACDG_P015",100
"256",-23938.4247380685,"ACDG_P015",25
"257",-38978.9813090481,"ACDG_P015",50
"258",-77195.34968047,"ACDG_P015",100
"259",-23284.8768912859,"ACDG_P015",25
"260",-63043.0010682732,"ACDG_P015",50
"261",-80890.2523937517,"ACDG_P015",100
"262",-14944.7254975516,"ACDG_P015",25
"263",-47689.8757849323,"ACDG_P015",50
"264",-86058.3329751289,"ACDG_P015",100
"265",-21581.6776572487,"ACDG_P015",25
"266",-53716.7769725209,"ACDG_P015",50
"267",-84345.604792448,"ACDG_P015",100
"268",4323.72183457439,"ACDG_P015",25
"269",-49954.736654388,"ACDG_P015",50
"270",-77636.8741667738,"ACDG_P015",100
"271",-35089.7310928015,"ACDG_P015",25
"272",-49412.6903368906,"ACDG_P015",50
"273",-85691.6893467394,"ACDG_P015",100
"274",-9113.24266657355,"ACDG_P015",25
"275",-39871.6451755129,"ACDG_P015",50
"276",-85960.1317274811,"ACDG_P015",100
"277",-6154.21544416269,"ACDG_P015",25
"278",-40737.6639141126,"ACDG_P015",50
"279",-95947.013852103,"ACDG_P015",100
"280",-30947.299276533,"ACDG_P015",25
"281",-34620.3114942967,"ACDG_P015",50
"282",-77107.9500658673,"ACDG_P015",100
"283",-16006.0197779081,"ACDG_P015",25
"284",-71930.3178150155,"ACDG_P015",50
"285",-86220.7544836324,"ACDG_P015",100
"286",-19256.0325622123,"ACDG_P015",25
"287",-31566.5921348634,"ACDG_P015",50
"288",-82937.920765308,"ACDG_P015",100
"289",-19996.0760420348,"ACDG_P015",25
"290",-42658.6008433976,"ACDG_P015",50
"291",-93859.1930160385,"ACDG_P015",100
"292",-15897.7397971117,"ACDG_P015",25
"293",-42246.9654595334,"ACDG_P015",50
"294",-91469.6928340473,"ACDG_P015",100
"295",-19497.6847106024,"ACDG_P015",25
"296",-43166.1891866798,"ACDG_P015",50
"297",-91180.1173510608,"ACDG_P015",100
"298",-15628.2557808931,"ACDG_P015",25
"299",-38019.2639205136,"ACDG_P015",50
"300",-82266.889209754,"ACDG_P015",100
"301",-926.611616556998,"ACDG_P016",25
"302",-7106.45556301691,"ACDG_P016",50
