"","AGB_Change","Plot","PercentRemoved"
"1",-20800.8877441777,"ACDG_P015",25
"2",-44244.0881768673,"ACDG_P015",50
"3",-67124.6021334772,"ACDG_P015",100
"4",-20248.4223515978,"ACDG_P015",25
"5",-51230.2449283252,"ACDG_P015",50
"6",-78675.4056426083,"ACDG_P015",100
"7",-17804.1039110581,"ACDG_P015",25
"8",-45150.6799096865,"ACDG_P015",50
"9",-79762.6721900216,"ACDG_P015",100
"10",-22962.1737726782,"ACDG_P015",25
"11",-46638.7367743945,"ACDG_P015",50
"12",-82483.9039610042,"ACDG_P015",100
"13",-15757.7643434105,"ACDG_P015",25
"14",-35650.0844346355,"ACDG_P015",50
"15",-71164.2882215009,"ACDG_P015",100
"16",-29171.9432357005,"ACDG_P015",25
"17",-46141.8068994448,"ACDG_P015",50
"18",-66759.1831464437,"ACDG_P015",100
"19",-35960.4788816461,"ACDG_P015",25
"20",-48982.0688166012,"ACDG_P015",50
"21",-68668.986232239,"ACDG_P015",100
"22",-22340.2052064531,"ACDG_P015",25
"23",-43281.0156406834,"ACDG_P015",50
"24",-74913.3383700158,"ACDG_P015",100
"25",296.595970966329,"ACDG_P015",25
"26",-40863.91962411,"ACDG_P015",50
"27",-73527.8208639261,"ACDG_P015",100
"28",-22551.111125155,"ACDG_P015",25
"29",-41529.0663279544,"ACDG_P015",50
"30",-65944.7784612266,"ACDG_P015",100
"31",-16528.2579692583,"ACDG_P015",25
"32",-32907.669554188,"ACDG_P015",50
"33",-71804.2359500719,"ACDG_P015",100
"34",-32825.4002218876,"ACDG_P015",25
"35",-42568.5570657295,"ACDG_P015",50
"36",-76842.6281045882,"ACDG_P015",100
"37",-17125.3805140601,"ACDG_P015",25
"38",-26110.4650723912,"ACDG_P015",50
"39",-63700.473140794,"ACDG_P015",100
"40",-14039.5860297463,"ACDG_P015",25
"41",-26839.7950590415,"ACDG_P015",50
"42",-63250.7337260182,"ACDG_P015",100
"43",-10552.0885371029,"ACDG_P015",25
"44",-47654.9787432763,"ACDG_P015",50
"45",-73117.9297490117,"ACDG_P015",100
"46",-9345.14743320807,"ACDG_P015",25
"47",-32273.1148560877,"ACDG_P015",50
"48",-77897.6284824713,"ACDG_P015",100
"49",-17528.4282975808,"ACDG_P015",25
"50",-48866.7001512132,"ACDG_P015",50
"51",-69321.4982505495,"ACDG_P015",100
"52",-23447.1344693891,"ACDG_P015",25
"53",-38922.7473578738,"ACDG_P015",50
"54",-71414.4670939842,"ACDG_P015",100
"55",-4962.15324925527,"ACDG_P015",25
"56",-27238.5524231265,"ACDG_P015",50
"57",-71919.2643349634,"ACDG_P015",100
"58",-15783.7335727214,"ACDG_P015",25
"59",-43798.1337508002,"ACDG_P015",50
"60",-78110.1748587649,"ACDG_P015",100
"61",-28637.0373985631,"ACDG_P015",25
"62",-29410.4103748765,"ACDG_P015",50
"63",-69567.8747070704,"ACDG_P015",100
"64",-12062.8999466446,"ACDG_P015",25
"65",-30149.9488273009,"ACDG_P015",50
"66",-76080.3837559438,"ACDG_P015",100
"67",-28664.1850485936,"ACDG_P015",25
"68",-35243.059151345,"ACDG_P015",50
"69",-60884.5610135273,"ACDG_P015",100
"70",-5926.27593554926,"ACDG_P015",25
"71",-26694.2721106524,"ACDG_P015",50
"72",-66125.0199447675,"ACDG_P015",100
"73",-19471.3444315293,"ACDG_P015",25
"74",-38520.3507202598,"ACDG_P015",50
"75",-68221.7863099123,"ACDG_P015",100
"76",-23420.7811153456,"ACDG_P015",25
"77",-29354.3149793476,"ACDG_P015",50
"78",-72065.5634531153,"ACDG_P015",100
"79",-13367.0879686924,"ACDG_P015",25
"80",-30720.9868896807,"ACDG_P015",50
"81",-71712.8931663324,"ACDG_P015",100
"82",-8473.69498223584,"ACDG_P015",25
"83",-43885.2851465038,"ACDG_P015",50
"84",-70905.8724032515,"ACDG_P015",100
"85",-9204.64332165851,"ACDG_P015",25
"86",-35977.8949925383,"ACDG_P015",50
"87",-72227.6135999116,"ACDG_P015",100
"88",-19337.0909900447,"ACDG_P015",25
"89",-33602.7188085945,"ACDG_P015",50
"90",-73485.4485837847,"ACDG_P015",100
"91",-20146.0322088769,"ACDG_P015",25
"92",-30664.7337780473,"ACDG_P015",50
"93",-72766.6252966487,"ACDG_P015",100
"94",-33926.9812835834,"ACDG_P015",25
"95",-45313.301132894,"ACDG_P015",50
"96",-70007.0696966699,"ACDG_P015",100
"97",-10937.8548294581,"ACDG_P015",25
"98",-47235.7486913103,"ACDG_P015",50
"99",-86020.9747827029,"ACDG_P015",100
"100",-8587.2674653219,"ACDG_P015",25
"101",-35951.551030472,"ACDG_P015",50
"102",-75046.9461965778,"ACDG_P015",100
"103",-19055.0622162464,"ACDG_P015",25
"104",-23171.7787230815,"ACDG_P015",50
"105",-67693.9177832528,"ACDG_P015",100
"106",-30615.9826441072,"ACDG_P015",25
"107",-27302.2296058232,"ACDG_P015",50
"108",-70499.9473916197,"ACDG_P015",100
"109",-12768.8385332635,"ACDG_P015",25
"110",-19874.470387115,"ACDG_P015",50
"111",-64228.6473410304,"ACDG_P015",100
"112",-22973.4291684556,"ACDG_P015",25
"113",-38186.0814951174,"ACDG_P015",50
"114",-77886.5902108775,"ACDG_P015",100
"115",-18791.8911475393,"ACDG_P015",25
"116",-44407.4683325147,"ACDG_P015",50
"117",-76506.3925784401,"ACDG_P015",100
"118",-14217.6176205604,"ACDG_P015",25
"119",-43391.1916628417,"ACDG_P015",50
"120",-54167.5997045203,"ACDG_P015",100
"121",-15160.6985101196,"ACDG_P015",25
"122",-32395.7407835197,"ACDG_P015",50
"123",-75356.3768339973,"ACDG_P015",100
"124",-15278.8251731756,"ACDG_P015",25
"125",-47388.4322292295,"ACDG_P015",50
"126",-62714.7477664062,"ACDG_P015",100
"127",-4680.70505404973,"ACDG_P015",25
"128",-37484.9364783732,"ACDG_P015",50
"129",-72862.0596645069,"ACDG_P015",100
"130",-17649.5080382402,"ACDG_P015",25
"131",-29630.9333817165,"ACDG_P015",50
"132",-84253.3877432499,"ACDG_P015",100
"133",-16664.0476584085,"ACDG_P015",25
"134",-50036.8969715833,"ACDG_P015",50
"135",-78870.2755664721,"ACDG_P015",100
"136",-44665.2300678878,"ACDG_P015",25
"137",-47247.5120498127,"ACDG_P015",50
"138",-70155.8273492278,"ACDG_P015",100
"139",-25568.1995818384,"ACDG_P015",25
"140",-34095.6884886209,"ACDG_P015",50
"141",-68254.9735188754,"ACDG_P015",100
"142",-35193.2145841323,"ACDG_P015",25
"143",-50067.4179628731,"ACDG_P015",50
"144",-65252.0094914953,"ACDG_P015",100
"145",-20765.2891284425,"ACDG_P015",25
"146",-33920.4664353198,"ACDG_P015",50
"147",-74048.7783239447,"ACDG_P015",100
"148",-22440.9195926029,"ACDG_P015",25
"149",-39525.6141001257,"ACDG_P015",50
"150",-74392.306699366,"ACDG_P015",100
"151",-13298.9350001482,"ACDG_P015",25
"152",-39436.5076764745,"ACDG_P015",50
"153",-71881.7873284034,"ACDG_P015",100
"154",-9815.68355560291,"ACDG_P015",25
"155",-35785.3531285399,"ACDG_P015",50
"156",-72520.2883132304,"ACDG_P015",100
"157",-23747.5682141093,"ACDG_P015",25
"158",-27427.2408691274,"ACDG_P015",50
"159",-67715.8813842717,"ACDG_P015",100
"160",-14876.5939346193,"ACDG_P015",25
"161",-37066.8804683099,"ACDG_P015",50
"162",-77990.2267554983,"ACDG_P015",100
"163",-17650.5609638549,"ACDG_P015",25
"164",-41887.4772153386,"ACDG_P015",50
"165",-75420.7480228502,"ACDG_P015",100
"166",-20613.7406039763,"ACDG_P015",25
"167",-37705.7885171374,"ACDG_P015",50
"168",-68888.5990001999,"ACDG_P015",100
"169",-23725.034357972,"ACDG_P015",25
"170",-47426.9808833384,"ACDG_P015",50
"171",-78531.2024850327,"ACDG_P015",100
"172",-14235.7834917312,"ACDG_P015",25
"173",-37960.2208140368,"ACDG_P015",50
"174",-74524.7240330516,"ACDG_P015",100
"175",-9779.12302974518,"ACDG_P015",25
"176",-49926.1792211476,"ACDG_P015",50
"177",-80408.2439656134,"ACDG_P015",100
"178",-12269.4737563058,"ACDG_P015",25
"179",-26904.950615189,"ACDG_P015",50
"180",-72128.6041888552,"ACDG_P015",100
"181",-31550.3514099752,"ACDG_P015",25
"182",-50183.0220228457,"ACDG_P015",50
"183",-72657.9698986203,"ACDG_P015",100
"184",-21435.9723476454,"ACDG_P015",25
"185",-40732.0995382512,"ACDG_P015",50
"186",-78071.608704684,"ACDG_P015",100
"187",-23216.0939342222,"ACDG_P015",25
"188",-35068.6259673794,"ACDG_P015",50
"189",-75423.593506916,"ACDG_P015",100
"190",-27125.2676853154,"ACDG_P015",25
"191",-33415.717348232,"ACDG_P015",50
"192",-68288.0516797111,"ACDG_P015",100
"193",-26458.1094036491,"ACDG_P015",25
"194",-32478.0892161137,"ACDG_P015",50
"195",-82894.9085856357,"ACDG_P015",100
"196",-24383.9554845454,"ACDG_P015",25
"197",-38416.8822861086,"ACDG_P015",50
"198",-74123.8900041075,"ACDG_P015",100
"199",-27853.60853553,"ACDG_P015",25
"200",-33663.9316336829,"ACDG_P015",50
"201",-70405.8168401628,"ACDG_P015",100
"202",-22041.3951878003,"ACDG_P015",25
"203",-29491.2999233633,"ACDG_P015",50
"204",-70352.5995879033,"ACDG_P015",100
"205",-23916.8802965006,"ACDG_P015",25
"206",-26470.9857675239,"ACDG_P015",50
"207",-68387.0155357319,"ACDG_P015",100
"208",-20342.2928491842,"ACDG_P015",25
"209",-44278.3649763616,"ACDG_P015",50
"210",-70179.1119879902,"ACDG_P015",100
"211",-14363.3249913329,"ACDG_P015",25
"212",-32433.0800432025,"ACDG_P015",50
"213",-52717.0320609393,"ACDG_P015",100
"214",-10681.7985771986,"ACDG_P015",25
"215",-38876.5378352237,"ACDG_P015",50
"216",-74349.8204702595,"ACDG_P015",100
"217",-13482.4680472997,"ACDG_P015",25
"218",-39466.6840473919,"ACDG_P015",50
"219",-65451.8741306234,"ACDG_P015",100
"220",-10912.1171546571,"ACDG_P015",25
"221",-52904.4132132437,"ACDG_P015",50
"222",-81215.657985283,"ACDG_P015",100
"223",-41872.4913590233,"ACDG_P015",25
"224",-43667.9256759678,"ACDG_P015",50
"225",-69051.7357013418,"ACDG_P015",100
"226",-27340.6377617736,"ACDG_P015",25
"227",-45151.5738826841,"ACDG_P015",50
"228",-72678.8998585388,"ACDG_P015",100
"229",-21805.4704260383,"ACDG_P015",25
"230",-25124.6195170541,"ACDG_P015",50
"231",-74044.7054669944,"ACDG_P015",100
"232",-27544.1738604161,"ACDG_P015",25
"233",-30219.7637549724,"ACDG_P015",50
"234",-72717.9194296264,"ACDG_P015",100
"235",-7933.3729552587,"ACDG_P015",25
"236",-29066.0795424304,"ACDG_P015",50
"237",-72801.8934088486,"ACDG_P015",100
"238",-24981.8305773389,"ACDG_P015",25
"239",-50659.8334295981,"ACDG_P015",50
"240",-74843.6730787457,"ACDG_P015",100
"241",-19101.6978086212,"ACDG_P015",25
"242",-34126.728309365,"ACDG_P015",50
"243",-77955.9902747536,"ACDG_P015",100
"244",-30495.0700199575,"ACDG_P015",25
"245",-39381.8223866162,"ACDG_P015",50
