"","AGB_Change","Plot","PercentRemoved"
"1",5077.87380569268,"ACDG_P015",25
"2",-2253.61972587736,"ACDG_P015",50
"3",-7128.18537789982,"ACDG_P015",100
"4",-4792.39111098647,"ACDG_P015",25
"5",-10275.8838332813,"ACDG_P015",50
"6",-10192.4724966533,"ACDG_P015",100
"7",-3571.85595976634,"ACDG_P015",25
"8",-5579.56823590395,"ACDG_P015",50
"9",-6389.84757281121,"ACDG_P015",100
"10",-6649.44924492453,"ACDG_P015",25
"11",-12126.3190155716,"ACDG_P015",50
"12",-8364.10017864028,"ACDG_P015",100
"13",-1646.04738665707,"ACDG_P015",25
"14",-5373.60940030005,"ACDG_P015",50
"15",-15693.6403449388,"ACDG_P015",100
"16",-111.466857666557,"ACDG_P015",25
"17",-1348.41823700187,"ACDG_P015",50
"18",-2982.5984127273,"ACDG_P015",100
"19",-1927.75016176299,"ACDG_P015",25
"20",-4384.12076124715,"ACDG_P015",50
"21",-4086.75293648778,"ACDG_P015",100
"22",-3871.01224407664,"ACDG_P015",25
"23",-8487.88090690933,"ACDG_P015",50
"24",-8783.92142514189,"ACDG_P015",100
"25",3019.60553600869,"ACDG_P015",25
"26",-3971.22877424202,"ACDG_P015",50
"27",-13630.8441451641,"ACDG_P015",100
"28",-3906.70948766824,"ACDG_P015",25
"29",1192.01940946438,"ACDG_P015",50
"30",-758.73998755627,"ACDG_P015",100
"31",-790.39694410938,"ACDG_P015",25
"32",-8054.67103188435,"ACDG_P015",50
"33",-7871.83068159802,"ACDG_P015",100
"34",-4497.96531383874,"ACDG_P015",25
"35",-3371.10972706639,"ACDG_P015",50
"36",1014.99609435527,"ACDG_P015",100
"37",-7583.78150839053,"ACDG_P015",25
"38",10657.2859358097,"ACDG_P015",50
"39",-15722.2556256113,"ACDG_P015",100
"40",-1969.56866935091,"ACDG_P015",25
"41",-8110.97853455273,"ACDG_P015",50
"42",3987.76247746468,"ACDG_P015",100
"43",-2589.69753166111,"ACDG_P015",25
"44",-4720.87069995041,"ACDG_P015",50
"45",-12620.5745535755,"ACDG_P015",100
"46",-3104.28590910137,"ACDG_P015",25
"47",133.808993508079,"ACDG_P015",50
"48",-11594.6632094938,"ACDG_P015",100
"49",-7659.4267324564,"ACDG_P015",25
"50",-2187.90043594284,"ACDG_P015",50
"51",-5098.81461430923,"ACDG_P015",100
"52",-1689.38921894823,"ACDG_P015",25
"53",-4807.2388501018,"ACDG_P015",50
"54",-3889.7568233104,"ACDG_P015",100
"55",-1072.26107284855,"ACDG_P015",25
"56",-4771.22369270824,"ACDG_P015",50
"57",-2897.15361172686,"ACDG_P015",100
"58",217.764555194299,"ACDG_P015",25
"59",-10318.0084246049,"ACDG_P015",50
"60",-13473.9563615776,"ACDG_P015",100
"61",-6474.12584658663,"ACDG_P015",25
"62",1481.37426107776,"ACDG_P015",50
"63",-6770.70482489746,"ACDG_P015",100
"64",-1630.15151364601,"ACDG_P015",25
"65",8412.19547073569,"ACDG_P015",50
"66",-7180.42717301447,"ACDG_P015",100
"67",-9288.54066253724,"ACDG_P015",25
"68",-6551.10332861837,"ACDG_P015",50
"69",-16631.5940928339,"ACDG_P015",100
"70",5340.04399569266,"ACDG_P015",25
"71",-3846.15508417072,"ACDG_P015",50
"72",-10895.5024025866,"ACDG_P015",100
"73",-6557.24203552236,"ACDG_P015",25
