"","AGB_Change","Plot","PercentRemoved"
"1",4.07453626394272e-10,"ACDG_P015",25
"2",-5663.03004896422,"ACDG_P015",50
"3",-5845.01424473312,"ACDG_P015",100
"4",4.07453626394272e-10,"ACDG_P015",25
"5",-5600.27652880785,"ACDG_P015",50
"6",-6566.82835052969,"ACDG_P015",100
"7",4.07453626394272e-10,"ACDG_P015",25
"8",-924.758423249878,"ACDG_P015",50
"9",-5777.43126633164,"ACDG_P015",100
"10",4.07453626394272e-10,"ACDG_P015",25
"11",-785.14285010146,"ACDG_P015",50
"12",-6607.68352275976,"ACDG_P015",100
"13",4.07453626394272e-10,"ACDG_P015",25
"14",-1042.46857366484,"ACDG_P015",50
"15",-6737.0646075446,"ACDG_P015",100
"16",4.07453626394272e-10,"ACDG_P015",25
"17",-1731.96366065007,"ACDG_P015",50
"18",-4191.59560281597,"ACDG_P015",100
"19",4.07453626394272e-10,"ACDG_P015",25
"20",-1014.21240254218,"ACDG_P015",50
"21",-3073.7133772567,"ACDG_P015",100
"22",4.07453626394272e-10,"ACDG_P015",25
"23",-4452.08642455103,"ACDG_P015",50
"24",-6069.24737081159,"ACDG_P015",100
"25",4.07453626394272e-10,"ACDG_P015",25
"26",-1359.54167669991,"ACDG_P015",50
"27",-2007.87148289359,"ACDG_P015",100
"28",4.07453626394272e-10,"ACDG_P015",25
"29",-876.746886296751,"ACDG_P015",50
"30",-4485.94762727889,"ACDG_P015",100
"31",4.07453626394272e-10,"ACDG_P015",25
"32",-5594.445866644,"ACDG_P015",50
"33",-5695.25459438373,"ACDG_P015",100
"34",4.07453626394272e-10,"ACDG_P015",25
"35",-1200.61765674019,"ACDG_P015",50
"36",-4891.0773920037,"ACDG_P015",100
"37",4.07453626394272e-10,"ACDG_P015",25
"38",479.071715300786,"ACDG_P015",50
"39",-2224.79101345956,"ACDG_P015",100
"40",4.07453626394272e-10,"ACDG_P015",25
"41",-5273.57132338852,"ACDG_P015",50
"42",-6797.32832492547,"ACDG_P015",100
"43",4.07453626394272e-10,"ACDG_P015",25
"44",-5509.12135738597,"ACDG_P015",50
"45",-6834.77210716455,"ACDG_P015",100
"46",4.07453626394272e-10,"ACDG_P015",25
"47",-1127.95754625159,"ACDG_P015",50
"48",-5160.34993799898,"ACDG_P015",100
"49",4.07453626394272e-10,"ACDG_P015",25
"50",7633.93087958443,"ACDG_P015",50
"51",-6583.51396869402,"ACDG_P015",100
"52",4.07453626394272e-10,"ACDG_P015",25
"53",-5670.4970260908,"ACDG_P015",50
"54",-5280.0668399687,"ACDG_P015",100
"55",4.07453626394272e-10,"ACDG_P015",25
"56",-5327.85606407229,"ACDG_P015",50
"57",-4324.52193641831,"ACDG_P015",100
"58",4.07453626394272e-10,"ACDG_P015",25
"59",-3314.03697634782,"ACDG_P015",50
"60",-5179.68383014336,"ACDG_P015",100
"61",4.07453626394272e-10,"ACDG_P015",25
"62",-1970.21951640846,"ACDG_P015",50
"63",-3973.01470925065,"ACDG_P015",100
"64",4.07453626394272e-10,"ACDG_P015",25
"65",-985.108845728188,"ACDG_P015",50
"66",-6039.28055752165,"ACDG_P015",100
"67",4.07453626394272e-10,"ACDG_P015",25
"68",19.7913578951557,"ACDG_P015",50
"69",-1454.99441363951,"ACDG_P015",100
"70",4.07453626394272e-10,"ACDG_P015",25
"71",-5387.65275390862,"ACDG_P015",50
"72",-2126.13361996107,"ACDG_P015",100
"73",4.07453626394272e-10,"ACDG_P015",25
"74",-5604.89277599152,"ACDG_P015",50
"75",-4800.72715720878,"ACDG_P015",100
"76",4.07453626394272e-10,"ACDG_P015",25
"77",-5650.48617591383,"ACDG_P015",50
"78",-3626.80173981623,"ACDG_P015",100
"79",4.07453626394272e-10,"ACDG_P015",25
"80",-3593.88511790562,"ACDG_P015",50
"81",-6782.7175848753,"ACDG_P015",100
"82",4.07453626394272e-10,"ACDG_P015",25
"83",-3157.48144869707,"ACDG_P015",50
"84",-6740.79140650207,"ACDG_P015",100
"85",4.07453626394272e-10,"ACDG_P015",25
"86",-1193.04122727533,"ACDG_P015",50
"87",-1720.69713304256,"ACDG_P015",100
"88",4.07453626394272e-10,"ACDG_P015",25
"89",-1128.64818224491,"ACDG_P015",50
"90",-6219.86820552489,"ACDG_P015",100
"91",4.07453626394272e-10,"ACDG_P015",25
"92",-1077.36342105627,"ACDG_P015",50
"93",-4025.19909836096,"ACDG_P015",100
"94",4.07453626394272e-10,"ACDG_P015",25
"95",479.071715300786,"ACDG_P015",50
"96",-6028.33233945497,"ACDG_P015",100
"97",4.07453626394272e-10,"ACDG_P015",25
"98",-5594.445866644,"ACDG_P015",50
"99",-6781.2968532425,"ACDG_P015",100
"100",4.07453626394272e-10,"ACDG_P015",25
"101",-5062.39961752362,"ACDG_P015",50
"102",-6180.79369311678,"ACDG_P015",100
"103",4.07453626394272e-10,"ACDG_P015",25
"104",-5603.40389640251,"ACDG_P015",50
"105",-4192.66345170615,"ACDG_P015",100
"106",4.07453626394272e-10,"ACDG_P015",25
"107",-1128.64818224491,"ACDG_P015",50
"108",7032.5392595687,"ACDG_P015",100
"109",4.07453626394272e-10,"ACDG_P015",25
"110",-5600.5259646911,"ACDG_P015",50
"111",-3443.23676325861,"ACDG_P015",100
"112",4.07453626394272e-10,"ACDG_P015",25
"113",-1128.39874636166,"ACDG_P015",50
"114",-6486.96924295067,"ACDG_P015",100
"115",4.07453626394272e-10,"ACDG_P015",25
"116",-1815.97271749889,"ACDG_P015",50
"117",-6855.47815592904,"ACDG_P015",100
"118",4.07453626394272e-10,"ACDG_P015",25
"119",-1283.11321582098,"ACDG_P015",50
"120",-6456.8460525774,"ACDG_P015",100
"121",4.07453626394272e-10,"ACDG_P015",25
"122",-1066.36505488624,"ACDG_P015",50
"123",-1699.66410206235,"ACDG_P015",100
"124",4.07453626394272e-10,"ACDG_P015",25
"125",7633.93087958443,"ACDG_P015",50
"126",-6142.82642435105,"ACDG_P015",100
"127",4.07453626394272e-10,"ACDG_P015",25
"128",-1197.11403156447,"ACDG_P015",50
"129",-5605.78762546941,"ACDG_P015",100
"130",4.07453626394272e-10,"ACDG_P015",25
"131",-2014.79218098999,"ACDG_P015",50
"132",6556.85166652393,"ACDG_P015",100
"133",4.07453626394272e-10,"ACDG_P015",25
"134",-992.275815323461,"ACDG_P015",50
"135",-6575.28325962787,"ACDG_P015",100
"136",4.07453626394272e-10,"ACDG_P015",25
"137",331.559101176274,"ACDG_P015",50
"138",-6532.20173065996,"ACDG_P015",100
"139",4.07453626394272e-10,"ACDG_P015",25
"140",-1035.18200300867,"ACDG_P015",50
"141",-6664.84003763107,"ACDG_P015",100
"142",4.07453626394272e-10,"ACDG_P015",25
"143",-5447.48146602869,"ACDG_P015",50
"144",-1821.66870548241,"ACDG_P015",100
"145",4.07453626394272e-10,"ACDG_P015",25
"146",-3724.97884523668,"ACDG_P015",50
"147",-6781.42367012837,"ACDG_P015",100
"148",4.07453626394272e-10,"ACDG_P015",25
"149",-1182.57400988735,"ACDG_P015",50
"150",-6155.17991482993,"ACDG_P015",100
"151",4.07453626394272e-10,"ACDG_P015",25
"152",-518.57604939962,"ACDG_P015",50
"153",-6431.81820870514,"ACDG_P015",100
"154",4.07453626394272e-10,"ACDG_P015",25
"155",-1035.18200300867,"ACDG_P015",50
"156",-2595.87599185042,"ACDG_P015",100
"157",4.07453626394272e-10,"ACDG_P015",25
"158",-5685.15463109873,"ACDG_P015",50
"159",-6676.22618361079,"ACDG_P015",100
"160",4.07453626394272e-10,"ACDG_P015",25
"161",-1099.68984120307,"ACDG_P015",50
"162",-6100.79268388613,"ACDG_P015",100
"163",4.07453626394272e-10,"ACDG_P015",25
"164",-3672.07897496346,"ACDG_P015",50
"165",-6395.48956399623,"ACDG_P015",100
"166",4.07453626394272e-10,"ACDG_P015",25
"167",-1138.95766874118,"ACDG_P015",50
"168",-4208.92196343635,"ACDG_P015",100
"169",4.07453626394272e-10,"ACDG_P015",25
"170",-5669.53132070039,"ACDG_P015",50
"171",-4927.98010452496,"ACDG_P015",100
"172",4.07453626394272e-10,"ACDG_P015",25
"173",-5530.32010170311,"ACDG_P015",50
"174",-6778.89039232532,"ACDG_P015",100
"175",4.07453626394272e-10,"ACDG_P015",25
"176",-5670.4970260908,"ACDG_P015",50
"177",-4941.75139824062,"ACDG_P015",100
"178",4.07453626394272e-10,"ACDG_P015",25
"179",-961.500362628896,"ACDG_P015",50
"180",-5492.73929688826,"ACDG_P015",100
"181",4.07453626394272e-10,"ACDG_P015",25
"182",-4921.98060550838,"ACDG_P015",50
"183",-6012.82893086027,"ACDG_P015",100
"184",4.07453626394272e-10,"ACDG_P015",25
"185",-1111.48562418003,"ACDG_P015",50
"186",-6470.64441301479,"ACDG_P015",100
"187",4.07453626394272e-10,"ACDG_P015",25
"188",-234.420901548787,"ACDG_P015",50
"189",-4839.77720916242,"ACDG_P015",100
"190",4.07453626394272e-10,"ACDG_P015",25
"191",-5247.24355439306,"ACDG_P015",50
"192",-6502.32586966132,"ACDG_P015",100
"193",4.07453626394272e-10,"ACDG_P015",25
"194",-1066.36505488624,"ACDG_P015",50
"195",-6585.46427918982,"ACDG_P015",100
"196",4.07453626394272e-10,"ACDG_P015",25
"197",-728.183867476822,"ACDG_P015",50
"198",-6223.4610327624,"ACDG_P015",100
"199",4.07453626394272e-10,"ACDG_P015",25
"200",-2769.08452119218,"ACDG_P015",50
"201",-6595.8205365029,"ACDG_P015",100
"202",4.07453626394272e-10,"ACDG_P015",25
"203",-5239.09633061467,"ACDG_P015",50
"204",-6395.87521751691,"ACDG_P015",100
"205",4.07453626394272e-10,"ACDG_P015",25
"206",-1011.87632968355,"ACDG_P015",50
"207",-6575.43901228069,"ACDG_P015",100
"208",4.07453626394272e-10,"ACDG_P015",25
"209",-5530.32010170311,"ACDG_P015",50
"210",-6479.14471903478,"ACDG_P015",100
"211",4.07453626394272e-10,"ACDG_P015",25
"212",-5604.89277599152,"ACDG_P015",50
"213",-6768.99879860762,"ACDG_P015",100
"214",4.07453626394272e-10,"ACDG_P015",25
"215",-482.508829156752,"ACDG_P015",50
"216",-2707.2692419682,"ACDG_P015",100
"217",4.07453626394272e-10,"ACDG_P015",25
"218",-1189.83039044411,"ACDG_P015",50
"219",-2744.32228453996,"ACDG_P015",100
"220",4.07453626394272e-10,"ACDG_P015",25
"221",-1241.81969353918,"ACDG_P015",50
"222",-6098.69800045053,"ACDG_P015",100
"223",4.07453626394272e-10,"ACDG_P015",25
"224",-5200.06164992301,"ACDG_P015",50
"225",-5086.51758000228,"ACDG_P015",100
"226",4.07453626394272e-10,"ACDG_P015",25
"227",-5669.93804594793,"ACDG_P015",50
"228",-6755.25854845654,"ACDG_P015",100
"229",4.07453626394272e-10,"ACDG_P015",25
"230",-904.541463303787,"ACDG_P015",50
"231",-6520.76719114848,"ACDG_P015",100
"232",4.07453626394272e-10,"ACDG_P015",25
"233",-912.00566080914,"ACDG_P015",50
"234",-6664.19891443828,"ACDG_P015",100
"235",4.07453626394272e-10,"ACDG_P015",25
"236",-3434.67726328311,"ACDG_P015",50
"237",-1691.29091636883,"ACDG_P015",100
"238",4.07453626394272e-10,"ACDG_P015",25
"239",-1128.246729051,"ACDG_P015",50
"240",-3875.43625513875,"ACDG_P015",100
"241",4.07453626394272e-10,"ACDG_P015",25
"242",-5407.77028669821,"ACDG_P015",50
"243",-6737.44408474685,"ACDG_P015",100
"244",4.07453626394272e-10,"ACDG_P015",25
"245",-5658.75554544374,"ACDG_P015",50
"246",-5690.75678446429,"ACDG_P015",100
"247",4.07453626394272e-10,"ACDG_P015",25
"248",-1141.02683397697,"ACDG_P015",50
"249",4749.91615591568,"ACDG_P015",100
"250",4.07453626394272e-10,"ACDG_P015",25
"251",-5625.57898336416,"ACDG_P015",50
"252",-1168.77676201731,"ACDG_P015",100
"253",4.07453626394272e-10,"ACDG_P015",25
"254",-5348.62466874294,"ACDG_P015",50
"255",-6540.78528024396,"ACDG_P015",100
"256",4.07453626394272e-10,"ACDG_P015",25
"257",-1731.96366065007,"ACDG_P015",50
"258",-6564.53815588579,"ACDG_P015",100
"259",4.07453626394272e-10,"ACDG_P015",25
"260",19.7913578951557,"ACDG_P015",50
"261",-6650.39622936019,"ACDG_P015",100
"262",4.07453626394272e-10,"ACDG_P015",25
"263",-5447.48146602869,"ACDG_P015",50
"264",-6741.15134547456,"ACDG_P015",100
"265",4.07453626394272e-10,"ACDG_P015",25
"266",-5144.88139531668,"ACDG_P015",50
"267",-3700.60272741143,"ACDG_P015",100
