"","AGB_Change","Plot","PercentRemoved"
"1",-11439.0829576862,"ACDG_P015",25
"2",-16327.1319063484,"ACDG_P015",50
"3",-10527.8878782071,"ACDG_P015",100
"4",-9417.77034693997,"ACDG_P015",25
"5",-11184.7657200363,"ACDG_P015",50
"6",-13651.1515004755,"ACDG_P015",100
"7",-19.3340062725765,"ACDG_P015",25
"8",-3430.19049375641,"ACDG_P015",50
"9",-11560.1271827691,"ACDG_P015",100
"10",-4457.73555739725,"ACDG_P015",25
"11",3914.0407225223,"ACDG_P015",50
"12",-2860.29267262045,"ACDG_P015",100
"13",-2722.87448812803,"ACDG_P015",25
"14",1987.4687080468,"ACDG_P015",50
"15",-12171.3745770899,"ACDG_P015",100
"16",-4307.98466156085,"ACDG_P015",25
"17",-11998.6775563405,"ACDG_P015",50
"18",-15782.2689240247,"ACDG_P015",100
"19",4281.5749530812,"ACDG_P015",25
"20",-6156.17560706602,"ACDG_P015",50
"21",-19142.1575644915,"ACDG_P015",100
"22",-3130.15010942507,"ACDG_P015",25
"23",-6596.94166193382,"ACDG_P015",50
"24",-9868.65951101048,"ACDG_P015",100
"25",-6063.62290211418,"ACDG_P015",25
"26",-4348.71700295515,"ACDG_P015",50
"27",-11518.6540731485,"ACDG_P015",100
"28",1137.44892748297,"ACDG_P015",25
"29",1390.98770944789,"ACDG_P015",50
"30",-12635.0837992149,"ACDG_P015",100
"31",-11626.7502643586,"ACDG_P015",25
"32",-5635.94814088271,"ACDG_P015",50
"33",-21528.4946141606,"ACDG_P015",100
"34",3901.19920821526,"ACDG_P015",25
"35",-10738.7683253423,"ACDG_P015",50
"36",-26738.4518782437,"ACDG_P015",100
"37",-5114.25864376771,"ACDG_P015",25
"38",-5697.12728225096,"ACDG_P015",50
"39",-25536.1726585635,"ACDG_P015",100
"40",-2816.19570792056,"ACDG_P015",25
"41",-6324.49798188292,"ACDG_P015",50
"42",-17126.2649560186,"ACDG_P015",100
"43",-517.87635065263,"ACDG_P015",25
"44",2769.83929572155,"ACDG_P015",50
"45",-13683.2012740314,"ACDG_P015",100
"46",-8747.0459731908,"ACDG_P015",25
"47",-13261.316500409,"ACDG_P015",50
"48",-24610.9848263001,"ACDG_P015",100
"49",5410.86695812931,"ACDG_P015",25
"50",-9280.5432701502,"ACDG_P015",50
"51",3941.78034177056,"ACDG_P015",100
"52",-2940.4537208855,"ACDG_P015",25
"53",-1240.52033946197,"ACDG_P015",50
"54",-7349.81377984647,"ACDG_P015",100
"55",524.925920074689,"ACDG_P015",25
"56",-0.643374619161477,"ACDG_P015",50
"57",-23218.9840947583,"ACDG_P015",100
"58",-3000.55273969454,"ACDG_P015",25
"59",-5036.01239491632,"ACDG_P015",50
"60",-22885.3554637474,"ACDG_P015",100
"61",5332.09134815136,"ACDG_P015",25
"62",-4571.47671258816,"ACDG_P015",50
"63",-17526.5618244466,"ACDG_P015",100
"64",-6606.98299794088,"ACDG_P015",25
"65",-6242.20486819959,"ACDG_P015",50
"66",-17334.257159127,"ACDG_P015",100
"67",5962.51334401479,"ACDG_P015",25
"68",-5169.53973674227,"ACDG_P015",50
"69",-13166.5411761033,"ACDG_P015",100
"70",-4737.09447499175,"ACDG_P015",25
"71",-13168.5305009227,"ACDG_P015",50
"72",-12341.9046152153,"ACDG_P015",100
"73",-6969.47455013069,"ACDG_P015",25
"74",-11735.6013186271,"ACDG_P015",50
"75",-12245.0264187644,"ACDG_P015",100
"76",-5270.06040814772,"ACDG_P015",25
"77",-19204.1973349796,"ACDG_P015",50
"78",-5062.77539576701,"ACDG_P015",100
"79",-5946.48735078415,"ACDG_P015",25
"80",4164.47981805488,"ACDG_P015",50
"81",-6646.43332267978,"ACDG_P015",100
"82",-7194.45374058196,"ACDG_P015",25
"83",3876.89270276407,"ACDG_P015",50
"84",-16300.6971764605,"ACDG_P015",100
"85",-1267.1578657905,"ACDG_P015",25
"86",-11088.1033756765,"ACDG_P015",50
"87",-9198.66819913793,"ACDG_P015",100
"88",5604.21016667321,"ACDG_P015",25
"89",-8934.70886162392,"ACDG_P015",50
"90",-22628.3892545326,"ACDG_P015",100
"91",1153.52797324528,"ACDG_P015",25
"92",-11500.1933147404,"ACDG_P015",50
"93",-11725.6353565432,"ACDG_P015",100
"94",-1471.28780146013,"ACDG_P015",25
"95",-7163.60180737168,"ACDG_P015",50
"96",-19168.0022333272,"ACDG_P015",100
"97",1370.06008897172,"ACDG_P015",25
"98",1840.18306552694,"ACDG_P015",50
"99",-18126.1360673116,"ACDG_P015",100
"100",8936.48888841641,"ACDG_P015",25
"101",-5457.79237277707,"ACDG_P015",50
"102",-6235.5116044585,"ACDG_P015",100
"103",-4005.50478439653,"ACDG_P015",25
"104",5275.72340894621,"ACDG_P015",50
"105",-20882.847565293,"ACDG_P015",100
"106",-7425.36292446638,"ACDG_P015",25
"107",-8293.90852204579,"ACDG_P015",50
"108",-3336.30439128319,"ACDG_P015",100
"109",-1892.48965407087,"ACDG_P015",25
"110",-8489.18589098204,"ACDG_P015",50
"111",-3768.17834466856,"ACDG_P015",100
"112",-3366.19987006779,"ACDG_P015",25
"113",-5319.87273617106,"ACDG_P015",50
"114",-19822.9457066721,"ACDG_P015",100
"115",-9193.20987314484,"ACDG_P015",25
"116",-7771.46312598226,"ACDG_P015",50
"117",1118.00082365662,"ACDG_P015",100
"118",-6170.67397818889,"ACDG_P015",25
"119",-271.570613997756,"ACDG_P015",50
"120",-5680.01830011795,"ACDG_P015",100
"121",-6182.30238847836,"ACDG_P015",25
"122",-12314.2685982272,"ACDG_P015",50
"123",-7474.47332346675,"ACDG_P015",100
"124",-5216.32883363462,"ACDG_P015",25
"125",-1207.47106926862,"ACDG_P015",50
"126",-21975.8682793146,"ACDG_P015",100
"127",-3855.86374003021,"ACDG_P015",25
"128",-11949.8669643928,"ACDG_P015",50
"129",-21991.8887271434,"ACDG_P015",100
"130",-2649.71713726938,"ACDG_P015",25
"131",-6864.54171022138,"ACDG_P015",50
"132",-15343.6325727087,"ACDG_P015",100
"133",-8314.77359113825,"ACDG_P015",25
"134",3772.06548513079,"ACDG_P015",50
"135",-21924.2714456876,"ACDG_P015",100
"136",-8304.50113060296,"ACDG_P015",25
"137",-11653.7361377012,"ACDG_P015",50
"138",-6916.96006383037,"ACDG_P015",100
"139",4578.85743109733,"ACDG_P015",25
"140",-7072.67794795218,"ACDG_P015",50
"141",-8841.2447630649,"ACDG_P015",100
"142",4007.57839614915,"ACDG_P015",25
"143",-605.797238251223,"ACDG_P015",50
"144",-14712.1521817281,"ACDG_P015",100
"145",-4709.92711940486,"ACDG_P015",25
"146",-8952.62467754076,"ACDG_P015",50
"147",-20038.6399575735,"ACDG_P015",100
"148",-932.298110183881,"ACDG_P015",25
"149",-4532.09881299679,"ACDG_P015",50
"150",-3490.90024709064,"ACDG_P015",100
"151",2471.34268931395,"ACDG_P015",25
"152",-12097.6312463429,"ACDG_P015",50
"153",-6657.92950113845,"ACDG_P015",100
"154",-1005.29047455877,"ACDG_P015",25
"155",-15156.8320874448,"ACDG_P015",50
"156",-15040.9537222427,"ACDG_P015",100
"157",2866.83638001679,"ACDG_P015",25
"158",-1849.8138554749,"ACDG_P015",50
"159",-8044.77893819608,"ACDG_P015",100
"160",-3341.16806688119,"ACDG_P015",25
"161",-5269.1985405091,"ACDG_P015",50
"162",-18426.8818799277,"ACDG_P015",100
"163",-6346.46665372953,"ACDG_P015",25
"164",-12701.8866743079,"ACDG_P015",50
"165",-24993.0358272674,"ACDG_P015",100
"166",-6266.75548459459,"ACDG_P015",25
"167",-10957.3635111148,"ACDG_P015",50
"168",-8989.86230492152,"ACDG_P015",100
"169",1723.97654174711,"ACDG_P015",25
"170",-8809.51452881639,"ACDG_P015",50
"171",-15985.0754641038,"ACDG_P015",100
"172",7312.14764050758,"ACDG_P015",25
"173",-14926.5794385614,"ACDG_P015",50
"174",-1237.81850556919,"ACDG_P015",100
"175",321.917698489531,"ACDG_P015",25
"176",-14137.5147429354,"ACDG_P015",50
"177",-11197.9315716891,"ACDG_P015",100
"178",-104.511799790256,"ACDG_P015",25
"179",-11003.7846988236,"ACDG_P015",50
"180",5299.3413979777,"ACDG_P015",100
"181",-1694.92192374787,"ACDG_P015",25
"182",-6564.15735652484,"ACDG_P015",50
"183",-17690.5357813824,"ACDG_P015",100
"184",-1684.81807894199,"ACDG_P015",25
"185",-11576.843634595,"ACDG_P015",50
"186",-9507.59389831938,"ACDG_P015",100
"187",-1351.63035224209,"ACDG_P015",25
"188",-14865.2551595439,"ACDG_P015",50
"189",-18357.9993703801,"ACDG_P015",100
"190",1642.65599469942,"ACDG_P015",25
"191",-9733.9295794435,"ACDG_P015",50
"192",-14324.6429078295,"ACDG_P015",100
"193",-3038.48554233124,"ACDG_P015",25
"194",-12634.6783601361,"ACDG_P015",50
"195",-4769.37154488373,"ACDG_P015",100
"196",-8961.55366031322,"ACDG_P015",25
"197",-6628.61871620253,"ACDG_P015",50
"198",-10661.2383278793,"ACDG_P015",100
"199",-4214.23628151641,"ACDG_P015",25
"200",-499.193122193217,"ACDG_P015",50
"201",-21204.178363576,"ACDG_P015",100
"202",-4768.94415919416,"ACDG_P015",25
"203",-5027.17397072961,"ACDG_P015",50
"204",13024.3491483706,"ACDG_P015",100
"205",-6642.75985615101,"ACDG_P015",25
"206",-3587.77339716323,"ACDG_P015",50
"207",-13241.0347438231,"ACDG_P015",100
"208",-5712.86044813922,"ACDG_P015",25
"209",-14251.2585039199,"ACDG_P015",50
"210",-14761.8242018314,"ACDG_P015",100
"211",-8162.67539290484,"ACDG_P015",25
"212",-8397.11255112421,"ACDG_P015",50
"213",3744.53721154347,"ACDG_P015",100
