"","AGB_Change","Plot","PercentRemoved"
"1",4.07453626394272e-10,"ACDG_P015",25
"2",-3568.21037973827,"ACDG_P015",50
"3",-5776.35682579479,"ACDG_P015",100
"4",4.07453626394272e-10,"ACDG_P015",25
"5",-3758.7926541194,"ACDG_P015",50
"6",-9195.70159818995,"ACDG_P015",100
"7",4.07453626394272e-10,"ACDG_P015",25
"8",-3884.86735092103,"ACDG_P015",50
"9",-7790.99185921653,"ACDG_P015",100
"10",4.07453626394272e-10,"ACDG_P015",25
"11",-2609.22476512412,"ACDG_P015",50
"12",-9488.91001850992,"ACDG_P015",100
"13",4.07453626394272e-10,"ACDG_P015",25
"14",-3885.8223518228,"ACDG_P015",50
"15",-6119.80591893833,"ACDG_P015",100
"16",4.07453626394272e-10,"ACDG_P015",25
"17",-2928.97302687654,"ACDG_P015",50
"18",-8965.68590200198,"ACDG_P015",100
"19",4.07453626394272e-10,"ACDG_P015",25
"20",-3949.09084868332,"ACDG_P015",50
"21",-9509.13242816136,"ACDG_P015",100
"22",4.07453626394272e-10,"ACDG_P015",25
"23",-2382.9724137091,"ACDG_P015",50
"24",-7354.24257623404,"ACDG_P015",100
"25",4.07453626394272e-10,"ACDG_P015",25
"26",-1519.4301823843,"ACDG_P015",50
"27",-9202.05773046406,"ACDG_P015",100
"28",4.07453626394272e-10,"ACDG_P015",25
"29",1705.36094365062,"ACDG_P015",50
"30",-9231.72530153798,"ACDG_P015",100
"31",4.07453626394272e-10,"ACDG_P015",25
"32",-3967.73097572106,"ACDG_P015",50
"33",-9509.91931317432,"ACDG_P015",100
"34",4.07453626394272e-10,"ACDG_P015",25
"35",-3570.96536750905,"ACDG_P015",50
"36",-4321.04842248262,"ACDG_P015",100
"37",4.07453626394272e-10,"ACDG_P015",25
"38",-3956.34722924005,"ACDG_P015",50
"39",-8976.49025603218,"ACDG_P015",100
"40",4.07453626394272e-10,"ACDG_P015",25
"41",-5059.46705264499,"ACDG_P015",50
"42",-7678.91112627121,"ACDG_P015",100
"43",4.07453626394272e-10,"ACDG_P015",25
"44",-3779.03628955773,"ACDG_P015",50
"45",-7493.98255372656,"ACDG_P015",100
"46",4.07453626394272e-10,"ACDG_P015",25
"47",-5686.96433959444,"ACDG_P015",50
"48",-8309.10115841334,"ACDG_P015",100
"49",4.07453626394272e-10,"ACDG_P015",25
