"","AGB_Change","Plot","PercentRemoved"
"ACDG_P015.V11",-39366.2370125318,"ACDG_P015",25
"ACDG_P015.V12",-73896.5919099291,"ACDG_P015",50
"ACDG_P015.V13",-95671.3210929025,"ACDG_P015",100
"ACDG_P016.V11",5119.30901752599,"ACDG_P016",25
"ACDG_P016.V12",-13567.965833658,"ACDG_P016",50
"ACDG_P016.V13",-13345.3915911919,"ACDG_P016",100
"ACDG_P041.V11",1338.32265928999,"ACDG_P041",25
"ACDG_P041.V12",-2139.57393307629,"ACDG_P041",50
"ACDG_P041.V13",20904.2830140842,"ACDG_P041",100
"ACDG_P052.V11",-7192.48176230269,"ACDG_P052",25
"ACDG_P052.V12",74431.9355492562,"ACDG_P052",50
"ACDG_P052.V13",44182.7968182447,"ACDG_P052",100
"ACDG_P053.V11",12047.4326444228,"ACDG_P053",25
"ACDG_P053.V12",1227.4508605033,"ACDG_P053",50
"ACDG_P053.V13",19951.0895813574,"ACDG_P053",100
"ACDG_P055.V11",-8629.97044101922,"ACDG_P055",25
"ACDG_P055.V12",-15148.6364999473,"ACDG_P055",50
"ACDG_P055.V13",-58523.3279120809,"ACDG_P055",100
"NRI_P001.V11",-34096.0443747672,"NRI_P001",25
"NRI_P001.V12",23519.1031298576,"NRI_P001",50
"NRI_P001.V13",-31377.7522700996,"NRI_P001",100
"NRI_P002.V11",70155.0372768168,"NRI_P002",25
"NRI_P002.V12",23207.6792585998,"NRI_P002",50
"NRI_P002.V13",13542.2643280486,"NRI_P002",100
"NRI_P003.V11",53092.1727381687,"NRI_P003",25
"NRI_P003.V12",85372.2134004154,"NRI_P003",50
"NRI_P003.V13",112969.932924561,"NRI_P003",100
"NRI_P006.V11",-105.30663212153,"NRI_P006",25
"NRI_P006.V12",29837.1895196905,"NRI_P006",50
"NRI_P006.V13",-15027.1556078972,"NRI_P006",100
"NRI_P008.V11",-3877.53341063007,"NRI_P008",25
"NRI_P008.V12",6621.06226978969,"NRI_P008",50
"NRI_P008.V13",-67292.7080361256,"NRI_P008",100
"NRI_P010.V11",-720.330406553636,"NRI_P010",25
"NRI_P010.V12",-13920.2236418567,"NRI_P010",50
"NRI_P010.V13",-51048.6068216007,"NRI_P010",100
"NRI_P012.V11",-10196.5992002964,"NRI_P012",25
"NRI_P012.V12",-5786.43739802815,"NRI_P012",50
"NRI_P012.V13",-4645.36796226335,"NRI_P012",100
"NRI_P014.V11",-33263.222127401,"NRI_P014",25
"NRI_P014.V12",-26431.5389715502,"NRI_P014",50
