"","AGB_Change","Plot","PercentRemoved"
"1",-36946.8693138412,"ACDG_P015",25
"2",-56663.0910983172,"ACDG_P015",50
"3",-106689.394727701,"ACDG_P015",100
"4",-23873.2447077003,"ACDG_P015",25
"5",-61219.8698506249,"ACDG_P015",50
"6",-98445.1549232004,"ACDG_P015",100
"7",-19723.1865626488,"ACDG_P015",25
"8",-39280.200295019,"ACDG_P015",50
"9",-101650.856995853,"ACDG_P015",100
"10",-12279.2017898304,"ACDG_P015",25
"11",-33991.7770411134,"ACDG_P015",50
"12",-98492.0011183125,"ACDG_P015",100
"13",-21086.9641740852,"ACDG_P015",25
"14",-64173.6363182816,"ACDG_P015",50
"15",-94500.5357022326,"ACDG_P015",100
"16",-25060.2798848258,"ACDG_P015",25
"17",-47848.3825360306,"ACDG_P015",50
"18",-98864.1983647014,"ACDG_P015",100
"19",-26128.7333185776,"ACDG_P015",25
"20",-49637.439898387,"ACDG_P015",50
"21",-111594.500698498,"ACDG_P015",100
"22",-45209.2599773205,"ACDG_P015",25
"23",-55247.8524873548,"ACDG_P015",50
"24",-114097.256242317,"ACDG_P015",100
"25",-19785.6205128961,"ACDG_P015",25
"26",-51317.556823421,"ACDG_P015",50
"27",-105276.306228739,"ACDG_P015",100
"28",-19214.823453216,"ACDG_P015",25
"29",-63489.0843133868,"ACDG_P015",50
"30",-109207.312528914,"ACDG_P015",100
"31",-27676.56119998,"ACDG_P015",25
"32",-46611.8994799633,"ACDG_P015",50
"33",-88856.7533664669,"ACDG_P015",100
"34",-27496.9317668756,"ACDG_P015",25
"35",-54176.8958882223,"ACDG_P015",50
"36",-111702.83428405,"ACDG_P015",100
"37",-9535.8615889838,"ACDG_P015",25
"38",-48050.6416835239,"ACDG_P015",50
"39",-104138.382340037,"ACDG_P015",100
"40",-19737.554614437,"ACDG_P015",25
"41",-44900.6995652066,"ACDG_P015",50
"42",-94696.6850414648,"ACDG_P015",100
"43",-19535.7710392634,"ACDG_P015",25
"44",-42369.1214714509,"ACDG_P015",50
"45",-109837.571473694,"ACDG_P015",100
"46",-45956.2101801876,"ACDG_P015",25
"47",-41436.7528351595,"ACDG_P015",50
"48",-105945.21401931,"ACDG_P015",100
