"","Taxa","Interaction","WD","D","AGB"
"1","Total","Imputed, Dispersed","0.62 (0.17)","26.28 (17.86)","933.73 (2593.68)"
"2","Total","Imputed, Undispersed","0.63 (0.1)","22.68 (16.23)","671.88 (1875.37)"
"3","Total","Observed, Dispersed","0.61 (0.17)","26.14 (17.47)","888.84 (2456.04)"
"4","Total","Observed, Undispersed","0.63 (0.11)","22.91 (16.52)","703.39 (1994.59)"
"5","Ape","Imputed, Dispersed","0.62 (0.17)","25.77 (17.2)","876.97 (2471.07)"
"6","Ape","Imputed, Undispersed","0.63 (0.11)","23.08 (16.67)","709.02 (1988.24)"
"7","Ape","Observed, Dispersed","0.63 (0.18)","25.32 (16.71)","849.81 (2518.12)"
"8","Ape","Observed, Undispersed","0.63 (0.11)","23.4 (16.91)","728.87 (2002.54)"
"9","Duiker","Imputed, Dispersed","0.64 (0.17)","28.09 (21)","1238.52 (3833.19)"
"10","Duiker","Imputed, Undispersed","0.63 (0.13)","23.63 (16.55)","729.98 (1991.33)"
"11","Duiker","Observed, Dispersed","0.7 (0.2)","31.18 (26.2)","1865.12 (5389.98)"
"12","Duiker","Observed, Undispersed","0.63 (0.13)","23.83 (16.76)","750.2 (2094.21)"
"13","Elephant","Imputed, Dispersed","0.64 (0.18)","28.74 (20.72)","1236.53 (3553.8)"
"14","Elephant","Imputed, Undispersed","0.63 (0.12)","23.21 (16.15)","692.69 (1855.79)"
"15","Elephant","Observed, Dispersed","0.67 (0.19)","30.48 (22.4)","1463.33 (4046.72)"
"16","Elephant","Observed, Undispersed","0.62 (0.13)","23.41 (16.3)","708.3 (1925.96)"
"17","Monkey","Imputed, Dispersed","0.63 (0.16)","25.76 (16.8)","863.85 (2352.68)"
"18","Monkey","Imputed, Undispersed","0.63 (0.12)","23.28 (16.86)","725.82 (2074.64)"
"19","Monkey","Observed, Dispersed","0.61 (0.14)","23.87 (13.64)","610.84 (1430.71)"
"20","Monkey","Observed, Undispersed","0.63 (0.13)","23.9 (17.46)","790.01 (2263.53)"
"21","Rodent","Imputed, Dispersed","0.56 (0.19)","26.68 (17.88)","870.04 (2047.83)"
"22","Rodent","Imputed, Undispersed","0.63 (0.12)","23.6 (16.74)","748.31 (2157.54)"
"23","Rodent","Observed, Dispersed","0.6 (0.02)","40.61 (27.02)","2312.98 (3922.33)"
"24","Rodent","Observed, Undispersed","0.63 (0.13)","23.79 (16.74)","750.33 (2128.47)"
