"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-3844.81570358918
"2","ACDG_P015",1,50,-7255.05824459915
"3","ACDG_P015",1,100,-15147.7907177483
"4","ACDG_P015",2,25,-4555.22223356526
"5","ACDG_P015",2,50,-9209.75209910251
"6","ACDG_P015",2,100,-19322.1710745934
"7","ACDG_P015",3,25,-5501.85627244058
"8","ACDG_P015",3,50,-11533.5782504766
"9","ACDG_P015",3,100,-22012.7429462926
"10","ACDG_P015",4,25,-4451.87890461924
"11","ACDG_P015",4,50,-7697.37170179492
"12","ACDG_P015",4,100,-15779.5761417396
"13","ACDG_P015",5,25,-2694.67758005891
"14","ACDG_P015",5,50,-5597.29357589849
"15","ACDG_P015",5,100,-9572.06976348128
"16","ACDG_P015",6,25,-4461.45010976051
"17","ACDG_P015",6,50,-9928.17983429291
"18","ACDG_P015",6,100,-20862.0309124958
"19","ACDG_P015",7,25,-6781.19626599713
"20","ACDG_P015",7,50,-12074.4841333267
"21","ACDG_P015",7,100,-23897.8030659321
"22","ACDG_P015",8,25,-5505.73136149066
"23","ACDG_P015",8,50,-10526.0958947489
"24","ACDG_P015",8,100,-19458.99478758
"25","ACDG_P015",9,25,-9766.8624486488
"26","ACDG_P015",9,50,-20012.0783944517
"27","ACDG_P015",9,100,-39871.333179001
"28","ACDG_P015",10,25,-2354.84714050359
"29","ACDG_P015",10,50,-5069.68188326224
"30","ACDG_P015",10,100,-12449.0962421544
"31","ACDG_P015",11,25,-1270.28576119504
"32","ACDG_P015",11,50,-1988.92802953184
"33","ACDG_P015",11,100,-4013.09752600025
"34","ACDG_P015",12,25,-5954.36074241586
"35","ACDG_P015",12,50,-10798.4739457465
"36","ACDG_P015",12,100,-21406.0018441426
"37","ACDG_P015",13,25,-7059.92166055372
"38","ACDG_P015",13,50,-14300.8982502964
"39","ACDG_P015",13,100,-26429.079344427
"40","ACDG_P015",14,25,-2473.25445571513
"41","ACDG_P015",14,50,-5081.12787777435
"42","ACDG_P015",14,100,-10432.5709837088
"43","ACDG_P015",15,25,-7277.88475878197
"44","ACDG_P015",15,50,-16301.1507868969
"45","ACDG_P015",15,100,-28759.595170232
"46","ACDG_P015",16,25,-1709.3652326523
"47","ACDG_P015",16,50,-3048.6800602411
"48","ACDG_P015",16,100,-7773.85511421469
"49","ACDG_P015",17,25,-7845.44234102693
"50","ACDG_P015",17,50,-15801.6997717824
"51","ACDG_P015",17,100,-29318.2128595275
"52","ACDG_P015",18,25,-6251.20781872544
"53","ACDG_P015",18,50,-13543.3174904548
"54","ACDG_P015",18,100,-23582.0653115124
"55","ACDG_P015",19,25,-6840.75520897131
"56","ACDG_P015",19,50,-15196.9024142096
"57","ACDG_P015",19,100,-33687.6258763008
"58","ACDG_P015",20,25,-6024.77965004925
"59","ACDG_P015",20,50,-10451.0359700404
"60","ACDG_P015",20,100,-23011.0342733839
"61","ACDG_P015",21,25,-9491.12664349327
"62","ACDG_P015",21,50,-17153.6283645273
"63","ACDG_P015",21,100,-35283.9878218436
"64","ACDG_P015",22,25,-10643.347656431
"65","ACDG_P015",22,50,-19626.4132101319
"66","ACDG_P015",22,100,-35979.3648199273
"67","ACDG_P015",23,25,-7130.05578911706
"68","ACDG_P015",23,50,-15802.7532092714
"69","ACDG_P015",23,100,-30315.8744236252
"70","ACDG_P015",24,25,-1447.70003863351
"71","ACDG_P015",24,50,-2463.01391391756
"72","ACDG_P015",24,100,-4345.23355090323
"73","ACDG_P015",25,25,-3916.01583559452
"74","ACDG_P015",25,50,-9263.08337687034
"75","ACDG_P015",25,100,-18043.1467821363
"76","ACDG_P015",26,25,-4722.90365235843
"77","ACDG_P015",26,50,-8741.12417310757
"78","ACDG_P015",26,100,-16330.2339915291
"79","ACDG_P015",27,25,-4036.49974399462
"80","ACDG_P015",27,50,-8313.52905782318
"81","ACDG_P015",27,100,-16985.8375353539
"82","ACDG_P015",28,25,-5259.02758280726
"83","ACDG_P015",28,50,-11586.8717429436
"84","ACDG_P015",28,100,-21077.685569725
"85","ACDG_P015",29,25,-5502.60215709151
"86","ACDG_P015",29,50,-10816.7742498221
"87","ACDG_P015",29,100,-23898.2161673078
"88","ACDG_P015",30,25,-11796.0558766845
"89","ACDG_P015",30,50,-21386.6494887341
"90","ACDG_P015",30,100,-40844.8684148446
"91","ACDG_P015",31,25,-3008.89324163321
"92","ACDG_P015",31,50,-6076.20404174466
"93","ACDG_P015",31,100,-11604.0646553387
"94","ACDG_P015",32,25,-8848.6144165975
"95","ACDG_P015",32,50,-18222.051916604
"96","ACDG_P015",32,100,-33021.9848127773
"97","ACDG_P015",33,25,-5699.41830957192
"98","ACDG_P015",33,50,-10136.3471691185
"99","ACDG_P015",33,100,-21945.655691521
"100","ACDG_P015",34,25,-7712.91857831961
"101","ACDG_P015",34,50,-15556.8215821333
"102","ACDG_P015",34,100,-31037.1677506352
"103","ACDG_P015",35,25,-2335.69400661113
"104","ACDG_P015",35,50,-5027.66097538411
"105","ACDG_P015",35,100,-8457.03693243249
"106","ACDG_P015",36,25,-2965.0282448556
"107","ACDG_P015",36,50,-5280.39670157758
"108","ACDG_P015",36,100,-10945.9293409046
