"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-46.5646702005318
"2","ACDG_P015",1,50,-67.4184971227661
"3","ACDG_P015",1,100,-1185.49860561146
"4","ACDG_P015",2,25,-971.753280960923
"5","ACDG_P015",2,50,-1487.394604623
"6","ACDG_P015",2,100,-2741.38708597515
"7","ACDG_P015",3,25,-256.346725349704
"8","ACDG_P015",3,50,-789.33772469463
"9","ACDG_P015",3,100,-1316.90824595382
"10","ACDG_P015",4,25,-1855.89518667325
"11","ACDG_P015",4,50,-1764.76567569176
"12","ACDG_P015",4,100,-5550.22138431094
"13","ACDG_P015",5,25,-1175.51587424846
"14","ACDG_P015",5,50,-1638.5217391562
"15","ACDG_P015",5,100,-5512.43660946448
"16","ACDG_P015",6,25,-2831.89390834627
"17","ACDG_P015",6,50,-7912.30935940036
"18","ACDG_P015",6,100,-15619.057259171
"19","ACDG_P015",7,25,-3401.50868341519
"20","ACDG_P015",7,50,-7829.11666225972
"21","ACDG_P015",7,100,-16317.6335256657
"22","ACDG_P015",8,25,-541.005937727444
"23","ACDG_P015",8,50,-2073.31118122897
"24","ACDG_P015",8,100,-2612.95828174916
"25","ACDG_P015",9,25,-1884.00277666998
"26","ACDG_P015",9,50,-2859.66130400076
"27","ACDG_P015",9,100,-6139.27162101344
"28","ACDG_P015",10,25,-1557.76858532073
"29","ACDG_P015",10,50,-3442.944967014
"30","ACDG_P015",10,100,-4932.79423806627
"31","ACDG_P015",11,25,-3531.41706390571
"32","ACDG_P015",11,50,-6349.12013597349
"33","ACDG_P015",11,100,-12024.2342353105
"34","ACDG_P015",12,25,-1064.6540782164
"35","ACDG_P015",12,50,-1789.82870701534
"36","ACDG_P015",12,100,-2527.82254956578
"37","ACDG_P015",13,25,-1464.47944180678
"38","ACDG_P015",13,50,-3606.29887981322
"39","ACDG_P015",13,100,-7811.36980865777
"40","ACDG_P015",14,25,-4209.10550191604
"41","ACDG_P015",14,50,-7754.98004946219
"42","ACDG_P015",14,100,-17912.4633389382
"43","ACDG_P015",15,25,-1439.64463877458
"44","ACDG_P015",15,50,-3009.79690694553
"45","ACDG_P015",15,100,-5487.12214028829
"46","ACDG_P015",16,25,-293.375646249491
"47","ACDG_P015",16,50,-1552.84048152956
"48","ACDG_P015",16,100,-4525.92149424802
"49","ACDG_P015",17,25,407.415165503945
"50","ACDG_P015",17,50,-497.144609839969
"51","ACDG_P015",17,100,-449.335030800617
"52","ACDG_P015",18,25,-1134.59821901462
"53","ACDG_P015",18,50,-2272.17686115534
"54","ACDG_P015",18,100,-4252.06678683261
"55","ACDG_P015",19,25,-1198.14953958802
"56","ACDG_P015",19,50,-3254.79784343239
"57","ACDG_P015",19,100,-5658.42885538764
"58","ACDG_P015",20,25,398.007311661754
"59","ACDG_P015",20,50,642.374527208988
"60","ACDG_P015",20,100,1141.18331565659
"61","ACDG_P015",21,25,-1890.45084739113
"62","ACDG_P015",21,50,-3327.98359862564
"63","ACDG_P015",21,100,-5649.9131394329
"64","ACDG_P015",22,25,-537.16760939387
"65","ACDG_P015",22,50,-960.920862693031
"66","ACDG_P015",22,100,-1759.20053131729
"67","ACDG_P015",23,25,331.368514690876
"68","ACDG_P015",23,50,405.777779778092
"69","ACDG_P015",23,100,376.264876326441
"70","ACDG_P015",24,25,-3289.94561170699
"71","ACDG_P015",24,50,-7278.59934991641
"72","ACDG_P015",24,100,-12607.1269896216
"73","ACDG_P015",25,25,-2113.91171659527
