"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-6108.80572652729
"2","ACDG_P015",1,50,-10734.8184187479
"3","ACDG_P015",1,100,-23269.3782788544
"4","ACDG_P015",2,25,-4970.79422091877
"5","ACDG_P015",2,50,-10837.2707335588
"6","ACDG_P015",2,100,-21657.0413831493
"7","ACDG_P015",3,25,-4378.04042100024
"8","ACDG_P015",3,50,-7406.86057993268
"9","ACDG_P015",3,100,-15936.5569105764
"10","ACDG_P015",4,25,-2780.24728883669
"11","ACDG_P015",4,50,-5668.5364271036
"12","ACDG_P015",4,100,-11972.1022143102
"13","ACDG_P015",5,25,-4866.80671992094
"14","ACDG_P015",5,50,-10408.4286843568
"15","ACDG_P015",5,100,-21045.6735184476
"16","ACDG_P015",6,25,-3764.87014401604
"17","ACDG_P015",6,50,-7320.52384995897
"18","ACDG_P015",6,100,-14780.0927217687
"19","ACDG_P015",7,25,-5710.83256804887
"20","ACDG_P015",7,50,-11644.9796145817
"21","ACDG_P015",7,100,-23915.9751754513
"22","ACDG_P015",8,25,-7329.44451559072
"23","ACDG_P015",8,50,-11484.9763504009
"24","ACDG_P015",8,100,-23070.7796574147
"25","ACDG_P015",9,25,-6743.00529018101
"26","ACDG_P015",9,50,-11861.7724216059
"27","ACDG_P015",9,100,-25959.0850584956
"28","ACDG_P015",10,25,-5262.69144867196
"29","ACDG_P015",10,50,-10825.6659148518
"30","ACDG_P015",10,100,-19254.4799396883
"31","ACDG_P015",11,25,-4959.69345111103
"32","ACDG_P015",11,50,-7757.82681896732
"33","ACDG_P015",11,100,-16524.4187810249
"34","ACDG_P015",12,25,-3947.13717899216
"35","ACDG_P015",12,50,-6273.88212843911
"36","ACDG_P015",12,100,-15513.4604973661
"37","ACDG_P015",13,25,-4017.72841870784
"38","ACDG_P015",13,50,-8936.7193593121
"39","ACDG_P015",13,100,-16134.3309186189
"40","ACDG_P015",14,25,-5790.50756520091
"41","ACDG_P015",14,50,-12816.1312035563
"42","ACDG_P015",14,100,-22745.6508690551
"43","ACDG_P015",15,25,-5130.91575196096
"44","ACDG_P015",15,50,-8142.37150630957
"45","ACDG_P015",15,100,-16396.025789488
"46","ACDG_P015",16,25,-5226.63549414628
"47","ACDG_P015",16,50,-11530.4333060222
"48","ACDG_P015",16,100,-20567.5922196502
"49","ACDG_P015",17,25,-3761.86487260059
"50","ACDG_P015",17,50,-7628.84443228674
"51","ACDG_P015",17,100,-14513.0760370026
"52","ACDG_P015",18,25,-3719.28085564167
"53","ACDG_P015",18,50,-6931.0175683858
"54","ACDG_P015",18,100,-14192.4824445722
"55","ACDG_P015",19,25,-3152.31333824901
"56","ACDG_P015",19,50,-8140.03590145733
"57","ACDG_P015",19,100,-15848.740053513
"58","ACDG_P015",20,25,-9629.35371802972
"59","ACDG_P015",20,50,-18822.0095247989
"60","ACDG_P015",20,100,-37947.1711177386
"61","ACDG_P015",21,25,-3914.20686925375
"62","ACDG_P015",21,50,-8170.02761268657
"63","ACDG_P015",21,100,-14774.2028110869
"64","ACDG_P015",22,25,-4474.08965358004
"65","ACDG_P015",22,50,-8441.33753852655
"66","ACDG_P015",22,100,-14458.4005859269
"67","ACDG_P015",23,25,-5226.96050364052
"68","ACDG_P015",23,50,-9311.81088606836
"69","ACDG_P015",23,100,-18946.9234449372
"70","ACDG_P015",24,25,-3257.20423858927
"71","ACDG_P015",24,50,-8323.13023371548
"72","ACDG_P015",24,100,-15826.2668046746
"73","ACDG_P015",25,25,-2708.83295686263
"74","ACDG_P015",25,50,-5477.66434576634
"75","ACDG_P015",25,100,-8849.06879524258
"76","ACDG_P015",26,25,-2657.82495649421
"77","ACDG_P015",26,50,-4201.50233905961
"78","ACDG_P015",26,100,-11450.9504865246
"79","ACDG_P015",27,25,-2573.95579352379
"80","ACDG_P015",27,50,-7423.13324838518
"81","ACDG_P015",27,100,-14727.4017037716
"82","ACDG_P015",28,25,-5790.25307952599
"83","ACDG_P015",28,50,-11689.0918073992
"84","ACDG_P015",28,100,-20400.3343766738
"85","ACDG_P015",29,25,-3699.99284544182
"86","ACDG_P015",29,50,-7182.78255981541
"87","ACDG_P015",29,100,-17098.8624637882
"88","ACDG_P015",30,25,-4542.2064838708
"89","ACDG_P015",30,50,-7918.97604128185
"90","ACDG_P015",30,100,-15401.1953720073
"91","ACDG_P015",31,25,-2837.40306769692
"92","ACDG_P015",31,50,-6353.71395656594
"93","ACDG_P015",31,100,-12881.5930912287
"94","ACDG_P015",32,25,-4044.06700841904
"95","ACDG_P015",32,50,-8513.40456438461
"96","ACDG_P015",32,100,-15679.970440658
"97","ACDG_P015",33,25,-1774.01409140829
"98","ACDG_P015",33,50,-4817.51852564629
"99","ACDG_P015",33,100,-9319.4283719496
"100","ACDG_P015",34,25,-2412.47261815569
"101","ACDG_P015",34,50,-5558.92964723735
"102","ACDG_P015",34,100,-12498.9405700091
"103","ACDG_P015",35,25,-5916.07077872013
"104","ACDG_P015",35,50,-11070.4202565911
"105","ACDG_P015",35,100,-20283.020667774
"106","ACDG_P015",36,25,-5438.43999970062
"107","ACDG_P015",36,50,-10819.2195407709
"108","ACDG_P015",36,100,-22176.479357893
"109","ACDG_P015",37,25,-5379.6001467527
"110","ACDG_P015",37,50,-9656.77628055959
"111","ACDG_P015",37,100,-17961.0956896804
"112","ACDG_P015",38,25,-7007.75848103355
"113","ACDG_P015",38,50,-14495.9816485293
"114","ACDG_P015",38,100,-28729.9245523574
"115","ACDG_P015",39,25,-8483.03679656424
"116","ACDG_P015",39,50,-14304.544472957
"117","ACDG_P015",39,100,-30138.5995611616
"118","ACDG_P015",40,25,-3834.2348672889
