"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-15877.6725660021
"2","ACDG_P015",1,50,-36800.4495409851
"3","ACDG_P015",1,100,-74409.8749858979
"4","ACDG_P015",2,25,-18702.9382259989
"5","ACDG_P015",2,50,-33301.3626852215
"6","ACDG_P015",2,100,-67882.5311698383
"7","ACDG_P015",3,25,-13345.7639744395
"8","ACDG_P015",3,50,-25511.6802441528
"9","ACDG_P015",3,100,-48348.0067348104
"10","ACDG_P015",4,25,-6478.12905879024
"11","ACDG_P015",4,50,-12136.6111143665
"12","ACDG_P015",4,100,-25704.8444160657
"13","ACDG_P015",5,25,-12793.0167230993
"14","ACDG_P015",5,50,-24466.8832881021
"15","ACDG_P015",5,100,-51739.144280367
"16","ACDG_P015",6,25,-17641.6650159521
"17","ACDG_P015",6,50,-34283.8242249172
"18","ACDG_P015",6,100,-70136.4458734743
"19","ACDG_P015",7,25,-7596.30724664371
"20","ACDG_P015",7,50,-12289.5085793627
"21","ACDG_P015",7,100,-23884.4515349357
"22","ACDG_P015",8,25,-5346.37240316169
"23","ACDG_P015",8,50,-9778.63874281278
"24","ACDG_P015",8,100,-17651.7341698063
"25","ACDG_P015",9,25,-7745.32957869795
"26","ACDG_P015",9,50,-17267.3075885956
"27","ACDG_P015",9,100,-33814.9462982693
"28","ACDG_P015",10,25,-12672.5698517212
"29","ACDG_P015",10,50,-27247.8580802225
"30","ACDG_P015",10,100,-50503.5118332613
"31","ACDG_P015",11,25,-13972.9204187914
"32","ACDG_P015",11,50,-30471.6386083522
"33","ACDG_P015",11,100,-64005.7353782773
"34","ACDG_P015",12,25,-12346.8633912287
"35","ACDG_P015",12,50,-27940.7305640791
"36","ACDG_P015",12,100,-55821.7280407047
"37","ACDG_P015",13,25,-4969.56051281232
"38","ACDG_P015",13,50,-10498.530253547
"39","ACDG_P015",13,100,-21791.4716602367
"40","ACDG_P015",14,25,-10264.659205032
"41","ACDG_P015",14,50,-21382.7369341175
"42","ACDG_P015",14,100,-39874.3966022813
"43","ACDG_P015",15,25,-11352.5876468446
"44","ACDG_P015",15,50,-22614.67292306
"45","ACDG_P015",15,100,-45068.9282624246
"46","ACDG_P015",16,25,-15380.3294834792
"47","ACDG_P015",16,50,-28298.3310811644
"48","ACDG_P015",16,100,-60483.7237884959
"49","ACDG_P015",17,25,-10444.5038359328
"50","ACDG_P015",17,50,-20796.6501634581
"51","ACDG_P015",17,100,-44151.7217734184
"52","ACDG_P015",18,25,-10303.838897559
"53","ACDG_P015",18,50,-19804.2991861989
"54","ACDG_P015",18,100,-39382.2340529273
"55","ACDG_P015",19,25,-14526.3334032327
"56","ACDG_P015",19,50,-27338.19913411
"57","ACDG_P015",19,100,-55654.5430407215
"58","ACDG_P015",20,25,-4994.54112572909
"59","ACDG_P015",20,50,-8565.90790258281
"60","ACDG_P015",20,100,-17570.4189628583
"61","ACDG_P015",21,25,-6541.40278229225
"62","ACDG_P015",21,50,-12468.0367024114
"63","ACDG_P015",21,100,-25441.2562147384
"64","ACDG_P015",22,25,-13201.9587427285
"65","ACDG_P015",22,50,-26018.1375242389
"66","ACDG_P015",22,100,-51862.2338271948
"67","ACDG_P015",23,25,-7825.17351634647
"68","ACDG_P015",23,50,-15638.268079174
"69","ACDG_P015",23,100,-31033.3887215644
