"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-8279.68905450627
"2","ACDG_P015",1,50,-17204.6147320217
"3","ACDG_P015",1,100,-33228.7843200635
"4","ACDG_P015",2,25,-7869.52256808058
"5","ACDG_P015",2,50,-15037.0865584201
"6","ACDG_P015",2,100,-32871.6509399655
"7","ACDG_P015",3,25,-4063.25532345953
"8","ACDG_P015",3,50,-8206.54803008825
"9","ACDG_P015",3,100,-14523.651379313
"10","ACDG_P015",4,25,-12239.5478181654
"11","ACDG_P015",4,50,-23426.0904830138
"12","ACDG_P015",4,100,-51502.7281750034
"13","ACDG_P015",5,25,-9336.17747642204
"14","ACDG_P015",5,50,-17683.8221641428
"15","ACDG_P015",5,100,-37917.7195290502
"16","ACDG_P015",6,25,-7776.43882183267
"17","ACDG_P015",6,50,-15424.0922940379
"18","ACDG_P015",6,100,-27215.0294071881
"19","ACDG_P015",7,25,-12708.7181793624
"20","ACDG_P015",7,50,-28242.9321810656
"21","ACDG_P015",7,100,-60120.1002087431
"22","ACDG_P015",8,25,-11814.420118773
"23","ACDG_P015",8,50,-23888.2478394259
"24","ACDG_P015",8,100,-46280.1649337306
"25","ACDG_P015",9,25,-1877.6056048532
"26","ACDG_P015",9,50,-3199.04441025143
"27","ACDG_P015",9,100,-6716.01098512683
"28","ACDG_P015",10,25,-9197.09978387919
"29","ACDG_P015",10,50,-19365.4556593423
"30","ACDG_P015",10,100,-35704.3885505258
"31","ACDG_P015",11,25,-13754.4099429867
"32","ACDG_P015",11,50,-26921.609640979
"33","ACDG_P015",11,100,-57053.3638937543
"34","ACDG_P015",12,25,-8387.5200828901
"35","ACDG_P015",12,50,-17179.5379357575
"36","ACDG_P015",12,100,-33727.6508515861
"37","ACDG_P015",13,25,-9978.37625044256
"38","ACDG_P015",13,50,-23117.1854532471
"39","ACDG_P015",13,100,-46646.3897350186
"40","ACDG_P015",14,25,-10634.5382531271
"41","ACDG_P015",14,50,-24911.6273812554
"42","ACDG_P015",14,100,-49646.9933365574
"43","ACDG_P015",15,25,-3538.18064994475
"44","ACDG_P015",15,50,-10595.7887814642
"45","ACDG_P015",15,100,-21183.1232560766
"46","ACDG_P015",16,25,-8138.97689701251
"47","ACDG_P015",16,50,-16037.0053916331
"48","ACDG_P015",16,100,-35605.5673318447
