"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-2860.8661462342
"2","ACDG_P015",1,50,-5945.39486328691
"3","ACDG_P015",1,100,-11125.056973834
"4","ACDG_P015",2,25,-5177.60044129256
"5","ACDG_P015",2,50,-11845.4571326737
"6","ACDG_P015",2,100,-19115.5673932401
"7","ACDG_P015",3,25,-4188.85754644862
"8","ACDG_P015",3,50,-7681.67125238742
"9","ACDG_P015",3,100,-16769.6697563797
"10","ACDG_P015",4,25,-5989.67262650788
"11","ACDG_P015",4,50,-10247.9581514694
"12","ACDG_P015",4,100,-19734.8739879878
"13","ACDG_P015",5,25,-1107.3197222762
"14","ACDG_P015",5,50,-3842.88990961233
"15","ACDG_P015",5,100,-6714.38965181655
"16","ACDG_P015",6,25,-4120.71939535946
"17","ACDG_P015",6,50,-12418.6580872116
"18","ACDG_P015",6,100,-23098.4243539935
"19","ACDG_P015",7,25,-6722.12295934822
"20","ACDG_P015",7,50,-12252.46476626
"21","ACDG_P015",7,100,-27042.8710373835
"22","ACDG_P015",8,25,-4792.11093822656
"23","ACDG_P015",8,50,-9529.0669660215
"24","ACDG_P015",8,100,-21707.1876688855
"25","ACDG_P015",9,25,-4774.34631269814
"26","ACDG_P015",9,50,-9511.80641774426
"27","ACDG_P015",9,100,-16290.3418993062
"28","ACDG_P015",10,25,-3887.20724015161
"29","ACDG_P015",10,50,-8001.36740349409
"30","ACDG_P015",10,100,-13158.4076991649
"31","ACDG_P015",11,25,-2031.73453915766
"32","ACDG_P015",11,50,-3428.76805691698
"33","ACDG_P015",11,100,-7307.67821187153
"34","ACDG_P015",12,25,-5636.60259061067
"35","ACDG_P015",12,50,-15856.0947803351
"36","ACDG_P015",12,100,-30860.8266734039
"37","ACDG_P015",13,25,-6745.95260143452
"38","ACDG_P015",13,50,-13567.9421676215
"39","ACDG_P015",13,100,-24661.5389994419
"40","ACDG_P015",14,25,-1411.92192403025
"41","ACDG_P015",14,50,-1794.47099653175
"42","ACDG_P015",14,100,-3819.73056729227
"43","ACDG_P015",15,25,-5340.54708218119
"44","ACDG_P015",15,50,-10629.8992268
"45","ACDG_P015",15,100,-22913.2538959473
"46","ACDG_P015",16,25,-2693.29756174867
"47","ACDG_P015",16,50,-7162.30854790194
"48","ACDG_P015",16,100,-15058.6915385757
"49","ACDG_P015",17,25,-7904.02863490845
"50","ACDG_P015",17,50,-15797.3441193717
"51","ACDG_P015",17,100,-29066.3695206459
"52","ACDG_P015",18,25,-4897.04070258573
"53","ACDG_P015",18,50,-9545.15341518823
"54","ACDG_P015",18,100,-21288.7773254971
"55","ACDG_P015",19,25,-7434.4330263647
"56","ACDG_P015",19,50,-16118.1550627219
"57","ACDG_P015",19,100,-34111.6659624358
"58","ACDG_P015",20,25,-2961.48655741097
"59","ACDG_P015",20,50,-4503.87787811364
"60","ACDG_P015",20,100,-11041.4670009811
"61","ACDG_P015",21,25,-10136.9990237781
"62","ACDG_P015",21,50,-16214.6654467016
"63","ACDG_P015",21,100,-35628.9717236031
"64","ACDG_P015",22,25,-5126.32059968309
"65","ACDG_P015",22,50,-9616.4167729345
"66","ACDG_P015",22,100,-21812.8456379003
"67","ACDG_P015",23,25,-7999.02537847158
"68","ACDG_P015",23,50,-14580.9653140136
"69","ACDG_P015",23,100,-28433.9024668168
"70","ACDG_P015",24,25,-1204.97423471355
"71","ACDG_P015",24,50,-2729.13693060312
"72","ACDG_P015",24,100,-5051.68518194721
"73","ACDG_P015",25,25,-4512.79336909798
"74","ACDG_P015",25,50,-10094.1267241007
"75","ACDG_P015",25,100,-19573.9841130696
"76","ACDG_P015",26,25,-5130.73933114508
"77","ACDG_P015",26,50,-10740.8694612166
"78","ACDG_P015",26,100,-21438.998086772
"79","ACDG_P015",27,25,-9935.44093017101
"80","ACDG_P015",27,50,-17741.6694385881
