"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-23990.6729806729
"2","ACDG_P015",1,50,-44179.2169772301
"3","ACDG_P015",1,100,-95871.1041030889
"4","ACDG_P015",2,25,-24302.8784119312
"5","ACDG_P015",2,50,-50659.615904315
"6","ACDG_P015",2,100,-102829.231206368
"7","ACDG_P015",3,25,-24745.9110563169
"8","ACDG_P015",3,50,-49685.3577661905
"9","ACDG_P015",3,100,-98852.2315458459
"10","ACDG_P015",4,25,-25995.2242901751
"11","ACDG_P015",4,50,-50522.5462660905
"12","ACDG_P015",4,100,-96320.8982998089
"13","ACDG_P015",5,25,-25880.9072973883
"14","ACDG_P015",5,50,-50195.1401289554
"15","ACDG_P015",5,100,-101023.542346413
"16","ACDG_P015",6,25,-22661.2552701796
"17","ACDG_P015",6,50,-46302.0984460414
"18","ACDG_P015",6,100,-96568.2377461367
"19","ACDG_P015",7,25,-28064.6146493249
"20","ACDG_P015",7,50,-51202.567600688
"21","ACDG_P015",7,100,-101541.107455177
"22","ACDG_P015",8,25,-27122.3102491854
"23","ACDG_P015",8,50,-51632.348452789
"24","ACDG_P015",8,100,-103790.219826882
"25","ACDG_P015",9,25,-23628.9540916956
"26","ACDG_P015",9,50,-46191.7643350364
"27","ACDG_P015",9,100,-97485.7867992544
"28","ACDG_P015",10,25,-26127.0903682476
"29","ACDG_P015",10,50,-50093.0797046244
"30","ACDG_P015",10,100,-102200.718939754
"31","ACDG_P015",11,25,-24052.6403816279
"32","ACDG_P015",11,50,-47014.3384551014
"33","ACDG_P015",11,100,-94535.9407290472
"34","ACDG_P015",12,25,-25589.5195462173
"35","ACDG_P015",12,50,-46966.879395189
"36","ACDG_P015",12,100,-95316.9185589388
"37","ACDG_P015",13,25,-23349.3822742075
"38","ACDG_P015",13,50,-48517.581676869
"39","ACDG_P015",13,100,-94525.5245913063
"40","ACDG_P015",14,25,-28446.9224970162
"41","ACDG_P015",14,50,-55506.7942725976
"42","ACDG_P015",14,100,-109289.116495885
"43","ACDG_P015",15,25,-23035.2836594591
"44","ACDG_P015",15,50,-45671.0079987219
"45","ACDG_P015",15,100,-92878.0619077119
"46","ACDG_P015",16,25,-22683.5146622892
