"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-3604.56755325388
"2","ACDG_P015",1,50,-6606.92554516745
"3","ACDG_P015",1,100,-15142.44238184
"4","ACDG_P015",2,25,-2465.79882112241
"5","ACDG_P015",2,50,-6023.3073498357
"6","ACDG_P015",2,100,-10755.5423326725
"7","ACDG_P015",3,25,-1440.69161249533
"8","ACDG_P015",3,50,-3148.539107253
"9","ACDG_P015",3,100,-5609.14659787519
"10","ACDG_P015",4,25,-919.864432332526
"11","ACDG_P015",4,50,-3352.32649040715
"12","ACDG_P015",4,100,-7634.68903788215
"13","ACDG_P015",5,25,-2570.08589101203
"14","ACDG_P015",5,50,-5364.35140164239
"15","ACDG_P015",5,100,-11165.7752008661
"16","ACDG_P015",6,25,-5498.19808179071
"17","ACDG_P015",6,50,-8974.63964129383
"18","ACDG_P015",6,100,-20343.6845050161
"19","ACDG_P015",7,25,-4554.2967732612
"20","ACDG_P015",7,50,-9540.68398204918
"21","ACDG_P015",7,100,-20324.3132094559
"22","ACDG_P015",8,25,-1798.29703254379
"23","ACDG_P015",8,50,-4348.11295281699
"24","ACDG_P015",8,100,-9696.05921683863
"25","ACDG_P015",9,25,-4250.06532619103
"26","ACDG_P015",9,50,-8838.86047078711
"27","ACDG_P015",9,100,-17877.9813161838
"28","ACDG_P015",10,25,-815.767539020597
"29","ACDG_P015",10,50,-903.854621078222
"30","ACDG_P015",10,100,-4409.59445999074
"31","ACDG_P015",11,25,-2345.42882736761
"32","ACDG_P015",11,50,-5340.25051823605
"33","ACDG_P015",11,100,-10843.942638471
"34","ACDG_P015",12,25,-2131.86552412312
"35","ACDG_P015",12,50,-3473.80537368842
"36","ACDG_P015",12,100,-7123.30126249374
"37","ACDG_P015",13,25,-1782.99159560902
"38","ACDG_P015",13,50,-4007.97480950841
"39","ACDG_P015",13,100,-7404.4757129493
"40","ACDG_P015",14,25,-5982.74303065928
"41","ACDG_P015",14,50,-11130.0811658808
"42","ACDG_P015",14,100,-21514.1733791852
"43","ACDG_P015",15,25,-139.361742389688
"44","ACDG_P015",15,50,-2536.44400187523
"45","ACDG_P015",15,100,-4789.09454136934
"46","ACDG_P015",16,25,-5023.68137918731
