"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-8319.71131447004
"2","ACDG_P015",1,50,-16372.6700754862
"3","ACDG_P015",1,100,-31508.704288655
"4","ACDG_P015",2,25,-8432.72451263622
"5","ACDG_P015",2,50,-20273.5008095678
"6","ACDG_P015",2,100,-40763.0359484975
"7","ACDG_P015",3,25,-9917.50291247608
"8","ACDG_P015",3,50,-16359.2708767358
"9","ACDG_P015",3,100,-38633.1456482863
"10","ACDG_P015",4,25,-2526.24092156218
"11","ACDG_P015",4,50,-6798.3941649318
"12","ACDG_P015",4,100,-14030.4595145209
"13","ACDG_P015",5,25,-9870.35859516885
"14","ACDG_P015",5,50,-20781.0953924455
"15","ACDG_P015",5,100,-40843.9939701676
"16","ACDG_P015",6,25,-6514.77326936816
"17","ACDG_P015",6,50,-13638.3774820862
"18","ACDG_P015",6,100,-24960.1761456616
"19","ACDG_P015",7,25,-2999.60980785938
"20","ACDG_P015",7,50,-5801.93290586764
"21","ACDG_P015",7,100,-11611.180445054
"22","ACDG_P015",8,25,-7438.82376589194
"23","ACDG_P015",8,50,-17307.6537888844
"24","ACDG_P015",8,100,-32112.5681946764
"25","ACDG_P015",9,25,-8921.25910071071
"26","ACDG_P015",9,50,-21190.0647586056
"27","ACDG_P015",9,100,-38901.9941031644
"28","ACDG_P015",10,25,-8968.70464007712
"29","ACDG_P015",10,50,-20078.9042260927
"30","ACDG_P015",10,100,-40177.8090147638
"31","ACDG_P015",11,25,-3978.62856506536
"32","ACDG_P015",11,50,-8398.54215241588
"33","ACDG_P015",11,100,-16141.9814805929
"34","ACDG_P015",12,25,-9044.93741565
"35","ACDG_P015",12,50,-17650.9016024278
"36","ACDG_P015",12,100,-35853.3594749342
"37","ACDG_P015",13,25,-8425.05218369922
"38","ACDG_P015",13,50,-16308.4961026138
"39","ACDG_P015",13,100,-31495.562875704
"40","ACDG_P015",14,25,-10521.7690809074
"41","ACDG_P015",14,50,-19288.8314910109
"42","ACDG_P015",14,100,-38717.1809758239
"43","ACDG_P015",15,25,-2027.25946390765
"44","ACDG_P015",15,50,-4975.47157606165
"45","ACDG_P015",15,100,-9401.71803250403
"46","ACDG_P015",16,25,-5972.95352052075
"47","ACDG_P015",16,50,-11195.141124026
"48","ACDG_P015",16,100,-23994.2539274274
"49","ACDG_P015",17,25,-10071.9877180404
"50","ACDG_P015",17,50,-20488.7958421577
"51","ACDG_P015",17,100,-43473.3444635388
"52","ACDG_P015",18,25,-2494.44157195724
"53","ACDG_P015",18,50,-6257.57456874672
"54","ACDG_P015",18,100,-12080.7777938674
"55","ACDG_P015",19,25,-3588.59170223584
"56","ACDG_P015",19,50,-7024.6263908975
"57","ACDG_P015",19,100,-13678.1496869929
"58","ACDG_P015",20,25,-10651.3649456418
"59","ACDG_P015",20,50,-19975.6415914773
"60","ACDG_P015",20,100,-40894.4393815045
"61","ACDG_P015",21,25,-5880.5264657546
"62","ACDG_P015",21,50,-9744.00717015808
"63","ACDG_P015",21,100,-19306.9326184422
"64","ACDG_P015",22,25,-7582.76598011782
"65","ACDG_P015",22,50,-17390.0967391997
"66","ACDG_P015",22,100,-31516.9542393136
"67","ACDG_P015",23,25,-9388.47136952116
"68","ACDG_P015",23,50,-17952.3658562275
"69","ACDG_P015",23,100,-35743.7552712374
"70","ACDG_P015",24,25,-5189.94636645787
"71","ACDG_P015",24,50,-11172.2984513746
"72","ACDG_P015",24,100,-21488.44593377
"73","ACDG_P015",25,25,-5022.77055363869
"74","ACDG_P015",25,50,-9215.26197942247
"75","ACDG_P015",25,100,-18380.9434254804
"76","ACDG_P015",26,25,-7613.34065892654
"77","ACDG_P015",26,50,-15589.2071176388
"78","ACDG_P015",26,100,-31441.1151800956
"79","ACDG_P015",27,25,-8336.00536086357
"80","ACDG_P015",27,50,-14458.5340828597
"81","ACDG_P015",27,100,-29612.271710387
"82","ACDG_P015",28,25,-7299.83661606227
"83","ACDG_P015",28,50,-13370.2032891017
"84","ACDG_P015",28,100,-26032.4420893708
"85","ACDG_P015",29,25,-2017.36841884575
"86","ACDG_P015",29,50,-5678.1126953991
"87","ACDG_P015",29,100,-11095.2788419099
"88","ACDG_P015",30,25,-11273.2326277558
"89","ACDG_P015",30,50,-19061.2169417618
"90","ACDG_P015",30,100,-42329.6461491949
"91","ACDG_P015",31,25,-8573.68674334122
"92","ACDG_P015",31,50,-16112.0566703014
"93","ACDG_P015",31,100,-34121.305497642
"94","ACDG_P015",32,25,-7918.33562783475
"95","ACDG_P015",32,50,-14295.0039475738
"96","ACDG_P015",32,100,-28540.3026654471
"97","ACDG_P015",33,25,-7131.69715129647
"98","ACDG_P015",33,50,-14311.6165556478
"99","ACDG_P015",33,100,-30228.3867650864
"100","ACDG_P015",34,25,-3350.77278810897
"101","ACDG_P015",34,50,-7675.57925949954
"102","ACDG_P015",34,100,-15359.8706735983
"103","ACDG_P015",35,25,-11973.8947319472
"104","ACDG_P015",35,50,-26256.8970042253
"105","ACDG_P015",35,100,-52170.282894107
"106","ACDG_P015",36,25,-5158.25001414178
"107","ACDG_P015",36,50,-10311.1174537826
"108","ACDG_P015",36,100,-19992.6988035546
"109","ACDG_P015",37,25,-7574.41773346596
"110","ACDG_P015",37,50,-19551.9727724299
"111","ACDG_P015",37,100,-34340.6494837779
"112","ACDG_P015",38,25,-11494.0982968868
"113","ACDG_P015",38,50,-24831.3854808711
"114","ACDG_P015",38,100,-49609.0919448219
"115","ACDG_P015",39,25,-7548.02894108044
"116","ACDG_P015",39,50,-15308.1936980696
"117","ACDG_P015",39,100,-30794.6024288611
"118","ACDG_P015",40,25,-13689.0879343423
"119","ACDG_P015",40,50,-23646.0994212363
"120","ACDG_P015",40,100,-49811.2221974557
"121","ACDG_P015",41,25,-7135.98554551222
"122","ACDG_P015",41,50,-16305.8204222274
"123","ACDG_P015",41,100,-32657.7515752319
"124","ACDG_P015",42,25,-7758.45987359682
"125","ACDG_P015",42,50,-15885.848561769
"126","ACDG_P015",42,100,-32504.9525291369
"127","ACDG_P015",43,25,-7045.54459204037
"128","ACDG_P015",43,50,-12426.1202797056
"129","ACDG_P015",43,100,-24190.5556053859
"130","ACDG_P015",44,25,-6782.83781289748
"131","ACDG_P015",44,50,-13685.5884145656
"132","ACDG_P015",44,100,-30048.374495594
"133","ACDG_P015",45,25,-5359.77240850381
"134","ACDG_P015",45,50,-9399.54947501372
"135","ACDG_P015",45,100,-20459.1818155402
"136","ACDG_P015",46,25,-13270.3253360325
"137","ACDG_P015",46,50,-23300.6035470214
"138","ACDG_P015",46,100,-46989.8503989162
"139","ACDG_P015",47,25,-6106.84549099648
"140","ACDG_P015",47,50,-12501.8357495497
"141","ACDG_P015",47,100,-25405.77969003
"142","ACDG_P015",48,25,-4933.79247686048
"143","ACDG_P015",48,50,-12525.3092786188
"144","ACDG_P015",48,100,-22225.4339926826
"145","ACDG_P015",49,25,-5679.88857595092
"146","ACDG_P015",49,50,-12752.5554856964
"147","ACDG_P015",49,100,-24845.8443196975
"148","ACDG_P015",50,25,-9157.06996702282
"149","ACDG_P015",50,50,-14753.6138027649
"150","ACDG_P015",50,100,-28705.3317816885
"151","ACDG_P015",51,25,-7745.26170314924
"152","ACDG_P015",51,50,-16200.8143066057
"153","ACDG_P015",51,100,-33358.4767476645
"154","ACDG_P015",52,25,-6603.57082380188
"155","ACDG_P015",52,50,-16243.6028020785
"156","ACDG_P015",52,100,-29592.8594469344
"157","ACDG_P015",53,25,-7122.33039355818
"158","ACDG_P015",53,50,-14446.1218457823
"159","ACDG_P015",53,100,-27692.8820564041
"160","ACDG_P015",54,25,-11472.9422258676
"161","ACDG_P015",54,50,-24027.2064977598
"162","ACDG_P015",54,100,-44102.0450366375
"163","ACDG_P015",55,25,-3095.99505790863
"164","ACDG_P015",55,50,-4599.05474418757
"165","ACDG_P015",55,100,-8737.83780279581
"166","ACDG_P015",56,25,-3563.22761667141
"167","ACDG_P015",56,50,-7776.98272652385
"168","ACDG_P015",56,100,-19991.08766994
"169","ACDG_P015",57,25,-10366.7442859431
"170","ACDG_P015",57,50,-25597.8142069369
"171","ACDG_P015",57,100,-49638.1731312061
"172","ACDG_P015",58,25,-3125.1203000527
"173","ACDG_P015",58,50,-3906.50689929241
"174","ACDG_P015",58,100,-12466.8976525061
"175","ACDG_P015",59,25,-8679.74918278018
"176","ACDG_P015",59,50,-18263.6638183635
"177","ACDG_P015",59,100,-37619.1086747428
"178","ACDG_P015",60,25,-6159.1854945513
"179","ACDG_P015",60,50,-12397.483029964
"180","ACDG_P015",60,100,-22839.8184014475
"181","ACDG_P015",61,25,-6770.52628643909
"182","ACDG_P015",61,50,-14079.0919621822
"183","ACDG_P015",61,100,-28835.5777672866
"184","ACDG_P015",62,25,-13113.9481046621
