"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-18682.5407835093
"2","ACDG_P015",1,50,-38783.7976815173
"3","ACDG_P015",1,100,-74964.8879039144
"4","ACDG_P015",2,25,-15161.5577004813
"5","ACDG_P015",2,50,-31363.8086338176
"6","ACDG_P015",2,100,-61688.44366332
"7","ACDG_P015",3,25,-11787.0952543158
"8","ACDG_P015",3,50,-23768.5405658632
"9","ACDG_P015",3,100,-50069.729249083
"10","ACDG_P015",4,25,-5852.89961777136
"11","ACDG_P015",4,50,-11707.4003053885
"12","ACDG_P015",4,100,-23771.9238670042
"13","ACDG_P015",5,25,-13198.4086857941
"14","ACDG_P015",5,50,-27131.540089323
"15","ACDG_P015",5,100,-52236.7133448817
"16","ACDG_P015",6,25,-16261.070979563
"17","ACDG_P015",6,50,-30378.3371066562
"18","ACDG_P015",6,100,-60820.9260297201
"19","ACDG_P015",7,25,-4909.86824890676
"20","ACDG_P015",7,50,-9093.85733076385
"21","ACDG_P015",7,100,-21752.1252320333
"22","ACDG_P015",8,25,-5346.37240316169
"23","ACDG_P015",8,50,-9778.63874281278
"24","ACDG_P015",8,100,-17651.7341698063
"25","ACDG_P015",9,25,-9764.00299060095
"26","ACDG_P015",9,50,-17383.6645830289
"27","ACDG_P015",9,100,-34699.7769811408
"28","ACDG_P015",10,25,-12829.5269248281
"29","ACDG_P015",10,50,-24359.2469912157
"30","ACDG_P015",10,100,-50394.3379844053
"31","ACDG_P015",11,25,-13972.9204187914
"32","ACDG_P015",11,50,-30471.6386083522
"33","ACDG_P015",11,100,-64005.7353782773
"34","ACDG_P015",12,25,-7194.59273972509
"35","ACDG_P015",12,50,-15693.2119923845
"36","ACDG_P015",12,100,-31926.1636865156
"37","ACDG_P015",13,25,-5346.32132977662
"38","ACDG_P015",13,50,-8432.26439942215
"39","ACDG_P015",13,100,-21869.5762759676
"40","ACDG_P015",14,25,-9651.42148003404
"41","ACDG_P015",14,50,-18390.4666257086
"42","ACDG_P015",14,100,-37163.4195903042
"43","ACDG_P015",15,25,-11278.2419254999
"44","ACDG_P015",15,50,-20546.7372976376
"45","ACDG_P015",15,100,-43898.3669118756
"46","ACDG_P015",16,25,-14492.4876398488
"47","ACDG_P015",16,50,-27674.8260464467
"48","ACDG_P015",16,100,-59037.0891755062
"49","ACDG_P015",17,25,-3945.95108651025
"50","ACDG_P015",17,50,-10682.1464795319
"51","ACDG_P015",17,100,-19589.0277478681
"52","ACDG_P015",18,25,-6960.18084074382
"53","ACDG_P015",18,50,-14054.4452478867
"54","ACDG_P015",18,100,-30827.361625093
"55","ACDG_P015",19,25,-13636.4518124659
"56","ACDG_P015",19,50,-27812.5963438696
"57","ACDG_P015",19,100,-54173.0292292101
"58","ACDG_P015",20,25,-5341.52982070302
"59","ACDG_P015",20,50,-9696.23025832746
"60","ACDG_P015",20,100,-18199.6954258736
"61","ACDG_P015",21,25,-7168.00802698568
"62","ACDG_P015",21,50,-13198.8279485944
"63","ACDG_P015",21,100,-27456.0170748959
"64","ACDG_P015",22,25,-10603.4441120233
"65","ACDG_P015",22,50,-19538.4255566288
"66","ACDG_P015",22,100,-41028.721288985
"67","ACDG_P015",23,25,-9791.15793135052
"68","ACDG_P015",23,50,-20260.0523434872
"69","ACDG_P015",23,100,-43797.0189985644
"70","ACDG_P015",24,25,-16015.4055298375
"71","ACDG_P015",24,50,-31836.0172518495
"72","ACDG_P015",24,100,-62682.1113672218
"73","ACDG_P015",25,25,-13323.820774826
"74","ACDG_P015",25,50,-27097.0100358435
"75","ACDG_P015",25,100,-59269.6688305093
"76","ACDG_P015",26,25,-12949.1910759959
"77","ACDG_P015",26,50,-27041.9857752492
"78","ACDG_P015",26,100,-53457.8812374989
"79","ACDG_P015",27,25,-6594.51478612017
"80","ACDG_P015",27,50,-11582.5058885732
"81","ACDG_P015",27,100,-22133.4122383685
"82","ACDG_P015",28,25,-7894.09327971408
"83","ACDG_P015",28,50,-16475.2945158454
"84","ACDG_P015",28,100,-32098.2107906458
"85","ACDG_P015",29,25,-8259.86469319357
"86","ACDG_P015",29,50,-15809.9471049751
"87","ACDG_P015",29,100,-32789.7950205938
"88","ACDG_P015",30,25,-8708.20533954137
"89","ACDG_P015",30,50,-18945.2637886666
"90","ACDG_P015",30,100,-34416.0242149863
"91","ACDG_P015",31,25,-13118.5131802448
"92","ACDG_P015",31,50,-22007.7584064442
"93","ACDG_P015",31,100,-48513.3643108816
"94","ACDG_P015",32,25,-9561.80576608063
"95","ACDG_P015",32,50,-21560.4757711352
"96","ACDG_P015",32,100,-43202.4550183078
"97","ACDG_P015",33,25,-6674.68633189619
"98","ACDG_P015",33,50,-13815.7990846462
"99","ACDG_P015",33,100,-30623.6579038285
"100","ACDG_P015",34,25,-6081.63887992298
"101","ACDG_P015",34,50,-15046.5051331782
"102","ACDG_P015",34,100,-27931.876569125
"103","ACDG_P015",35,25,-13434.1844561563
"104","ACDG_P015",35,50,-27479.4518241319
"105","ACDG_P015",35,100,-53765.7693144164
