"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-7543.28956907852
"2","ACDG_P015",1,50,-15568.8934783405
"3","ACDG_P015",1,100,-33199.2660487795
"4","ACDG_P015",2,25,-7406.78765512659
"5","ACDG_P015",2,50,-14729.0647709876
"6","ACDG_P015",2,100,-27709.4711175923
"7","ACDG_P015",3,25,-4525.04691019926
"8","ACDG_P015",3,50,-8331.04166124231
"9","ACDG_P015",3,100,-14447.7693595138
"10","ACDG_P015",4,25,-12239.5478181654
"11","ACDG_P015",4,50,-23426.0904830138
"12","ACDG_P015",4,100,-51502.7281750034
"13","ACDG_P015",5,25,-10447.2683371755
"14","ACDG_P015",5,50,-20134.8345263362
"15","ACDG_P015",5,100,-39881.585623463
"16","ACDG_P015",6,25,-8235.18197572319
"17","ACDG_P015",6,50,-15538.8258446432
"18","ACDG_P015",6,100,-28495.7936917052
"19","ACDG_P015",7,25,-13031.4803061696
"20","ACDG_P015",7,50,-26982.9063333848
"21","ACDG_P015",7,100,-54387.0859510277
"22","ACDG_P015",8,25,-11814.420118773
"23","ACDG_P015",8,50,-23888.2478394259
"24","ACDG_P015",8,100,-46280.1649337306
"25","ACDG_P015",9,25,-1230.64543607017
"26","ACDG_P015",9,50,-2203.77634729113
"27","ACDG_P015",9,100,-4009.03008654747
"28","ACDG_P015",10,25,-5352.50461073741
"29","ACDG_P015",10,50,-12038.0093105045
"30","ACDG_P015",10,100,-21338.1390941292
"31","ACDG_P015",11,25,-13387.5745916406
"32","ACDG_P015",11,50,-27248.7318023256
"33","ACDG_P015",11,100,-52048.2849478657
"34","ACDG_P015",12,25,-7225.40149987822
"35","ACDG_P015",12,50,-15564.4076534795
"36","ACDG_P015",12,100,-29802.4120263999
"37","ACDG_P015",13,25,-10570.1140486944
"38","ACDG_P015",13,50,-21297.3826734094
"39","ACDG_P015",13,100,-43002.2991451454
"40","ACDG_P015",14,25,-10857.7798236262
"41","ACDG_P015",14,50,-21215.614806384
"42","ACDG_P015",14,100,-43541.4265352512
"43","ACDG_P015",15,25,-5960.91410478397
"44","ACDG_P015",15,50,-11859.8548962528
"45","ACDG_P015",15,100,-22299.5927887805
"46","ACDG_P015",16,25,-6956.84453591465
"47","ACDG_P015",16,50,-15951.7410870587
"48","ACDG_P015",16,100,-34263.1802271219
"49","ACDG_P015",17,25,-11944.5165865023
"50","ACDG_P015",17,50,-25925.3956679587
"51","ACDG_P015",17,100,-51981.5410688873
"52","ACDG_P015",18,25,-7013.14513281927
"53","ACDG_P015",18,50,-13917.5823151786
"54","ACDG_P015",18,100,-32555.4284003398
"55","ACDG_P015",19,25,-5790.7315377612
"56","ACDG_P015",19,50,-14222.3816061619
"57","ACDG_P015",19,100,-27032.1114515286
"58","ACDG_P015",20,25,-12889.1781776371
"59","ACDG_P015",20,50,-27743.3122769749
"60","ACDG_P015",20,100,-54720.3839518266
"61","ACDG_P015",21,25,-5581.99019954878
"62","ACDG_P015",21,50,-11925.6442040617
"63","ACDG_P015",21,100,-22050.4650676929
"64","ACDG_P015",22,25,-9042.02807288544
"65","ACDG_P015",22,50,-14559.7692397916
"66","ACDG_P015",22,100,-30933.4619392412
"67","ACDG_P015",23,25,-3550.36270111218
"68","ACDG_P015",23,50,-7534.87670909184
"69","ACDG_P015",23,100,-15420.3922425275
"70","ACDG_P015",24,25,-7444.84745576768
"71","ACDG_P015",24,50,-14602.7320654449
"72","ACDG_P015",24,100,-34614.0969081187
"73","ACDG_P015",25,25,-4020.41622751848
"74","ACDG_P015",25,50,-8215.85798142302
"75","ACDG_P015",25,100,-15769.5104667899
"76","ACDG_P015",26,25,-7719.14564864485
"77","ACDG_P015",26,50,-11971.6174463886
"78","ACDG_P015",26,100,-24814.6089667623
"79","ACDG_P015",27,25,-8715.95408841133
"80","ACDG_P015",27,50,-17761.2422481766
"81","ACDG_P015",27,100,-30139.0996091443
"82","ACDG_P015",28,25,-6428.37021811447
"83","ACDG_P015",28,50,-14644.4323797428
"84","ACDG_P015",28,100,-28805.5366224905
"85","ACDG_P015",29,25,-8725.96795972907
"86","ACDG_P015",29,50,-22184.7405762819
"87","ACDG_P015",29,100,-42354.0227839978
"88","ACDG_P015",30,25,-2746.15779808901
"89","ACDG_P015",30,50,-4929.54177526516
"90","ACDG_P015",30,100,-12819.4565139732
"91","ACDG_P015",31,25,-14489.7059728541
"92","ACDG_P015",31,50,-26958.7327983967
"93","ACDG_P015",31,100,-51886.2898314805
"94","ACDG_P015",32,25,-3718.53537102621
"95","ACDG_P015",32,50,-8051.76618919737
"96","ACDG_P015",32,100,-18437.7412291037
"97","ACDG_P015",33,25,-12170.4469147647
"98","ACDG_P015",33,50,-21807.6890377187
"99","ACDG_P015",33,100,-43086.1962220064
"100","ACDG_P015",34,25,-10173.7900000856
"101","ACDG_P015",34,50,-21201.1006334592
